rep_idx,num_crossed_trials
1,87
2,88
3,90
4,85
5,85
6,83
7,85
8,85
9,85
10,84
11,83
12,86
13,80
14,87
15,91
16,87
17,87
18,84
19,85
20,81
21,91
22,93
23,91
24,82
25,89
26,84
27,86
28,87
29,86
30,82
31,90
32,84
33,85
34,88
35,84
36,85
37,83
38,84
39,86
40,90
41,83
42,85
43,84
44,84
45,85
46,89
47,79
48,85
49,85
50,82
51,84
52,76
53,82
54,86
55,81
56,90
57,89
58,83
59,86
60,89
61,89
62,87
63,88
64,88
65,88
66,88
67,82
68,83
69,86
70,90
71,89
72,85
73,82
74,88
75,81
76,83
77,89
78,90
79,79
80,87
81,82
82,84
83,90
84,88
85,89
86,79
87,83
88,82
89,83
90,85
91,81
92,86
93,85
94,87
95,84
96,85
97,78
98,85
99,82
100,90
