exp_name,exp_id,exp_id_padded,placement_file,pct_per_clique,pct_chain
2024_11_20_05__barbell__r_1_1__s_-0_05,6,05,barbell_3600__10_80_10.txt,10,80
2024_11_20_06__barbell__r_1_1__s_-0_01,7,06,barbell_3600__10_80_10.txt,10,80
2024_11_20_07__barbell__r_1_1__s_0_0,8,07,barbell_3600__10_80_10.txt,10,80
2024_11_20_08__barbell__r_1_1__s_0_01,9,08,barbell_3600__10_80_10.txt,10,80
2024_11_20_09__barbell__r_1_1__s_0_05,10,09,barbell_3600__10_80_10.txt,10,80
2024_11_20_10__barbell__r_2_0__s_-0_05,11,10,barbell_3600__10_80_10.txt,10,80
2024_11_20_11__barbell__r_2_0__s_-0_01,12,11,barbell_3600__10_80_10.txt,10,80
2024_11_20_12__barbell__r_2_0__s_0_0,13,12,barbell_3600__10_80_10.txt,10,80
2024_11_20_13__barbell__r_2_0__s_0_01,14,13,barbell_3600__10_80_10.txt,10,80
2024_11_20_14__barbell__r_2_0__s_0_05,15,14,barbell_3600__10_80_10.txt,10,80
2024_11_20_15__barbell__r_1_1__s_-0_05,16,15,barbell_3600__25_50_25.txt,25,50
2024_11_20_16__barbell__r_1_1__s_-0_01,17,16,barbell_3600__25_50_25.txt,25,50
2024_11_20_17__barbell__r_1_1__s_0_0,18,17,barbell_3600__25_50_25.txt,25,50
2024_11_20_18__barbell__r_1_1__s_0_01,19,18,barbell_3600__25_50_25.txt,25,50
2024_11_20_19__barbell__r_1_1__s_0_05,20,19,barbell_3600__25_50_25.txt,25,50
2024_11_20_20__barbell__r_2_0__s_-0_05,21,20,barbell_3600__25_50_25.txt,25,50
2024_11_20_21__barbell__r_2_0__s_-0_01,22,21,barbell_3600__25_50_25.txt,25,50
2024_11_20_22__barbell__r_2_0__s_0_0,23,22,barbell_3600__25_50_25.txt,25,50
2024_11_20_23__barbell__r_2_0__s_0_01,24,23,barbell_3600__25_50_25.txt,25,50
2024_11_20_24__barbell__r_2_0__s_0_05,25,24,barbell_3600__25_50_25.txt,25,50
2024_11_20_25__barbell__r_1_1__s_-0_05,26,25,barbell_3600__40_10_40.txt,40,10
2024_11_20_26__barbell__r_1_1__s_-0_01,27,26,barbell_3600__40_10_40.txt,40,10
2024_11_20_27__barbell__r_1_1__s_0_0,28,27,barbell_3600__40_10_40.txt,40,10
2024_11_20_28__barbell__r_1_1__s_0_01,29,28,barbell_3600__40_10_40.txt,40,10
2024_11_20_29__barbell__r_1_1__s_0_05,30,29,barbell_3600__40_10_40.txt,40,10
2024_11_20_30__barbell__r_2_0__s_-0_05,31,30,barbell_3600__40_10_40.txt,40,10
2024_11_20_31__barbell__r_2_0__s_-0_01,32,31,barbell_3600__40_10_40.txt,40,10
2024_11_20_32__barbell__r_2_0__s_0_0,33,32,barbell_3600__40_10_40.txt,40,10
2024_11_20_33__barbell__r_2_0__s_0_01,34,33,barbell_3600__40_10_40.txt,40,10
2024_11_20_34__barbell__r_2_0__s_0_05,35,34,barbell_3600__40_10_40.txt,40,10
2024_11_20_35__barbell__r_1_1__s_-0_05,36,35,barbell_3600__45_5_45.txt,45,5
2024_11_20_36__barbell__r_1_1__s_-0_01,37,36,barbell_3600__45_5_45.txt,45,5
2024_11_20_37__barbell__r_1_1__s_0_0,38,37,barbell_3600__45_5_45.txt,45,5
2024_11_20_38__barbell__r_1_1__s_0_01,39,38,barbell_3600__45_5_45.txt,45,5
2024_11_20_39__barbell__r_1_1__s_0_05,40,39,barbell_3600__45_5_45.txt,45,5
2024_11_20_40__barbell__r_2_0__s_-0_05,41,40,barbell_3600__45_5_45.txt,45,5
2024_11_20_41__barbell__r_2_0__s_-0_01,42,41,barbell_3600__45_5_45.txt,45,5
2024_11_20_42__barbell__r_2_0__s_0_0,43,42,barbell_3600__45_5_45.txt,45,5
2024_11_20_43__barbell__r_2_0__s_0_01,44,43,barbell_3600__45_5_45.txt,45,5
2024_11_20_44__barbell__r_2_0__s_0_05,45,44,barbell_3600__45_5_45.txt,45,5
2024_11_20_45__barbell__r_1_1__s_-0_05,46,45,barbell_3600__5_90_5.txt,5,90
2024_11_20_46__barbell__r_1_1__s_-0_01,47,46,barbell_3600__5_90_5.txt,5,90
2024_11_20_47__barbell__r_1_1__s_0_0,48,47,barbell_3600__5_90_5.txt,5,90
2024_11_20_48__barbell__r_1_1__s_0_01,49,48,barbell_3600__5_90_5.txt,5,90
2024_11_20_49__barbell__r_1_1__s_0_05,50,49,barbell_3600__5_90_5.txt,5,90
2024_11_20_50__barbell__r_2_0__s_-0_05,51,50,barbell_3600__5_90_5.txt,5,90
2024_11_20_51__barbell__r_2_0__s_-0_01,52,51,barbell_3600__5_90_5.txt,5,90
2024_11_20_52__barbell__r_2_0__s_0_0,53,52,barbell_3600__5_90_5.txt,5,90
2024_11_20_53__barbell__r_2_0__s_0_01,54,53,barbell_3600__5_90_5.txt,5,90
2024_11_20_54__barbell__r_2_0__s_0_05,55,54,barbell_3600__5_90_5.txt,5,90
