rep,node,steps,update_discovered
001,1,17,2534
001,2,35,7402
001,3,27,8308
001,4,93,24465
001,5,450,99573
002,1,24,2732
002,2,27,8809
002,3,49,18182
002,4,65,21137
002,5,413,99736
003,1,19,4008
003,2,27,6743
003,3,38,7508
003,4,63,17083
003,5,402,99151
004,1,19,1775
004,2,40,15198
004,3,34,14309
004,4,110,32087
004,5,429,98571
005,1,24,6653
005,2,21,3861
005,3,39,10760
005,4,82,23003
005,5,432,99614
006,1,25,5632
006,2,21,6926
006,3,63,19375
006,4,63,19111
006,5,391,98744
007,1,16,1902
007,2,21,2565
007,3,51,19379
007,4,110,39102
007,5,412,99932
008,1,24,8129
008,2,25,2679
008,3,36,8326
008,4,130,37436
008,5,409,99686
009,1,17,2240
009,2,25,9451
009,3,69,20768
009,4,112,34337
009,5,384,99892
010,1,30,3885
010,2,23,3170
010,3,27,10563
010,4,108,26292
010,5,404,99548
011,1,19,5551
011,2,31,11586
011,3,43,14428
011,4,133,34108
011,5,433,99448
012,1,21,3024
012,2,35,10080
012,3,32,12433
012,4,91,28783
012,5,410,99858
013,1,16,8136
013,2,39,12067
013,3,41,9605
013,4,52,19705
013,5,403,99801
014,1,24,6335
014,2,34,10491
014,3,53,12350
014,4,74,19692
014,5,418,99983
015,1,17,3946
015,2,22,4313
015,3,46,11782
015,4,72,19222
015,5,420,99409
016,1,21,2679
016,2,35,11362
016,3,44,12723
016,4,47,18942
016,5,429,99782
017,1,38,9822
017,2,23,8021
017,3,64,22609
017,4,180,63978
017,5,414,99712
018,1,13,3734
018,2,39,9473
018,3,32,11224
018,4,64,20235
018,5,419,99966
019,1,13,5789
019,2,45,10112
019,3,38,11222
019,4,39,14409
019,5,412,99997
020,1,25,8205
020,2,27,7422
020,3,54,11949
020,4,44,13663
020,5,395,99471
021,1,20,5297
021,2,29,11764
021,3,28,10800
021,4,75,19359
021,5,425,99862
022,1,21,2296
022,2,30,5959
022,3,60,11582
022,4,55,17574
022,5,444,99994
023,1,13,4537
023,2,50,20347
023,3,83,27403
023,4,113,40843
023,5,444,99756
024,1,24,4681
024,2,32,7272
024,3,26,5346
024,4,98,25936
024,5,389,99845
025,1,26,7952
025,2,28,5728
025,3,35,7344
025,4,86,26320
025,5,411,98974
026,1,18,6281
026,2,31,6920
026,3,46,10513
026,4,68,21338
026,5,408,99929
027,1,19,3109
027,2,26,5521
027,3,77,17864
027,4,64,17561
027,5,427,99695
028,1,17,8253
028,2,25,6837
028,3,31,8903
028,4,81,21154
028,5,420,99857
029,1,19,3330
029,2,38,11848
029,3,50,12675
029,4,121,30997
029,5,406,99996
030,1,27,6255
030,2,26,8199
030,3,30,8998
030,4,74,22579
030,5,408,98291
