rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,100,924,8.83218,1.13278,-1,1.98499,1,7,1.3081,-1,-1,-1,0,268,651,3600
001,200,1110,8.89342,2.46194,-1,2.88409,1,10,3.58429,-1,-1,-1,0,175,659,3600
001,300,1250,8.92315,3.62861,-1,3.87644,1,15,6.77213,-1,-1,-1,0,142,650,3600
001,400,1409,8.89714,4.71583,-1,4.75824,1,20,10.9795,-1,-1,-1,0,122,651,3600
001,500,1604,8.86921,6.02694,-1,5.90022,1,20,16.0672,-1,-1,-1,0,110,659,3600
001,600,1730,8.89226,7.44694,-1,6.97363,1,22,24.2337,-1,-1,-1,0,95,667,3600
001,700,1835,8.83643,8.57972,-1,8.2323,1,27,39.5879,-1,-1,-1,0,90,634,3600
001,800,1838,8.84448,9.67333,-1,8.02139,1,28,42.7888,-1,-1,-1,0,84,643,3600
001,900,2101,8.96842,11.0606,-1,9.54284,1,33,52.5927,-1,-1,-1,0,82,670,3600
001,1000,2191,8.94267,12.3778,-1,10.3119,1,35,60.1878,-1,-1,-1,0,77,675,3600
001,1100,2396,8.96926,13.8689,-1,11.9371,1,37,82.6117,-1,-1,-1,0,77,685,3600
001,1200,2521,8.86113,15.4081,-1,13.8782,1,43,102.967,-1,-1,-1,0,73,650,3600
001,1300,2525,8.90393,16.5119,-1,14.7866,1,44,121.3,-1,-1,-1,0,69,650,3600
001,1400,2624,8.94973,17.7389,-1,15.7878,1,47,148.971,-1,-1,-1,0,66,670,3600
001,1500,2704,8.95469,18.8417,-1,17.2307,1,49,164.28,-1,-1,-1,0,65,679,3600
001,1600,2821,8.9921,20.0339,-1,16.7781,1,51,176.978,-1,-1,-1,0,63,681,3600
001,1700,2786,8.93048,21.3975,-1,18.6518,1,53,213.876,-1,-1,-1,0,60,662,3600
001,1800,2888,8.88392,22.8531,-1,18.5249,1,57,234.821,-1,-1,-1,0,58,656,3600
001,1900,2934,8.8178,24.0169,-1,19.6977,1,58,251.071,-1,-1,-1,0,57,624,3600
001,2000,3046,8.95256,25.2081,-1,19.5558,1,63,255.895,-1,-1,-1,0,55,678,3600
001,2100,3111,8.93434,26.2636,-1,18.5521,1,68,232.787,-1,-1,-1,0,55,660,3600
001,2200,3222,8.92966,27.905,-1,20.5381,1,70,284.104,-1,-1,-1,0,54,667,3600
001,2300,3219,8.91877,29.2464,-1,21.563,1,68,302.244,-1,-1,-1,0,51,675,3600
001,2400,3199,8.78793,30.2208,-1,22.569,1,69,343.555,-1,-1,-1,0,50,636,3600
001,2500,3343,8.90792,31.5597,-1,22.7861,1,70,338.944,-1,-1,-1,0,50,659,3600
001,2600,3381,8.86802,32.7103,-1,23.2884,1,74,345.784,-1,-1,-1,0,50,637,3600
001,2700,3579,8.94355,34.1883,-1,25.9246,1,79,411.967,-1,-1,-1,0,50,676,3600
001,2800,3577,8.80774,35.5353,-1,25.5402,1,79,418.022,-1,-1,-1,0,50,617,3600
001,2900,3601,8.87999,36.9047,-1,26.081,1,82,456.801,-1,-1,-1,0,49,639,3600
001,3000,3642,8.87046,37.8383,-1,28.5927,1,84,502.982,-1,-1,-1,0,47,642,3600
001,3100,3745,8.94588,38.8586,-1,28.9013,1,87,516.272,-1,-1,-1,0,45,683,3600
001,3200,3726,8.87547,39.6625,-1,30.863,1,88,594.695,-1,-1,-1,0,45,642,3600
001,3300,3727,8.97783,40.9903,-1,29.7938,1,89,605.62,-1,-1,-1,0,43,675,3600
001,3400,3821,8.87866,42.0819,-1,30.9872,1,91,647.456,-1,-1,-1,0,43,663,3600
001,3500,3765,8.89445,43.5442,-1,30.1284,1,88,609.692,-1,-1,-1,0,43,653,3600
001,3600,3719,8.91576,44.5011,-1,29.636,1,90,593.555,-1,-1,-1,0,40,649,3600
001,3700,3772,8.93593,45.7767,-1,30.9144,1,94,658.025,-1,-1,-1,0,39,671,3600
001,3800,3877,8.94499,46.8556,-1,34.979,1,97,725.254,-1,-1,-1,0,38,671,3600
001,3900,3863,8.87762,48.1867,-1,32.6615,1,96,674.409,-1,-1,-1,0,37,641,3600
001,4000,3942,8.86068,49.5486,-1,32.2215,1,100,671.446,-1,-1,-1,0,37,641,3600
001,4100,4075,8.93256,50.6867,-1,34.3982,1,106,715.362,-1,-1,-1,0,37,673,3600
001,4200,4035,8.90338,51.7231,-1,38.374,1,110,871.643,-1,-1,-1,0,36,659,3600
001,4300,4060,8.90872,52.7419,-1,37.6456,1,110,836.718,-1,-1,-1,0,35,666,3600
001,4400,4093,8.93931,53.7975,-1,36.2871,1,117,779.793,-1,-1,-1,0,33,681,3600
001,4500,4065,8.8887,55.3353,-1,39.4147,1,119,915.299,-1,-1,-1,0,33,658,3600
001,4600,4147,8.9479,56.6511,-1,37.5541,1,122,852.232,-1,-1,-1,0,33,665,3600
001,4700,4241,8.95295,57.9583,-1,36.951,1,122,838.75,-1,-1,-1,0,33,665,3600
001,4800,4319,8.98778,59.5472,-1,38.99,1,125,873.9,-1,-1,-1,0,33,685,3600
001,4900,4305,8.92775,60.8367,-1,39.7683,1,127,934.448,-1,-1,-1,0,33,659,3600
001,5000,4235,8.88756,62.0614,-1,42.1756,1,130,1115.37,-1,-1,-1,0,31,650,3600
001,5100,4262,8.85751,62.8586,-1,43.7318,1,131,1157.57,-1,-1,-1,0,31,645,3600
001,5200,4308,8.92831,64.0744,-1,41.0739,1,134,1152.86,-1,-1,-1,0,31,661,3600
001,5300,4444,8.89044,65.4875,-1,42.4651,1,137,1122.46,-1,-1,-1,0,31,662,3600
001,5400,4465,8.88172,66.1758,-1,42.486,1,120,1138.13,-1,-1,-1,0,31,653,3600
001,5500,4509,8.89568,67.4992,-1,42.6129,1,124,1098.11,-1,-1,-1,0,30,643,3600
001,5600,4451,8.857,68.3231,-1,41.2359,1,124,1066.02,-1,-1,-1,0,30,639,3600
001,5700,4476,8.81972,69.4861,-1,41.9894,1,124,1079.5,-1,-1,-1,0,30,631,3600
001,5800,4509,8.89749,71.0661,-1,45.0131,1,126,1231.74,-1,-1,-1,0,29,644,3600
001,5900,4483,8.85559,72.2631,-1,46.0189,1,126,1299.25,-1,-1,-1,0,29,635,3600
001,6000,4661,8.95124,73.5986,-1,46.4832,1,127,1208.21,-1,-1,-1,0,29,677,3600
001,6100,4588,8.91412,74.7011,-1,50.4815,1,130,1316.45,-1,-1,-1,0,27,664,3600
001,6200,4684,8.9081,75.9131,-1,49.7706,1,131,1329.2,-1,-1,-1,0,27,652,3600
001,6300,4789,8.95841,76.87,-1,50.1019,1,138,1365.81,-1,-1,-1,0,27,687,3600
001,6400,4721,8.94117,78.0514,-1,51.414,1,140,1319.27,-1,-1,-1,0,27,664,3600
001,6500,4812,8.94271,79.5117,-1,52.8752,1,141,1401.64,-1,-1,-1,0,27,671,3600
001,6600,4846,8.92305,80.7033,-1,55.8964,1,147,1602.43,-1,-1,-1,0,27,680,3600
001,6700,4709,8.94974,81.825,-1,53.3234,1,149,1515.03,-1,-1,-1,0,25,674,3600
001,6800,4741,8.90213,82.9053,-1,56.7935,1,153,1639.44,-1,-1,-1,0,25,651,3600
001,6900,4693,8.86615,83.8661,-1,57.6804,1,157,1646.48,-1,-1,-1,0,24,646,3600
001,7000,4808,8.94504,84.9622,-1,58.3784,1,161,1777.77,-1,-1,-1,0,24,669,3600
001,7100,4797,8.86375,86.2322,-1,61.6554,1,164,1853.48,-1,-1,-1,0,23,647,3600
001,7200,4861,8.94801,87.5203,-1,60.2846,1,169,1718.45,-1,-1,-1,0,23,668,3600
001,7300,4868,8.94041,88.8242,-1,61.4317,1,172,1754.26,-1,-1,-1,0,23,664,3600
001,7400,5041,8.91614,90.5286,-1,65.2878,1,175,1831.26,-1,-1,-1,0,23,651,3600
001,7500,4913,8.91521,92.0578,-1,65.2356,1,178,1900.5,-1,-1,-1,0,21,680,3600
001,7600,5012,8.91623,93.2925,-1,66.4282,1,182,2009.79,-1,-1,-1,0,21,666,3600
001,7700,5072,8.98101,94.9867,-1,70.5204,1,184,2100.25,-1,-1,-1,0,21,687,3600
001,7800,4974,8.7934,96.3817,-1,70.7295,1,186,2127.36,-1,-1,-1,0,21,613,3600
001,7900,4952,8.89771,97.8536,-1,73.523,1,188,2245.17,-1,-1,-1,0,21,649,3600
001,8000,4960,9.01812,99.3394,-1,74.7773,1,194,2437.82,-1,-1,-1,0,20,707,3600
001,8100,5069,8.90245,100.629,-1,74.5984,1,197,2380.97,-1,-1,-1,0,20,660,3600
001,8200,5111,8.92418,102.081,-1,75.0178,1,199,2455.5,-1,-1,-1,0,20,677,3600
001,8300,5183,8.93337,103.571,-1,77.2298,1,202,2580.51,-1,-1,-1,0,20,669,3600
001,8400,5215,8.91997,104.831,-1,77.3565,1,206,2862.24,-1,-1,-1,0,20,671,3600
001,8500,5160,8.87643,106.064,-1,79.4123,1,210,2810.14,-1,-1,-1,0,20,655,3600
001,8600,5144,8.91634,107.591,-1,78.9623,1,209,2816.25,-1,-1,-1,0,19,661,3600
