rep,node,steps,update_discovered
001,1,9,720
001,2,9,1120
001,3,10,663
001,4,17,1496
001,5,1000,86772
002,1,9,629
002,2,12,1160
002,3,9,755
002,4,11,1370
002,5,1000,86177
003,1,7,555
003,2,11,707
003,3,8,327
003,4,9,362
003,5,1000,86963
004,1,9,464
004,2,13,1397
004,3,12,1187
004,4,14,1687
004,5,1000,87145
005,1,10,503
005,2,9,744
005,3,11,897
005,4,15,996
005,5,1000,84194
006,1,8,565
006,2,7,422
006,3,9,426
006,4,10,757
006,5,1000,85173
007,1,10,728
007,2,13,1180
007,3,8,605
007,4,8,955
007,5,1000,86585
008,1,10,571
008,2,9,685
008,3,13,1071
008,4,14,1199
008,5,1000,87596
009,1,10,506
009,2,7,453
009,3,8,911
009,4,10,639
009,5,1000,85405
010,1,5,190
010,2,13,686
010,3,12,796
010,4,28,2245
010,5,1000,84487
011,1,10,751
011,2,9,872
011,3,9,1356
011,4,1000,96887
011,5,11,1539
012,1,8,315
012,2,12,826
012,3,12,1130
012,4,10,1018
012,5,1000,84854
013,1,5,201
013,2,8,300
013,3,8,406
013,4,1000,94309
013,5,14,1053
014,1,8,677
014,2,7,300
014,3,8,541
014,4,17,1345
014,5,1000,86560
015,1,7,502
015,2,11,822
015,3,10,1217
015,4,24,1683
015,5,1000,84227
016,1,9,625
016,2,6,181
016,3,12,1370
016,4,18,1638
016,5,1000,82917
017,1,6,186
017,2,7,272
017,3,14,975
017,4,25,2149
017,5,1000,86554
018,1,10,580
018,2,9,767
018,3,8,192
018,4,11,1015
018,5,1000,84287
019,1,8,490
019,2,11,1040
019,3,13,945
019,4,9,868
019,5,1000,84285
020,1,7,351
020,2,8,247
020,3,11,1012
020,4,10,1050
020,5,1000,86110
021,1,7,258
021,2,7,1039
021,3,11,942
021,4,11,1385
021,5,1000,81412
022,1,9,728
022,2,10,1149
022,3,13,752
022,4,17,977
022,5,1000,86804
023,1,8,501
023,2,11,866
023,3,12,854
023,4,8,471
023,5,1000,85480
024,1,6,1093
024,2,6,507
024,3,16,797
024,4,15,1384
024,5,1000,84115
025,1,8,405
025,2,10,1285
025,3,12,1712
025,4,1000,94479
025,5,14,1652
026,1,7,539
026,2,9,848
026,3,9,734
026,4,17,1372
026,5,1000,83701
027,1,8,458
027,2,11,613
027,3,9,517
027,4,15,743
027,5,1000,82558
028,1,11,1315
028,2,9,562
028,3,11,1151
028,4,21,1748
028,5,1000,84578
029,1,5,274
029,2,6,111
029,3,9,790
029,4,13,1005
029,5,1000,83018
030,1,8,536
030,2,13,1031
030,3,9,823
030,4,21,1759
030,5,1000,83408
