rep,node,steps,update_discovered
001,1,10,435
001,2,20,1322
001,3,28,1978
001,4,55,4190
001,5,1000,68952
002,1,10,743
002,2,10,666
002,3,21,1555
002,4,49,3147
002,5,1000,67632
003,1,8,698
003,2,9,630
003,3,29,2635
003,4,35,2833
003,5,1000,68676
004,1,7,437
004,2,14,1221
004,3,24,2141
004,4,47,3570
004,5,1000,67720
005,1,10,622
005,2,12,977
005,3,13,917
005,4,41,3325
005,5,1000,68892
006,1,11,847
006,2,12,1099
006,3,26,1942
006,4,39,2706
006,5,1000,69654
007,1,10,531
007,2,10,617
007,3,27,2281
007,4,68,5351
007,5,1000,68067
008,1,8,501
008,2,22,1692
008,3,18,1429
008,4,40,3146
008,5,1000,67371
009,1,7,281
009,2,14,1164
009,3,11,956
009,4,44,3663
009,5,1000,68248
010,1,13,422
010,2,16,1018
010,3,14,836
010,4,32,2272
010,5,1000,68227
011,1,7,218
011,2,12,890
011,3,17,1292
011,4,71,5122
011,5,1000,67290
012,1,7,551
012,2,16,944
012,3,18,1582
012,4,35,3018
012,5,1000,68172
013,1,13,867
013,2,9,508
013,3,17,1291
013,4,39,2765
013,5,1000,67295
014,1,9,807
014,2,12,494
014,3,20,1519
014,4,40,3323
014,5,1000,68985
015,1,8,358
015,2,11,609
015,3,12,1300
015,4,43,3510
015,5,1000,68380
016,1,6,227
016,2,24,2145
016,3,21,1232
016,4,68,4918
016,5,1000,68644
017,1,9,565
017,2,11,1039
017,3,20,1593
017,4,66,5148
017,5,1000,67410
018,1,8,762
018,2,11,965
018,3,17,1236
018,4,52,3683
018,5,1000,67822
019,1,10,995
019,2,10,704
019,3,24,1797
019,4,44,3198
019,5,1000,69628
020,1,6,331
020,2,14,961
020,3,26,2322
020,4,38,3257
020,5,1000,68043
021,1,9,425
021,2,11,901
021,3,17,1566
021,4,28,2127
021,5,1000,67484
022,1,8,450
022,2,25,1302
022,3,13,1535
022,4,41,3030
022,5,1000,68942
023,1,8,563
023,2,9,790
023,3,16,760
023,4,46,3765
023,5,1000,67166
024,1,6,370
024,2,9,1248
024,3,18,1199
024,4,70,4950
024,5,1000,68153
025,1,6,412
025,2,8,911
025,3,26,2057
025,4,82,5980
025,5,1000,68816
026,1,11,1144
026,2,10,577
026,3,23,2023
026,4,32,2766
026,5,1000,68589
027,1,10,565
027,2,14,750
027,3,21,1683
027,4,91,7238
027,5,1000,68296
028,1,9,357
028,2,12,944
028,3,42,3187
028,4,42,3249
028,5,1000,69254
029,1,12,937
029,2,10,909
029,3,17,1519
029,4,85,6122
029,5,1000,68972
030,1,9,639
030,2,19,1263
030,3,17,1073
030,4,54,3784
030,5,1000,66020
