rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,100,974,8.90654,1.29444,-1,2.09572,1,8,1.57522,-1,-1,-1,0,272,664,3600
001,200,1176,8.93025,2.73306,-1,3.11979,1,14,4.35108,-1,-1,-1,0,181,655,3600
001,300,1365,8.87206,4.2525,-1,4.17786,1,13,7.36884,-1,-1,-1,0,144,650,3600
001,400,1514,8.89721,5.92,-1,4.98677,1,21,12.3529,-1,-1,-1,0,121,633,3600
001,500,1633,8.84826,7.56056,-1,6.12181,1,18,17.9263,-1,-1,-1,0,102,649,3600
001,600,1700,8.91643,9.39722,-1,6.72706,1,23,23.9475,-1,-1,-1,0,88,658,3600
001,700,1833,8.90915,11.0669,-1,8.54869,1,25,32.5413,-1,-1,-1,0,74,660,3600
001,800,1904,8.90912,12.8131,-1,9.847,1,30,47.3512,-1,-1,-1,0,66,660,3600
001,900,2057,8.91993,14.7061,-1,11.4984,1,34,66.6931,-1,-1,-1,0,61,682,3600
001,1000,2120,8.84832,16.6172,-1,13.0808,1,39,86.2188,-1,-1,-1,0,56,633,3600
001,1100,2191,8.89428,18.7381,-1,14.4259,1,41,106.442,-1,-1,-1,0,48,673,3600
001,1200,2234,8.86669,20.7089,-1,16.1088,1,44,142.28,-1,-1,-1,0,45,649,3600
001,1300,2280,8.86749,22.3058,-1,16.0873,1,48,123.218,-1,-1,-1,0,44,647,3600
001,1400,2323,8.98536,24.0839,-1,18.2451,1,49,156.513,-1,-1,-1,0,39,693,3600
001,1500,2380,8.92638,25.7486,-1,19.5915,1,53,174.343,-1,-1,-1,0,37,680,3600
001,1600,2400,8.89512,27.3025,-1,20.599,1,59,189.548,-1,-1,-1,0,34,665,3600
001,1700,2497,8.92778,29.17,-1,22.9815,1,60,232.047,-1,-1,-1,0,32,669,3600
001,1800,2474,8.83837,30.9044,-1,23.6651,1,63,257.809,-1,-1,-1,0,31,643,3600
001,1900,2530,8.8104,32.425,-1,26.2081,1,67,308.139,-1,-1,-1,0,31,621,3600
001,2000,2665,8.82022,34.0792,-1,27.8179,1,72,356.894,-1,-1,-1,0,31,634,3600
001,2100,2728,8.96725,35.8881,-1,30.9761,1,78,406.338,-1,-1,-1,0,30,683,3600
001,2200,2732,8.83438,37.7606,-1,32.1494,1,81,443.167,-1,-1,-1,0,28,644,3600
001,2300,2753,8.87962,39.6394,-1,34.2379,1,83,498.591,-1,-1,-1,0,26,642,3600
001,2400,2903,8.97711,41.7386,-1,36.8727,1,87,552.353,-1,-1,-1,0,24,680,3600
001,2500,2862,8.9166,43.7142,-1,38.542,1,91,627.814,-1,-1,-1,0,23,669,3600
001,2600,2886,8.84686,45.4642,-1,41.1314,1,95,692.133,-1,-1,-1,0,21,643,3600
001,2700,2823,8.81492,46.8414,-1,41.2631,1,102,750.289,-1,-1,-1,0,20,623,3600
001,2800,3006,9.00073,48.5167,-1,44.1293,1,102,839.229,-1,-1,-1,0,20,695,3600
001,2900,2869,8.87388,50.1436,-1,45.8521,1,106,913.823,-1,-1,-1,0,18,650,3600
001,3000,3002,8.94648,51.6317,-1,45.9238,1,110,966.866,-1,-1,-1,0,18,674,3600
001,3100,3023,8.9103,53.0956,-1,48.7431,1,113,1025.01,-1,-1,-1,0,17,671,3600
001,3200,3054,8.9499,54.6406,-1,48.4801,1,115,1053.75,-1,-1,-1,0,17,687,3600
001,3300,3135,8.89996,56.1539,-1,50.9836,1,116,1128.32,-1,-1,-1,0,17,657,3600
001,3400,3154,8.88679,57.6836,-1,51.2651,1,118,1160.06,-1,-1,-1,0,16,662,3600
