rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,100,1005,8.92555,1.485,-1,2.23995,1,9,2.1673,-1,-1,-1,0,272,661,3600
001,200,1175,8.93743,2.90028,-1,2.83752,1,10,3.07578,-1,-1,-1,0,182,658,3600
001,300,1364,8.88894,4.35806,-1,3.68995,1,14,6.10853,-1,-1,-1,0,145,666,3600
001,400,1479,8.90573,5.88361,-1,4.31493,1,15,9.34393,-1,-1,-1,0,120,664,3600
001,500,1607,8.88529,7.46972,-1,5.40698,1,20,14.404,-1,-1,-1,0,101,665,3600
001,600,1759,8.96605,8.78944,-1,6.89813,1,23,24.5861,-1,-1,-1,0,90,681,3600
001,700,1814,8.86704,10.2931,-1,7.48686,1,26,28.4743,-1,-1,-1,0,81,638,3600
001,800,1887,8.85052,11.8267,-1,8.90863,1,32,38.0892,-1,-1,-1,0,72,635,3600
001,900,1985,8.86115,13.4683,-1,10.6536,1,32,47.8093,-1,-1,-1,0,64,640,3600
001,1000,2079,8.85176,15.2089,-1,12.2271,1,35,54.4883,-1,-1,-1,0,56,659,3600
001,1100,2208,8.98342,16.8444,-1,14.0028,1,35,82.1654,-1,-1,-1,0,51,678,3600
001,1200,2210,8.82246,18.7117,-1,15.4668,1,40,99.8603,-1,-1,-1,0,45,623,3600
001,1300,2178,8.90597,20.3311,-1,17.1419,1,43,124.366,-1,-1,-1,0,38,651,3600
001,1400,2270,8.85133,22.0631,-1,18.7834,1,47,139.964,-1,-1,-1,0,37,645,3600
001,1500,2241,8.81891,23.6844,-1,20.4088,1,50,173.184,-1,-1,-1,0,34,634,3600
001,1600,2293,8.89768,25.2261,-1,21.7612,1,54,210.182,-1,-1,-1,0,32,656,3600
001,1700,2308,8.83381,26.5386,-1,22.4063,1,57,224.386,-1,-1,-1,0,31,641,3600
001,1800,2353,8.8778,27.8906,-1,24.133,1,61,249.132,-1,-1,-1,0,29,660,3600
001,1900,2357,8.82911,29.4161,-1,24.848,1,64,284.197,-1,-1,-1,0,28,657,3600
001,2000,2419,8.88734,31.0072,-1,25.8897,1,69,312.483,-1,-1,-1,0,27,653,3600
001,2100,2512,8.84747,32.5094,-1,27.0879,1,70,311.737,-1,-1,-1,0,26,623,3600
001,2200,2705,8.94746,34.3331,-1,29.3374,1,71,357.251,-1,-1,-1,0,26,683,3600
001,2300,2707,8.91624,36.1361,-1,30.1334,1,74,400.891,-1,-1,-1,0,24,662,3600
001,2400,2744,8.88719,37.6536,-1,31.1024,1,77,432.738,-1,-1,-1,0,23,652,3600
001,2500,2863,8.83013,39.3219,-1,32.2523,1,81,439.053,-1,-1,-1,0,23,632,3600
001,2600,3003,8.93973,40.8158,-1,35.2113,1,84,570.778,-1,-1,-1,0,23,674,3600
001,2700,3090,9.02174,42.3192,-1,35.5002,1,90,584.646,-1,-1,-1,0,22,700,3600
001,2800,2983,8.88394,43.8189,-1,38.7062,1,91,659.065,-1,-1,-1,0,21,667,3600
001,2900,2977,8.84244,45.4036,-1,40.1726,1,95,750.332,-1,-1,-1,0,21,641,3600
001,3000,2955,8.88311,47.0917,-1,39.2878,1,98,755.405,-1,-1,-1,0,19,659,3600
001,3100,3033,8.87004,48.6444,-1,42.028,1,101,822.256,-1,-1,-1,0,19,659,3600
001,3200,3078,8.89209,50.7214,-1,43.5098,1,106,916.674,-1,-1,-1,0,19,652,3600
001,3300,3074,8.82208,52.8764,-1,45.8065,1,111,1042.6,-1,-1,-1,0,19,636,3600
001,3400,3181,8.8623,54.6319,-1,45.3428,1,113,1077.54,-1,-1,-1,0,19,651,3600
001,3500,3233,8.94156,56.5222,-1,46.0135,1,120,1144.8,-1,-1,-1,0,19,678,3600
001,3600,3293,8.83218,58.3286,-1,49.4122,1,123,1253.56,-1,-1,-1,0,19,629,3600
001,3700,3351,8.92831,60.4119,-1,47.0818,1,125,1219.86,-1,-1,-1,0,19,664,3600
001,3800,3350,8.91381,62.2233,-1,50.3055,1,124,1314.61,-1,-1,-1,0,19,661,3600
001,3900,3365,8.95752,64.0231,-1,49.9644,1,127,1383.46,-1,-1,-1,0,19,676,3600
001,4000,3404,8.89151,65.83,-1,48.2083,1,130,1302.99,-1,-1,-1,0,19,642,3600
001,4100,3443,8.83693,67.4839,-1,53.1597,1,135,1489,-1,-1,-1,0,19,620,3600
001,4200,3533,8.83417,69.0881,-1,50.5713,1,138,1418.34,-1,-1,-1,0,19,648,3600
001,4300,3298,8.79521,70.5478,-1,51.8854,1,142,1456.73,-1,-1,-1,0,17,624,3600
001,4400,3311,8.78899,72.4042,-1,53.9846,1,146,1519.11,-1,-1,-1,0,17,639,3600
001,4500,3350,8.87375,74.1383,-1,52.6744,1,149,1596.62,-1,-1,-1,0,16,650,3600
001,4600,3376,8.93281,75.5283,-1,51.6037,1,130,1595.36,-1,-1,-1,0,16,662,3600
001,4700,3338,8.86137,77.4942,-1,53.0969,1,132,1671.32,-1,-1,-1,0,16,644,3600
001,4800,3413,8.87558,79.2097,-1,52.4158,1,132,1629.07,-1,-1,-1,0,16,663,3600
001,4900,3460,8.91346,80.6711,-1,51.6586,1,134,1537.46,-1,-1,-1,0,16,662,3600
001,5000,3548,8.97474,82.4256,-1,52.7607,1,138,1643.69,-1,-1,-1,0,16,692,3600
001,5100,3378,8.83553,83.9856,-1,52.0754,1,143,1500.5,-1,-1,-1,0,14,641,3600
001,5200,3549,8.93985,85.7494,-1,55.6457,1,146,1607.46,-1,-1,-1,0,14,666,3600
001,5300,3408,8.84158,87.6458,-1,57.0371,1,150,1691.34,-1,-1,-1,0,13,648,3600
001,5400,3385,8.82974,89.4714,-1,54.711,1,151,1599.59,-1,-1,-1,0,13,641,3600
001,5500,3528,8.85383,91.1906,-1,56.7766,1,156,1688.23,-1,-1,-1,0,13,651,3600
001,5600,3542,8.87109,93.1392,-1,57.2779,1,157,1650.51,-1,-1,-1,0,13,644,3600
001,5700,3492,8.898,95.1894,-1,54.911,1,163,1489.68,-1,-1,-1,0,13,659,3600
001,5800,3465,8.90305,96.84,-1,55.7331,1,165,1616.99,-1,-1,-1,0,12,656,3600
001,5900,3557,8.84884,98.5475,-1,58.2856,1,168,1659.08,-1,-1,-1,0,12,655,3600
001,6000,3488,8.75569,100.075,-1,59.0086,1,173,1809.63,-1,-1,-1,0,12,608,3600
001,6100,3542,8.87624,102.08,-1,56.2092,1,173,1630.22,-1,-1,-1,0,12,642,3600
001,6200,3635,8.91247,104.029,-1,58.9169,1,179,1676.15,-1,-1,-1,0,12,656,3600
001,6300,3611,8.8967,105.875,-1,58.9188,1,185,1668.27,-1,-1,-1,0,11,643,3600
001,6400,3701,8.97225,107.721,-1,60.8144,1,186,1658,-1,-1,-1,0,11,675,3600
001,6500,3620,8.81054,109.676,-1,60.2681,1,190,1870.1,-1,-1,-1,0,11,628,3600
001,6600,3593,8.94517,111.49,-1,55.788,1,192,1876.9,-1,-1,-1,0,11,671,3600
001,6700,3592,8.86782,113.311,-1,55.3196,1,193,1771.96,-1,-1,-1,0,11,644,3600
001,6800,3390,8.86268,115.371,-1,57.3903,1,195,1759.17,-1,-1,-1,0,10,654,3600
001,6900,3483,8.86634,117.598,-1,58.2695,1,203,1852.72,-1,-1,-1,0,10,653,3600
001,7000,3538,8.86888,119.705,-1,58.6562,1,206,1774.33,-1,-1,-1,0,10,655,3600
001,7100,3672,8.98998,121.748,-1,60.6208,1,209,1961.3,-1,-1,-1,0,10,686,3600
001,7200,3660,8.9282,123.536,-1,61.6693,1,218,1968.05,-1,-1,-1,0,10,672,3600
001,7300,3686,8.93773,125.291,-1,64.0106,1,218,2012.26,-1,-1,-1,0,10,691,3600
001,7400,3621,8.84308,127.289,-1,62.5058,1,225,2062.69,-1,-1,-1,0,10,634,3600
001,7500,3608,8.90349,129.303,-1,63.0579,1,232,1938.94,-1,-1,-1,0,10,673,3600
001,7600,3524,8.83744,131.269,-1,64.7777,1,239,2231.32,-1,-1,-1,0,10,626,3600
001,7700,3536,8.86291,132.996,-1,64.8517,1,241,2216.89,-1,-1,-1,0,10,632,3600
001,7800,3626,8.91316,134.934,-1,68.753,1,239,2265.36,-1,-1,-1,0,9,665,3600
001,7900,3641,8.8156,137.152,-1,70.1555,1,238,2353.27,-1,-1,-1,0,9,632,3600
001,8000,3620,8.90631,138.711,-1,71.1387,1,242,2414.86,-1,-1,-1,0,9,666,3600
001,8100,3700,8.88072,140.635,-1,72.268,1,245,2491.69,-1,-1,-1,0,9,649,3600
001,8200,3671,8.79806,142.613,-1,71.8757,1,246,2297.38,-1,-1,-1,0,9,622,3600
001,8300,3729,8.95344,144.631,-1,73.2404,1,207,2564.23,-1,-1,-1,0,9,685,3600
001,8400,3750,8.88426,146.709,-1,73.1087,1,208,2594.48,-1,-1,-1,0,9,660,3600
001,8500,3876,8.95087,148.802,-1,75.1009,1,209,2503.54,-1,-1,-1,0,9,674,3600
001,8600,3816,8.93008,150.867,-1,78.7193,1,212,2672.53,-1,-1,-1,0,9,676,3600
001,8700,3754,8.77778,153.138,-1,76.5997,1,217,2555.31,-1,-1,-1,0,9,613,3600
001,8800,3801,8.8336,155.03,-1,77.3465,1,219,2607.98,-1,-1,-1,0,9,644,3600
001,8900,3747,8.87843,157.001,-1,78.0908,1,224,2639.87,-1,-1,-1,0,9,638,3600
001,9000,3834,8.86658,159.054,-1,78.547,1,226,2771.84,-1,-1,-1,0,9,649,3600
001,9100,3670,8.8135,160.996,-1,84.5002,1,231,3010.12,-1,-1,-1,0,8,608,3600
001,9200,3764,8.86624,162.695,-1,83.4097,1,236,3004,-1,-1,-1,0,8,654,3600
001,9300,3829,8.84468,164.95,-1,87.2812,1,242,3200.96,-1,-1,-1,0,8,644,3600
001,9400,3865,8.86373,167.3,-1,90.1719,1,244,3402.21,-1,-1,-1,0,8,661,3600
001,9500,3948,8.99785,168.939,-1,93.0081,1,245,3573.18,-1,-1,-1,0,8,679,3600
001,9600,3894,8.82721,170.959,-1,91.8588,1,249,3625.8,-1,-1,-1,0,8,644,3600
001,9700,4022,8.83815,172.862,-1,95.0478,1,252,3638.16,-1,-1,-1,0,8,650,3600
001,9800,4070,8.87317,174.677,-1,94.2777,1,253,3699.09,-1,-1,-1,0,8,662,3600
001,9900,4149,8.824,176.576,-1,98.7937,1,257,3743.89,-1,-1,-1,0,8,623,3600
001,10000,4190,8.93456,178.367,-1,100.919,1,259,4048.49,-1,-1,-1,0,8,667,3600
001,10100,4123,8.88465,180.211,-1,101.958,1,264,4215.43,-1,-1,-1,0,8,659,3600
001,10200,4185,8.91267,182.064,-1,102.408,1,266,4039.84,-1,-1,-1,0,8,662,3600
001,10300,4266,8.88633,184.049,-1,104.373,1,273,4355.36,-1,-1,-1,0,8,649,3600
001,10400,4142,8.94856,186.084,-1,109.172,1,272,4780.09,-1,-1,-1,0,8,678,3600
001,10500,4189,8.85236,188.074,-1,108.758,1,276,4735.82,-1,-1,-1,0,8,632,3600
001,10600,4300,8.86123,189.874,-1,108.716,1,278,4811.98,-1,-1,-1,0,8,646,3600
001,10700,4286,8.87242,191.693,-1,112.737,1,283,4875.05,-1,-1,-1,0,8,650,3600
001,10800,4287,8.8673,193.803,-1,115.451,1,283,5223.18,-1,-1,-1,0,8,641,3600
001,10900,4319,8.90876,195.974,-1,116.129,1,285,5338.73,-1,-1,-1,0,8,665,3600
001,11000,4254,8.82748,197.774,-1,110.992,1,286,5395.24,-1,-1,-1,0,8,620,3600
001,11100,4354,8.90128,199.603,-1,116.326,1,292,5497.63,-1,-1,-1,0,8,657,3600
001,11200,4338,8.93882,201.769,-1,116.192,1,256,5882.24,-1,-1,-1,0,8,664,3600
001,11300,4200,8.87075,204.074,-1,124.195,1,260,5993.21,-1,-1,-1,0,7,665,3600
001,11400,4185,8.80602,206.06,-1,122.141,1,263,6111.81,-1,-1,-1,0,7,637,3600
001,11500,4329,8.84335,208.031,-1,124.864,1,269,6767.01,-1,-1,-1,0,7,639,3600
001,11600,4100,8.81459,209.992,-1,128.618,1,268,6858.08,-1,-1,-1,0,7,641,3600
001,11700,4103,8.8171,212.002,-1,131.301,1,272,6956.54,-1,-1,-1,0,7,617,3600
001,11800,4207,8.87103,213.916,-1,132.913,1,276,7113.98,-1,-1,-1,0,7,645,3600
001,11900,4157,8.91401,215.733,-1,132.592,1,282,7431.94,-1,-1,-1,0,7,656,3600
001,12000,3942,8.88642,217.658,-1,134.699,1,283,7311.33,-1,-1,-1,0,6,661,3600
001,12100,3966,8.96144,219.524,-1,136.288,1,290,7813.75,-1,-1,-1,0,6,672,3600
001,12200,4005,8.87992,221.248,-1,141.044,1,294,7998.28,-1,-1,-1,0,6,660,3600
001,12300,4020,8.89138,222.954,-1,144.085,1,297,8581.38,-1,-1,-1,0,6,661,3600
001,12400,4053,8.91589,224.584,-1,140.392,1,300,8500.42,-1,-1,-1,0,6,653,3600
001,12500,4031,8.8863,226.181,-1,138.433,1,303,8102.15,-1,-1,-1,0,6,637,3600
001,12600,3973,8.79446,227.899,-1,138.243,1,303,8316.12,-1,-1,-1,0,6,622,3600
001,12700,4056,8.88742,229.907,-1,141.001,1,306,8511.19,-1,-1,-1,0,6,644,3600
001,12800,4181,8.85984,232.024,-1,137.111,1,310,8505.01,-1,-1,-1,0,6,640,3600
001,12900,4241,8.9047,234.348,-1,142.31,1,315,8658.28,-1,-1,-1,0,6,655,3600
001,13000,4242,8.87926,236.286,-1,144.088,1,318,8997.86,-1,-1,-1,0,6,644,3600
001,13100,4279,8.85176,238.139,-1,146.851,1,325,9655.06,-1,-1,-1,0,6,646,3600
001,13200,4381,8.88402,240.191,-1,142.453,1,324,9497.79,-1,-1,-1,0,6,648,3600
001,13300,4435,8.84825,242.072,-1,148.814,1,328,10273.4,-1,-1,-1,0,6,646,3600
001,13400,4533,8.81768,243.986,-1,150.881,1,331,10619.5,-1,-1,-1,0,6,638,3600
001,13500,4620,8.92059,245.742,-1,153.468,1,332,10433.4,-1,-1,-1,0,6,664,3600
001,13600,4544,8.95694,247.854,-1,155.419,1,336,10895.1,-1,-1,-1,0,6,676,3600
001,13700,4458,8.97663,250.168,-1,153.796,1,335,10698.2,-1,-1,-1,0,6,685,3600
001,13800,4483,8.84434,252.349,-1,148.372,1,331,10112.5,-1,-1,-1,0,6,650,3600
001,13900,4124,8.80755,254.155,-1,158.915,1,335,11200.3,-1,-1,-1,0,5,619,3600
001,14000,4174,8.93508,255.802,-1,156.171,1,341,11445.7,-1,-1,-1,0,5,678,3600
001,14100,4185,8.85384,257.481,-1,163.984,1,346,12136.4,-1,-1,-1,0,5,637,3600
001,14200,4223,8.87308,259.071,-1,160.226,1,350,11636.2,-1,-1,-1,0,5,650,3600
001,14300,4379,8.98111,261.031,-1,168.371,1,356,12151.5,-1,-1,-1,0,5,696,3600
001,14400,4487,8.91124,262.905,-1,166.823,1,359,12317.3,-1,-1,-1,0,5,667,3600
001,14500,4525,8.92011,264.811,-1,172.739,1,357,12769.1,-1,-1,-1,0,5,651,3600
001,14600,4422,8.94421,266.465,-1,174.75,1,361,13526.1,-1,-1,-1,0,5,672,3600
001,14700,4406,8.85297,268.355,-1,170.663,1,365,12736.2,-1,-1,-1,0,5,643,3600
001,14800,4486,8.91103,270.569,-1,170.225,1,370,13010,-1,-1,-1,0,5,663,3600
001,14900,4249,8.87385,272.478,-1,168.745,1,368,13131.3,-1,-1,-1,0,5,650,3600
001,15000,4436,8.89459,274.246,-1,171.464,1,370,13072.5,-1,-1,-1,0,5,660,3600
001,15100,4390,8.89233,276.076,-1,178.547,1,374,13451.7,-1,-1,-1,0,5,652,3600
001,15200,4410,8.87775,277.52,-1,183.848,1,377,14521.1,-1,-1,-1,0,5,652,3600
001,15300,4502,8.90828,279.386,-1,180.897,1,384,14455.8,-1,-1,-1,0,5,655,3600
001,15400,4500,8.91261,280.956,-1,178.774,1,390,14077.2,-1,-1,-1,0,5,678,3600
001,15500,4649,8.93936,282.924,-1,185.327,1,396,14499.5,-1,-1,-1,0,5,677,3600
001,15600,4683,8.92385,284.69,-1,181.9,1,398,14088.4,-1,-1,-1,0,5,672,3600
001,15700,4577,8.894,286.532,-1,187.112,1,397,15091.8,-1,-1,-1,0,5,670,3600
001,15800,4514,8.83679,288.25,-1,190.918,1,401,15581.8,-1,-1,-1,0,5,633,3600
001,15900,4489,8.83916,290.135,-1,190.864,1,403,15652.7,-1,-1,-1,0,5,644,3600
001,16000,4502,8.82606,291.759,-1,191.547,1,408,15767.4,-1,-1,-1,0,5,628,3600
001,16100,4530,8.92888,293.436,-1,189.441,1,406,16334.6,-1,-1,-1,0,5,657,3600
001,16200,4571,8.92064,295.361,-1,190.89,1,410,15939.6,-1,-1,-1,0,5,656,3600
