rep,node,steps,update_discovered
001,1,5,125
001,2,3,60
001,3,6,133
001,4,11,278
001,5,1000,26171
002,1,6,139
002,2,7,220
002,3,11,279
002,4,10,273
002,5,1000,27166
003,1,4,68
003,2,6,161
003,3,7,188
003,4,10,285
003,5,1000,26832
004,1,4,106
004,2,4,70
004,3,8,215
004,4,17,510
004,5,1000,26763
005,1,4,122
005,2,7,170
005,3,8,204
005,4,16,401
005,5,1000,27866
006,1,4,39
006,2,5,136
006,3,6,134
006,4,7,167
006,5,1000,26460
007,1,6,143
007,2,6,106
007,3,6,211
007,4,9,238
007,5,1000,27389
008,1,4,99
008,2,4,60
008,3,6,243
008,4,14,367
008,5,1000,26932
009,1,5,64
009,2,6,178
009,3,12,285
009,4,14,338
009,5,1000,26857
010,1,6,153
010,2,5,159
010,3,7,210
010,4,11,326
010,5,1000,26791
011,1,4,137
011,2,7,145
011,3,6,109
011,4,20,523
011,5,1000,27080
012,1,4,59
012,2,4,42
012,3,7,250
012,4,9,262
012,5,1000,26638
013,1,4,48
013,2,7,218
013,3,6,155
013,4,12,367
013,5,1000,27136
014,1,5,165
014,2,7,224
014,3,9,243
014,4,14,395
014,5,1000,27092
015,1,3,43
015,2,7,166
015,3,6,167
015,4,9,210
015,5,1000,27077
016,1,4,85
016,2,8,154
016,3,5,158
016,4,8,207
016,5,1000,27479
017,1,4,88
017,2,6,185
017,3,8,184
017,4,1000,29842
017,5,26,874
018,1,4,140
018,2,4,101
018,3,7,208
018,4,10,301
018,5,1000,27851
019,1,6,123
019,2,5,116
019,3,7,221
019,4,7,196
019,5,1000,27059
020,1,4,140
020,2,4,83
020,3,7,189
020,4,11,283
020,5,1000,27059
021,1,4,108
021,2,5,146
021,3,8,194
021,4,1000,30253
021,5,11,343
022,1,7,185
022,2,6,189
022,3,14,324
022,4,9,278
022,5,1000,27075
023,1,5,131
023,2,7,237
023,3,7,253
023,4,8,240
023,5,1000,26922
024,1,5,125
024,2,8,150
024,3,6,218
024,4,11,381
024,5,1000,27149
025,1,6,133
025,2,5,117
025,3,6,200
025,4,19,539
025,5,1000,27259
026,1,6,123
026,2,4,50
026,3,12,370
026,4,8,253
026,5,1000,27155
027,1,4,53
027,2,5,100
027,3,6,160
027,4,8,237
027,5,1000,27445
028,1,5,96
028,2,5,132
028,3,8,167
028,4,13,305
028,5,1000,27692
029,1,4,76
029,2,5,162
029,3,6,190
029,4,14,408
029,5,1000,26931
030,1,5,153
030,2,5,138
030,3,7,259
030,4,9,319
030,5,1000,27362
031,1,5,173
031,2,5,129
031,3,11,264
031,4,16,463
031,5,1000,27086
032,1,5,170
032,2,6,156
032,3,5,91
032,4,12,373
032,5,1000,26268
033,1,6,123
033,2,6,109
033,3,7,194
033,4,7,237
033,5,1000,26534
034,1,3,24
034,2,4,68
034,3,7,190
034,4,8,160
034,5,1000,26896
035,1,5,148
035,2,6,82
035,3,10,197
035,4,14,398
035,5,1000,27182
036,1,4,93
036,2,5,103
036,3,6,179
036,4,9,336
036,5,1000,27103
037,1,6,75
037,2,5,125
037,3,7,149
037,4,7,186
037,5,1000,27400
038,1,4,54
038,2,4,53
038,3,6,156
038,4,10,255
038,5,1000,26977
039,1,5,239
039,2,7,222
039,3,5,93
039,4,17,406
039,5,1000,26723
040,1,4,99
040,2,5,113
040,3,8,138
040,4,6,190
040,5,1000,26518
041,1,6,190
041,2,6,145
041,3,9,170
041,4,19,492
041,5,1000,27271
042,1,5,103
042,2,7,157
042,3,7,229
042,4,27,779
042,5,1000,27043
043,1,4,119
043,2,5,73
043,3,5,121
043,4,11,266
043,5,1000,27007
044,1,5,64
044,2,5,92
044,3,6,176
044,4,9,261
044,5,1000,27105
045,1,7,151
045,2,7,247
045,3,6,202
045,4,14,353
045,5,1000,27351
046,1,5,100
046,2,5,121
046,3,6,68
046,4,26,721
046,5,1000,27507
047,1,5,167
047,2,7,180
047,3,8,243
047,4,19,559
047,5,1000,26595
048,1,4,75
048,2,5,111
048,3,8,202
048,4,6,132
048,5,1000,27013
049,1,4,69
049,2,6,169
049,3,4,121
049,4,12,355
049,5,1000,26777
050,1,7,114
050,2,7,106
050,3,6,147
050,4,14,423
050,5,1000,26472
