rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,398,587,7.66471,13.7861,3,16.5237,1,29,40.3408,77.508,2.72464,235.594,1743.34,1,433,3600,-1
001,788,597,7.51417,29.0522,7,22.1645,1,49,120.573,85.103,7.12357,299.455,2020.14,1,395,3600,3
001,839,598,7.54861,30.7031,13,19.445,1,39,62.7166,84.9396,4.43899,582,2809.4,1,414,3600,7
001,841,576,7.60598,30.7964,16,19.5047,1,37,62.1926,85.1372,4.56111,351.701,2434.41,1,404,3600,13
001,1973,621,7.17991,78.0536,55,25.9786,1,54,187.372,82.6434,5.7602,317.322,1934.67,1,396,3600,16
001,2134,622,7.57977,87.0664,66,11.3333,1,48,45.8697,74.3826,1.28495,296.584,2029.72,1,434,3600,55
001,2178,609,7.63049,88.7183,82,11.9615,1,25,15.9305,80.3932,1.69591,290,1895.09,1,400,3600,66
001,3013,711,7.61186,118.44,100,26.9297,1,48,145.795,85.1781,5.50236,353.583,2283.42,1,413,3600,82
001,3633,626,7.22275,144.837,123,21.0797,1,52,199.995,90.4458,2.64344,310.44,2678.97,1,360,3600,100
001,3739,634,7.36695,150.339,134,14.6764,1,42,102.498,75.7796,3.78344,292.545,1928.84,1,378,3600,123
001,4775,694,7.20926,189.745,176,14.2587,1,33,45.7399,80.3142,2.36401,440,2407.34,1,378,3600,134
001,4777,677,7.2142,189.848,177,13.8768,1,33,44.5349,79.2544,2.33299,284.637,2016.91,1,369,3600,176
001,4849,659,7.23214,193.758,181,13.4297,1,26,29.7065,73.7221,2.78987,235.222,1633.01,1,391,3600,177
001,4884,694,7.38268,195.016,186,14.6177,1,25,36.772,79.1261,2.5043,209.246,1679.28,1,404,3600,181
001,5272,756,7.47479,210.35,193,13.5617,1,39,33.5573,82.3325,2.76721,543,2645.56,1,413,3600,186
001,5325,781,7.6902,212.639,195,15.2264,1,42,34.3091,79.2335,3.94284,328.491,2127.76,1,425,3600,193
001,5331,750,7.66278,212.804,203,15.2,1,28,30.4299,77.393,3.56896,224.162,1763.91,1,413,3600,195
001,5793,780,7.4906,231.137,209,21.4931,1,53,232.072,74.8111,2.17918,423.146,2312.45,1,406,3600,203
001,5989,824,7.8096,239.353,217,17.5103,1,51,92.5105,79.1044,2.62411,208.406,1784.65,1,429,3600,209
001,6114,766,7.50442,244.968,229,22.345,1,40,119.16,77.0113,5.59473,251.223,1803.46,1,393,3600,217
001,6421,797,7.47544,254.972,242,18.9483,1,33,61.3411,88.8092,4.45054,409.077,2660.87,1,404,3600,229
001,6756,842,7.47416,267.559,247,25.2526,1,48,167.375,83.831,6.03298,262.234,1986.36,1,387,3600,242
001,6870,826,7.60623,272.599,257,17.6399,1,41,108.407,82.5893,1.88737,332.776,2123.17,1,414,3600,247
001,6945,797,7.47508,275.6,260,17.4221,1,41,114.649,83.3896,2.87204,322.493,2138.63,1,400,3600,257
001,7175,864,7.63953,283.184,270,19.0773,1,35,39.4557,77.378,5.10883,269.537,1918.82,1,421,3600,260
001,7274,827,7.52669,286.695,273,22.0877,1,35,65.0235,83.1028,6.91768,259.912,1836.98,1,398,3600,270
001,7553,886,7.5822,296.749,274,29.5112,1,55,221.864,85.4195,6.98775,249.143,1808.19,1,409,3600,273
001,7846,859,7.45704,308.66,283,19.1811,1,55,106.835,80.3541,4.12562,627.333,2689.48,1,412,3600,274
001,7889,822,7.34931,310.556,296,18.3459,1,34,80.3361,85.1609,2.8636,329.122,2035,1,372,3600,283
001,7933,852,7.47656,312.153,297,18.9197,1,37,96.3783,82.6623,2.40758,287.597,1757.46,1,399,3600,296
001,8102,834,7.20717,318.723,307,17.2392,1,29,45.4629,88.0382,4.13638,340.084,2155.19,1,376,3600,297
001,8266,883,7.71839,325.303,308,21.3424,1,42,94.7558,78.023,3.05484,348.064,1993.42,1,414,3600,307
001,8506,926,7.60339,334.757,312,22.2991,1,51,162.912,86.7122,2.57831,371.588,2529.8,1,429,3600,308
001,8577,948,7.62675,337.084,318,21.6763,1,47,116.818,87.6168,4.86279,385.567,2327.91,1,435,3600,312
001,8712,925,7.59314,343.687,327,25.1133,1,45,116.166,75.7639,4.18757,284.725,1925.46,1,430,3600,318
001,9021,888,7.30136,360.611,331,17.7229,1,57,57.1923,85.2586,5.72618,370.667,2360.37,1,390,3600,327
001,9038,882,7.47449,361.264,350,18.2277,1,31,45.1497,82.4698,4.59617,280.124,1855.61,1,392,3600,331
001,9380,905,7.31733,374.57,351,16.5284,1,53,105.678,84.3611,5.16679,579.33,3043.73,1,386,3600,350
001,9457,925,7.63937,377.208,367,16.5927,1,32,38.4652,73.8615,3.34134,213.661,1517.06,1,443,3600,351
001,9714,913,7.47674,388.491,372,13.9959,1,40,48.5439,79.7562,2.25801,299.643,2136.89,1,409,3600,367
001,9789,909,7.5587,391.595,380,15.2847,1,30,44.3066,83.7747,2.09172,296.6,1983.79,1,376,3600,372
001,9818,963,7.65304,392.501,381,15.3277,1,32,52.3481,82.9768,2.73853,325.622,2061.42,1,423,3600,380
001,10067,941,7.2322,401.584,388,21.842,1,36,65.2733,87.4078,5.20782,408.554,2617.95,1,405,3600,381
001,10250,955,7.40746,409.482,389,28.0423,1,52,213.261,86.6644,6.35095,487.659,2802.47,1,378,3600,388
001,10652,984,7.66602,425.087,406,23.9961,1,48,199.193,85.404,4.2806,297.308,2194.56,1,427,3600,389
001,10893,1039,7.6569,432.828,417,23.8186,1,44,91.1104,82.0209,7.44177,414.793,2517.41,1,420,3600,406
001,11377,1073,7.56155,454.054,421,28.0427,1,71,228.278,84.3515,7.05802,391.333,2658.06,1,407,3600,417
001,11415,1021,7.59982,455.318,437,26.5155,1,46,154.274,76.5553,5.08796,428.398,2090.01,1,419,3600,421
001,11609,1074,7.72027,461.328,440,18.4721,1,47,92.0402,82.2214,4.03562,281.777,2426.06,1,445,3600,437
001,11668,1042,7.56206,463.464,443,17.881,1,50,52.9764,86.6158,4.89002,284.75,2090.13,1,412,3600,440
001,11703,1004,7.44735,464.774,451,18.3799,1,43,51.4256,82.8985,3.73019,262.912,2022.67,1,390,3600,443
001,12564,998,7.28256,503.011,485,25.4858,1,44,174.461,85.3966,5.43452,328.828,1783.47,1,379,3600,451
001,13270,1106,7.4953,530.45,514,16.6404,1,38,68.8007,79.4867,2.37404,470.571,2421.38,1,422,3600,485
001,13324,1033,7.46304,532.221,519,15.4056,1,30,45.4447,80.2176,3.28889,301.665,1796.86,1,382,3600,514
001,13420,1072,7.52107,535.614,523,16.7162,1,31,43.7065,77.8585,4.1187,359.264,2063.69,1,389,3600,519
001,13609,1106,7.47414,543.267,529,22.206,1,41,80.4028,81.025,4.57056,299.668,1801.66,1,401,3600,523
001,13894,1116,7.49619,555.554,546,15.1811,1,28,30.7482,85.4565,2.65729,320.207,1964.21,1,407,3600,529
001,14082,1165,7.82107,562.452,549,21.0508,1,37,65.7401,83.6561,5.73701,214.888,1938.71,1,438,3600,546
001,14689,1172,7.45766,584.823,563,28.874,1,52,192.889,82.2934,4.79552,290.197,1777.77,1,426,3600,549
001,14982,1154,7.47627,595.88,587,15.2186,1,27,26.2757,80.922,3.60089,326.368,1960.7,1,401,3600,563
001,15743,1230,7.66879,624.735,601,29.0645,1,55,294.016,89.6128,5.64409,764,4607.52,1,412,3600,587
001,17401,1216,7.34971,686.948,675,18.6399,1,38,52.325,84.7409,3.97179,328.355,2393.67,1,388,3600,601
001,17786,1309,7.64078,703.971,691,20.3773,1,35,55.0256,86.5425,4.14602,328,2408.22,1,424,3600,675
001,18079,1290,7.49034,716.568,704,17.8991,1,33,57.7279,80.3136,2.76456,335.322,2117.66,1,424,3600,691
001,18139,1231,7.42027,718.883,705,19.5117,1,36,83.1249,82.1827,4.58812,211.92,1709.65,1,368,3600,704
001,18496,1339,7.74147,731.213,710,23.7837,1,44,119.736,92.262,4.45584,447.674,3063.81,1,406,3600,705
001,18508,1301,7.64037,731.734,715,24.3277,1,42,118.268,89.2836,4.65464,363.936,2599.24,1,398,3600,710
001,18708,1296,7.4906,738.989,717,31.2506,1,55,219.476,85.3104,7.68829,351.247,2082.47,1,382,3600,715
001,19233,1382,7.7477,758.286,740,27.3334,1,47,115.481,87.4912,8.22968,320.162,2206.67,1,434,3600,717
001,19538,1298,7.50784,772.906,744,24.2822,1,66,391.229,77.5893,3.56472,240.071,1733.02,1,404,3600,740
001,20026,1413,7.68195,787.867,766,24.202,1,55,162.959,89.4728,4.72918,266.914,2524.91,1,418,3600,744
001,20112,1360,7.63275,790.994,776,19.3835,1,38,72.4434,81.9178,4.77129,337.147,2248.98,1,416,3600,766
001,20496,1426,7.65271,803.374,782,30.8396,1,52,201.336,93.412,6.85627,345.946,2638.59,1,424,3600,776
001,20722,1385,7.47288,812.283,790,31.7049,1,58,217.445,82.0196,6.54738,319.645,2041.39,1,400,3600,782
001,21019,1314,7.31316,827.593,816,15.671,1,28,39.2587,81.2295,3.21573,344.838,1861.75,1,371,3600,790
001,21114,1394,7.59704,830.558,818,18.4432,1,33,58.4142,81.4064,3.4214,328.289,2336.76,1,429,3600,816
001,21354,1351,7.33137,841.856,826,21.1363,1,42,143.945,73.9997,2.45266,274,2179.91,1,401,3600,818
001,21723,1423,7.44404,855.735,844,16.27,1,32,30.4647,83.1245,4.64528,258.272,2223.45,1,395,3600,826
001,21965,1434,7.34546,866.71,847,17.9557,1,45,115.149,74.7074,2.1697,295.833,1761.22,1,404,3600,844
001,22001,1428,7.55474,868.57,851,14.473,1,46,73.9452,77.8813,2.14311,313.5,1860.2,1,402,3600,847
001,22106,1408,7.60099,873.779,863,13.0429,1,28,39.2459,76.8043,3.44178,224.28,1683.82,1,422,3600,851
001,22354,1511,7.80723,882.93,869,20.8138,1,36,83.7828,84.221,2.36051,472.017,2178.79,1,465,3600,863
001,22646,1462,7.37424,895.536,879,24.8605,1,42,80.2991,85.7472,6.78616,314.545,2079.82,1,389,3600,869
001,23060,1448,7.73256,909.884,896,11.8285,1,35,31.0134,77.4003,2.26708,235.646,1983.88,1,416,3600,879
001,23126,1489,7.74361,912.689,902,14.1972,1,29,23.0881,76.6152,3.33935,301.202,1889.62,1,433,3600,896
001,23281,1463,7.39527,919.559,905,20.4597,1,39,90.0912,84.6662,5.03493,397.45,2620.55,1,393,3600,902
001,23555,1476,7.65565,930.651,920,14.8079,1,30,31.6656,75.6204,4.36675,288.222,1630.98,1,411,3600,905
001,23725,1467,7.61094,937.517,924,19.4132,1,34,66.7957,82.3937,3.19104,332.56,2084.57,1,399,3600,920
001,23852,1483,7.56377,942.603,926,19.2623,1,40,95.9848,86.8188,4.27753,428.698,2672.67,1,383,3600,924
001,24147,1541,7.67623,953.563,934,22.7661,1,46,97.4105,81.898,5.58356,298.5,2119.59,1,419,3600,926
