rep,node,steps,update_discovered
001,1,2,18
001,2,2,24
001,3,197,97973
001,4,2,12
001,5,2,17
002,1,3,86
002,2,2,6
002,3,179,92527
002,4,2,4
002,5,4,79
003,1,3,22
003,2,5,187
003,3,142,99953
003,4,3,119
003,5,3,464
004,1,9,5090
004,2,3,3918
004,3,4,522
004,4,5,8168
004,5,214,95397
005,1,3,34
005,2,3,42
005,3,4,108
005,4,6,1010
005,5,268,99032
006,1,2,52
006,2,2,19
006,3,2,27
006,4,2,9
006,5,262,99476
007,1,3,1530
007,2,5,384
007,3,148,99099
007,4,7,1026
007,5,9,2729
008,1,4,64
008,2,58,94997
008,3,3,518
008,4,3,613
008,5,4,854
009,1,3,40
009,2,2,3
009,3,2,77
009,4,2,19
009,5,249,99865
010,1,99,93226
010,2,2,25
010,3,2,7
010,4,2,10
010,5,2,15
011,1,2,10
011,2,4,406
011,3,4,99
011,4,2,7
011,5,273,98579
012,1,2,37
012,2,2,5
012,3,201,96626
012,4,2,20
012,5,2,24
013,1,3,714
013,2,8,2193
013,3,9,6212
013,4,188,97406
013,5,3,3227
014,1,14,4975
014,2,9,1319
014,3,2,58
014,4,3,63
014,5,167,99999
015,1,79,79749
015,2,1,2
015,3,1,2
015,4,1,2
015,5,1,2
016,1,3,51
016,2,6,1643
016,3,183,97074
016,4,4,2119
016,5,7,2533
017,1,17,14083
017,2,9,21206
017,3,8,19221
017,4,192,98739
017,5,2,45
018,1,21,9233
018,2,5,20433
018,3,4,19630
018,4,4,20127
018,5,182,99399
019,1,3,82
019,2,3,147
019,3,3,14
019,4,240,99147
019,5,2,40
020,1,2,31
020,2,2,55
020,3,3,29
020,4,2,51
020,5,317,99921
021,1,4,1124
021,2,5,4765
021,3,6,3724
021,4,151,99674
021,5,6,1751
022,1,2,22
022,2,110,66247
022,3,2,47
022,4,2,7
022,5,3,60
023,1,4,564
023,2,3,27
023,3,5,165
023,4,186,99481
023,5,3,273
024,1,2,44
024,2,2,15
024,3,2,20
024,4,3,83
024,5,263,99948
025,1,2,56
025,2,2,18
025,3,3,26
025,4,1,2
025,5,292,99988
026,1,4,7384
026,2,123,99306
026,3,7,1053
026,4,6,4125
026,5,5,2698
027,1,2,11
027,2,141,89989
027,3,2,38
027,4,2,14
027,5,2,46
028,1,65,96402
028,2,3,749
028,3,3,163
028,4,13,2743
028,5,4,491
029,1,4,3205
029,2,3,160
029,3,6,2373
029,4,202,99360
029,5,5,682
030,1,2,15
030,2,3,57
030,3,145,91249
030,4,3,745
030,5,7,1143
031,1,2,10
031,2,3,267
031,3,2,41
031,4,2,11
031,5,330,96944
032,1,2,9
032,2,3,125
032,3,4,367
032,4,3,261
032,5,230,99828
033,1,3,430
033,2,3,211
033,3,17,7344
033,4,196,98928
033,5,3,380
034,1,3,1102
034,2,4,623
034,3,5,1451
034,4,209,93795
034,5,4,201
035,1,2,40
035,2,3,1031
035,3,8,460
035,4,2,19
035,5,242,99815
036,1,36,77892
036,2,19,37649
036,3,3,18
036,4,3,46111
036,5,5,46225
037,1,6,1009
037,2,3,1795
037,3,174,99893
037,4,2,17
037,5,5,2318
038,1,2,7
038,2,3,43
038,3,2,11
038,4,178,99943
038,5,2,28
039,1,3,18
039,2,1,2
039,3,2,12
039,4,1,2
039,5,283,99822
040,1,2,26
040,2,11,454
040,3,2,39
040,4,3,2447
040,5,267,97771
041,1,4,2995
041,2,2,33
041,3,3,145
041,4,190,94552
041,5,4,3615
042,1,5,15579
042,2,3,7463
042,3,151,99446
042,4,2,4
042,5,12,11946
043,1,9,2116
043,2,3,15
043,3,2,47
043,4,2,33
043,5,227,99960
044,1,2,6
044,2,4,172
044,3,2,6
044,4,3,133
044,5,238,99434
045,1,2,13
045,2,10,1559
045,3,2,6
045,4,2,4783
045,5,226,99878
046,1,2,3
046,2,3,570
046,3,170,97322
046,4,2,17
046,5,2,34
047,1,5,95
047,2,2,35
047,3,3,687
047,4,3,256
047,5,291,99503
048,1,2,12
048,2,2,16
048,3,2,7
048,4,2,43
048,5,233,92883
049,1,2,18
049,2,3,86
049,3,2,41
049,4,212,94914
049,5,2,20
050,1,4,902
050,2,115,99903
050,3,4,1225
050,4,4,572
050,5,5,197
