generation,fitness,source_node,dest_node,steps,rep
1000,1.23177,0,3,8,001
2000,1.28971,0,3,10,001
3000,1.37662,0,3,13,001
4000,1.72428,0,3,25,001
5000,1.84016,0,3,29,001
6000,2.12987,0,3,39,001
7000,2.15884,0,3,40,001
8000,2.27473,0,3,44,001
9000,2.33267,0,3,46,001
10000,2.33267,0,3,46,001
11000,2.27473,0,3,44,001
12000,2.24575,0,3,43,001
13000,2.24575,0,3,43,001
14000,2.27473,0,3,44,001
15000,2.27473,0,3,44,001
16000,2.53546,0,3,53,001
17000,2.39061,0,3,48,001
18000,2.53546,0,3,53,001
19000,2.44855,0,3,50,001
20000,2.53546,0,3,53,001
21000,2.50649,0,3,52,001
22000,2.33267,0,3,46,001
23000,2.39061,0,3,48,001
24000,2.36164,0,3,47,001
25000,2.39061,0,3,48,001
26000,2.47752,0,3,51,001
27000,2.36164,0,3,47,001
28000,2.39061,0,3,48,001
29000,2.41958,0,3,49,001
30000,2.39061,0,3,48,001
31000,2.50649,0,3,52,001
32000,2.76723,0,3,61,001
33000,2.76723,0,3,61,001
34000,2.7962,0,3,62,001
35000,2.88312,0,3,65,001
36000,2.91209,0,3,66,001
37000,3.08591,0,3,72,001
38000,2.999,0,3,69,001
39000,2.94106,0,3,67,001
40000,3.02797,0,3,70,001
41000,3.05694,0,3,71,001
42000,3.14386,0,3,74,001
43000,3.17283,0,3,75,001
44000,3.23077,0,3,77,001
45000,3.34665,0,3,81,001
46000,3.43357,0,3,84,001
47000,3.43357,0,3,84,001
48000,3.43357,0,3,84,001
49000,3.37562,0,3,82,001
50000,3.31768,0,3,80,001
51000,3.11489,0,3,73,001
52000,3.14386,0,3,74,001
53000,3.28871,0,3,79,001
54000,3.37562,0,3,82,001
55000,3.49151,0,3,86,001
56000,3.66533,0,3,92,001
57000,3.69431,0,3,93,001
58000,3.72328,0,3,94,001
59000,3.81019,0,3,97,001
60000,4.01299,0,3,104,001
61000,4.01299,0,3,104,001
62000,3.92607,0,3,101,001
63000,3.83916,0,3,98,001
64000,4.04196,0,3,105,001
65000,3.95504,0,3,102,001
66000,4.12887,0,3,108,001
67000,4.07093,0,3,106,001
68000,4.3027,0,3,114,001
69000,4.38961,0,3,117,001
70000,4.59241,0,3,124,001
71000,4.76623,0,3,130,001
72000,4.91109,0,3,135,001
73000,5.02697,0,3,139,001
74000,4.91109,0,3,135,001
75000,5.02697,0,3,139,001
76000,5.17183,0,3,144,001
77000,5.25874,0,3,147,001
78000,5.2008,0,3,145,001
79000,5.34565,0,3,150,001
80000,5.31668,0,3,149,001
81000,5.37463,0,3,151,001
82000,5.46154,0,3,154,001
83000,5.66434,0,3,161,001
84000,5.60639,0,3,159,001
85000,5.51948,0,3,156,001
86000,5.4036,0,3,152,001
87000,5.57742,0,3,158,001
88000,5.57742,0,3,158,001
89000,5.66434,0,3,161,001
90000,5.92507,0,3,170,001
91000,6.04096,0,3,174,001
92000,5.92507,0,3,170,001
93000,6.0989,0,3,176,001
94000,6.24376,0,3,181,001
95000,6.33067,0,3,184,001
96000,6.27273,0,3,182,001
97000,6.53347,0,3,191,001
98000,6.62038,0,3,194,001
99000,6.53347,0,3,191,001
100000,6.64935,0,3,195,001
1000,1.14486,0,3,5,002
2000,1.14486,0,3,5,002
3000,1.26074,0,3,9,002
4000,1.28971,0,3,10,002
5000,1.31868,0,3,11,002
6000,1.57942,0,3,20,002
7000,1.66633,0,3,23,002
8000,1.63736,0,3,22,002
9000,1.81119,0,3,28,002
10000,1.98501,0,3,34,002
11000,2.04296,0,3,36,002
12000,2.15884,0,3,40,002
13000,2.12987,0,3,39,002
14000,2.24575,0,3,43,002
15000,2.21678,0,3,42,002
16000,2.33267,0,3,46,002
17000,2.47752,0,3,51,002
18000,2.44855,0,3,50,002
19000,2.62238,0,3,56,002
20000,2.82517,0,3,63,002
21000,2.82517,0,3,63,002
22000,2.82517,0,3,63,002
23000,2.97003,0,3,68,002
24000,2.94106,0,3,67,002
25000,3.11489,0,3,73,002
26000,3.11489,0,3,73,002
27000,3.14386,0,3,74,002
28000,3.34665,0,3,81,002
29000,3.34665,0,3,81,002
30000,3.31768,0,3,80,002
31000,3.54945,0,3,88,002
32000,3.81019,0,3,97,002
33000,3.83916,0,3,98,002
34000,3.92607,0,3,101,002
35000,4.07093,0,3,106,002
36000,3.98402,0,3,103,002
37000,4.07093,0,3,106,002
38000,3.98402,0,3,103,002
39000,4.07093,0,3,106,002
40000,4.07093,0,3,106,002
41000,4.12887,0,3,108,002
42000,4.21578,0,3,111,002
43000,4.38961,0,3,117,002
44000,4.24476,0,3,112,002
45000,4.41858,0,3,118,002
46000,4.33167,0,3,115,002
