generation,fitness,source_node,dest_node,steps,rep
1000,1.78322,0,5,16,001
2000,2.51748,0,5,31,001
3000,3.25175,0,5,46,001
4000,3.98601,0,5,61,001
5000,4.72028,0,5,76,001
6000,5.74825,0,5,97,001
7000,6.23776,0,5,107,001
8000,7.02098,0,5,123,001
9000,7.65734,0,5,136,001
10000,8.24476,0,5,148,001
11000,8.97902,0,5,163,001
12000,9.66434,0,5,177,001
13000,10.6923,0,5,198,001
14000,11.2797,0,5,210,001
15000,12.1119,0,5,227,001
16000,12.6993,0,5,239,001
17000,13.5315,0,5,256,001
18000,14.2168,0,5,270,001
19000,14.8531,0,5,283,001
20000,15.6364,0,5,299,001
21000,16.3217,0,5,313,001
22000,16.8112,0,5,323,001
23000,17.4476,0,5,336,001
24000,18.1818,0,5,351,001
25000,18.9161,0,5,366,001
26000,19.7483,0,5,383,001
27000,20.5804,0,5,400,001
28000,21.3147,0,5,415,001
29000,22.049,0,5,430,001
30000,22.8811,0,5,447,001
31000,23.7133,0,5,464,001
32000,24.2028,0,5,474,001
33000,25.035,0,5,491,001
34000,25.6224,0,5,503,001
35000,26.4056,0,5,519,001
36000,27.0909,0,5,533,001
37000,27.9231,0,5,550,001
38000,28.5594,0,5,563,001
39000,29.2937,0,5,578,001
40000,30.028,0,5,593,001
41000,30.6643,0,5,606,001
42000,31.5944,0,5,625,001
43000,32.3287,0,5,640,001
44000,33.1119,0,5,656,001
45000,33.993,0,5,674,001
46000,34.5804,0,5,686,001
47000,35.3147,0,5,701,001
48000,36.049,0,5,716,001
49000,36.6853,0,5,729,001
50000,37.3217,0,5,742,001
51000,37.958,0,5,755,001
52000,38.4965,0,5,766,001
53000,39.1818,0,5,780,001
54000,39.9161,0,5,795,001
55000,40.4545,0,5,806,001
56000,41.2378,0,5,822,001
57000,42.021,0,5,838,001
58000,42.6573,0,5,851,001
59000,43.3427,0,5,865,001
60000,43.8322,0,5,875,001
61000,45.0559,0,5,900,001
62000,45.7902,0,5,915,001
63000,46.6224,0,5,932,001
64000,47.3566,0,5,947,001
65000,48.0909,0,5,962,001
66000,48.8741,0,5,978,001
67000,49.3636,0,5,988,001
68000,50,5,5,0,001
69000,50,5,5,0,001
70000,50,5,5,0,001
71000,50,5,5,0,001
72000,50,5,5,0,001
73000,50,5,5,0,001
74000,50,5,5,0,001
75000,50,5,5,0,001
76000,50,5,5,0,001
77000,50,5,5,0,001
78000,50,5,5,0,001
79000,50,5,5,0,001
80000,50,5,5,0,001
81000,50,5,5,0,001
82000,50,5,5,0,001
83000,50,5,5,0,001
84000,50,5,5,0,001
85000,50,5,5,0,001
86000,50,5,5,0,001
87000,50,5,5,0,001
88000,50,5,5,0,001
89000,50,5,5,0,001
90000,50,5,5,0,001
91000,50,5,5,0,001
92000,50,5,5,0,001
93000,50,5,5,0,001
94000,50,5,5,0,001
95000,50,5,5,0,001
96000,50,5,5,0,001
97000,50,5,5,0,001
98000,50,5,5,0,001
99000,50,5,5,0,001
100000,50,5,5,0,001
1000,2.02797,0,5,21,002
2000,2.56643,0,5,32,002
3000,3.34965,0,5,48,002
4000,3.98601,0,5,61,002
5000,4.62238,0,5,74,002
6000,5.40559,0,5,90,002
7000,6.09091,0,5,104,002
8000,6.72727,0,5,117,002
9000,7.51049,0,5,133,002
10000,8.1958,0,5,147,002
11000,8.83217,0,5,160,002
12000,9.61538,0,5,176,002
13000,10.2028,0,5,188,002
14000,10.8881,0,5,202,002
15000,11.6224,0,5,217,002
16000,12.3077,0,5,231,002
17000,12.8462,0,5,242,002
18000,13.5804,0,5,257,002
19000,14.2657,0,5,271,002
20000,14.951,0,5,285,002
21000,15.6853,0,5,300,002
22000,16.4196,0,5,315,002
23000,17.1538,0,5,330,002
24000,17.7413,0,5,342,002
25000,18.5245,0,5,358,002
26000,19.2587,0,5,373,002
27000,19.993,0,5,388,002
28000,20.6294,0,5,401,002
29000,21.7552,0,5,424,002
30000,22.4895,0,5,439,002
31000,23.3217,0,5,456,002
32000,23.958,0,5,469,002
33000,24.4965,0,5,480,002
34000,25.1818,0,5,494,002
35000,25.965,0,5,510,002
36000,26.7972,0,5,527,002
37000,27.4825,0,5,541,002
38000,28.1678,0,5,555,002
39000,29,0,5,572,002
40000,29.7343,0,5,587,002
41000,30.1748,0,5,596,002
42000,30.9091,0,5,611,002
43000,31.6923,0,5,627,002
44000,32.2308,0,5,638,002
45000,32.8182,0,5,650,002
46000,33.6014,0,5,666,002
47000,34.3357,0,5,681,002
48000,34.972,0,5,694,002
49000,35.8531,0,5,712,002
50000,36.5385,0,5,726,002
51000,37.1259,0,5,738,002
52000,37.8112,0,5,752,002
53000,38.5944,0,5,768,002
54000,39.2797,0,5,782,002
55000,39.9161,0,5,795,002
56000,40.6993,0,5,811,002
57000,41.4825,0,5,827,002
58000,42.1678,0,5,841,002
59000,42.7552,0,5,853,002
60000,43.3427,0,5,865,002
61000,44.028,0,5,879,002
62000,44.8112,0,5,895,002
63000,45.4965,0,5,909,002
64000,46.3776,0,5,927,002
65000,46.965,0,5,939,002
66000,47.8951,0,5,958,002
67000,48.3846,0,5,968,002
68000,49.1189,0,5,983,002
69000,49.8531,0,5,998,002
70000,50,5,5,0,002
71000,50,5,5,0,002
72000,50,5,5,0,002
73000,50,5,5,0,002
74000,50,5,5,0,002
75000,50,5,5,0,002
76000,50,5,5,0,002
77000,50,5,5,0,002
78000,50,5,5,0,002
79000,50,5,5,0,002
80000,50,5,5,0,002
81000,50,5,5,0,002
82000,50,5,5,0,002
83000,50,5,5,0,002
84000,50,5,5,0,002
85000,50,5,5,0,002
86000,50,5,5,0,002
87000,50,5,5,0,002
88000,50,5,5,0,002
89000,50,5,5,0,002
90000,50,5,5,0,002
91000,50,5,5,0,002
92000,50,5,5,0,002
93000,50,5,5,0,002
94000,50,5,5,0,002
95000,50,5,5,0,002
96000,50,5,5,0,002
97000,50,5,5,0,002
98000,50,5,5,0,002
99000,50,5,5,0,002
100000,50,5,5,0,002
1000,1.93007,0,5,19,003
2000,3.00699,0,5,41,003
3000,3.59441,0,5,53,003
4000,4.32867,0,5,68,003
5000,5.01399,0,5,82,003
6000,5.55245,0,5,93,003
7000,6.28671,0,5,108,003
8000,7.46154,0,5,132,003
9000,8.29371,0,5,149,003
10000,8.83217,0,5,160,003
11000,9.56643,0,5,175,003
12000,10.5944,0,5,196,003
13000,11.1818,0,5,208,003
14000,11.7692,0,5,220,003
15000,12.5524,0,5,236,003
16000,13.1888,0,5,249,003
17000,13.972,0,5,265,003
18000,14.5594,0,5,277,003
19000,15.4406,0,5,295,003
20000,16.2727,0,5,312,003
21000,16.8112,0,5,323,003
22000,17.6923,0,5,341,003
23000,18.3776,0,5,355,003
24000,19.014,0,5,368,003
25000,19.6503,0,5,381,003
26000,20.3357,0,5,395,003
27000,21.021,0,5,409,003
28000,21.7063,0,5,423,003
29000,22.5385,0,5,440,003
30000,23.1259,0,5,452,003
31000,23.9091,0,5,468,003
32000,24.5944,0,5,482,003
33000,25.2308,0,5,495,003
34000,26.014,0,5,511,003
35000,26.6993,0,5,525,003
36000,27.4825,0,5,541,003
37000,28.0699,0,5,553,003
38000,28.951,0,5,571,003
39000,29.6364,0,5,585,003
40000,30.4196,0,5,601,003
41000,31.0559,0,5,614,003
42000,31.7902,0,5,629,003
43000,32.5245,0,5,644,003
