rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,59987,5431,8.83006,1105.79,592,649.092,1,1068,132755,494.067,248.962,2357.69,36028.1,1,641,3600,-1
004,70317,6333,8.76291,1317.49,508,1064.86,1,1665,350086,621.821,343.898,1789.17,31832.5,1,630,3600,-1
007,66847,7655,8.87579,1253.55,408,969.706,1,1724,272006,686.778,335.138,1900.44,94649.1,1,652,3600,-1
011,50060,6326,8.92806,922.912,154,994.175,1,1535,301831,582.786,329.214,2533.79,47281.5,1,673,3600,-1
011,53790,5697,8.88024,995.542,189,970.181,1,1636,350363,540.227,292.476,1496.32,35006,1,652,3600,154
012,61624,6896,8.92568,1146.09,173,1060.63,1,2004,422909,618.773,307.444,3174.72,51959.5,1,667,3600,-1
013,57310,5330,8.90817,1042.62,529,678.136,1,1074,116683,471.629,252.666,1422.49,19937.3,1,651,3600,-1
013,68623,6404,8.87506,1249.3,654,857.422,1,1234,172592,561.555,271.473,1865.16,46286.1,1,664,3600,529
016,63477,6395,8.86021,1150.27,483,842.812,1,1343,164133,569.231,283.647,2645.99,50640.4,1,660,3600,-1
016,66556,6273,8.99272,1208.41,595,878.663,1,1266,170418,527.125,272.828,1773.24,21609,1,690,3600,483
025,65440,6329,8.8333,1224.04,590,903.11,1,1298,209365,563.188,269.296,1787.86,34510.3,1,639,3600,-1
026,48776,5544,8.8802,913.925,213,514.958,1,1413,78117.4,517.22,169.395,3871.68,196927,1,658,3600,-1
026,49000,4748,8.74468,918.166,556,497.381,1,762,55886.2,462.353,168.309,2845.77,38504.4,1,596,3600,213
027,56167,6156,8.85327,1052.23,96,1164.9,1,1945,586070,583.824,316.925,1844.98,53355.3,1,649,3600,-1
028,58771,6052,8.82502,1080.35,369,949.475,1,1464,235809,561.289,281.996,1736.77,24292.6,1,635,3600,-1
030,84335,10318,8.81766,1448.73,430,1309.2,1,2098,408894,1304.09,680.275,4694.06,129078,1,623,3600,-1
035,67369,6222,8.89173,1226.42,565,891.953,1,1364,207545,557.754,254.019,1788.91,32230.1,1,650,3600,-1
037,52965,5762,8.85613,992.696,482,692.056,1,1071,124571,531.081,256.569,1552.11,33026.7,1,647,3600,-1
048,59168,6142,8.81542,1099.82,258,1061.19,1,1723,396509,576.196,302.519,1218.71,28242.6,1,630,3600,-1
048,75222,7640,8.80375,1350.62,741,758.957,1,1267,156532,901.814,455.508,9484.19,236237,1,628,3600,258
