rep,node,steps,update_discovered
001,1,3,33
001,2,2,21
001,3,2,13
001,4,2,11
001,5,762,99791
002,1,3,62
002,2,3,153
002,3,467,99942
002,4,3,75
002,5,3,8
003,1,3,51
003,2,5,83
003,3,4,108
003,4,3,313
003,5,718,99753
004,1,2,12
004,2,2,7
004,3,454,99788
004,4,2,4
004,5,2,7
005,1,3,34
005,2,3,15
005,3,2,9
005,4,4,50
005,5,774,99968
006,1,4,77
006,2,3,130
006,3,454,99897
006,4,2,7
006,5,2,8
007,1,3,45
007,2,2,11
007,3,453,99552
007,4,4,65
007,5,2,16
008,1,4,204
008,2,3,8
008,3,3,144
008,4,3,54
008,5,734,99838
009,1,4,1416
009,2,4,73
009,3,504,98737
009,4,8,997
009,5,5,33
010,1,2,12
010,2,299,99672
010,3,2,9
010,4,3,70
010,5,2,11
011,1,2,5
011,2,3,26
011,3,460,99876
011,4,2,13
011,5,3,55
012,1,2,14
012,2,3,47
012,3,3,126
012,4,3,19
012,5,767,99771
013,1,2,22
013,2,2,47
013,3,4,56
013,4,625,99947
013,5,3,118
014,1,3,76
014,2,3,76
014,3,467,99983
014,4,2,8
014,5,4,203
015,1,3,86
015,2,2,5
015,3,2,26
015,4,629,99881
015,5,2,21
016,1,2,5
016,2,2,6
016,3,429,99974
016,4,2,24
016,5,2,11
017,1,4,56
017,2,3,40
017,3,7,344
017,4,6,1435
017,5,730,98938
018,1,3,63
018,2,3,59
018,3,2,6
018,4,582,99874
018,5,3,146
019,1,4,362
019,2,6,246
019,3,393,99680
019,4,2,9
019,5,2,6
020,1,3,24
020,2,3,116
020,3,3,150
020,4,3,85
020,5,748,99917
021,1,2,26
021,2,3,51
021,3,455,99779
021,4,3,99
021,5,3,6
022,1,3,33
022,2,2,4
022,3,2,24
022,4,2,16
022,5,754,99935
023,1,2,36
023,2,5,60
023,3,2,14
023,4,2,17
023,5,776,99984
024,1,3,33
024,2,2,13
024,3,3,171
024,4,2,6
024,5,792,99673
025,1,5,240
025,2,7,1182
025,3,4,103
025,4,3,64
025,5,763,99849
026,1,9,327
026,2,11,4077
026,3,5,1926
026,4,603,99550
026,5,4,107
027,1,3,229
027,2,4,144
027,3,453,99510
027,4,3,61
027,5,3,130
028,1,3,113
028,2,341,99100
028,3,2,6
028,4,3,165
028,5,2,15
029,1,3,24
029,2,2,14
029,3,4,67
029,4,3,51
029,5,739,99994
030,1,2,10
030,2,2,14
030,3,2,11
030,4,595,99921
030,5,2,3
031,1,3,257
031,2,293,99905
031,3,3,125
031,4,3,132
031,5,3,45
032,1,4,29
032,2,3,239
032,3,5,673
032,4,629,98939
032,5,4,360
033,1,3,64
033,2,2,4
033,3,4,71
033,4,4,79
033,5,747,98250
034,1,3,31
034,2,2,4
034,3,2,9
034,4,2,5
034,5,725,99610
035,1,3,532
035,2,5,125
035,3,3,533
035,4,619,99671
035,5,3,38
036,1,3,802
036,2,3,154
036,3,2,13
036,4,610,99916
036,5,2,14
037,1,2,12
037,2,3,19
037,3,3,66
037,4,3,99
037,5,791,99017
038,1,2,9
038,2,3,32
038,3,2,8
038,4,3,51
038,5,730,99968
039,1,2,13
039,2,350,99998
039,3,2,10
039,4,3,46
039,5,3,33
040,1,5,83
040,2,3,45
040,3,2,4
040,4,3,31
040,5,719,99648
041,1,2,6
041,2,263,99543
041,3,3,18
041,4,3,158
041,5,3,25
042,1,4,41
042,2,3,555
042,3,4,668
042,4,606,99815
042,5,5,275
043,1,3,294
043,2,300,99203
043,3,6,221
043,4,2,13
043,5,3,70
044,1,2,13
044,2,3,8
044,3,2,9
044,4,2,18
044,5,709,99953
045,1,2,5
045,2,3,41
045,3,2,10
045,4,540,99004
045,5,2,16
046,1,3,47
046,2,320,99972
046,3,2,6
046,4,2,14
046,5,2,41
047,1,3,166
047,2,2,6
047,3,4,127
047,4,2,38
047,5,763,99934
048,1,3,71
048,2,4,361
048,3,5,294
048,4,3,190
048,5,719,99998
049,1,2,16
049,2,3,56
049,3,396,99417
049,4,2,6
049,5,3,405
050,1,4,76
050,2,4,297
050,3,448,99334
050,4,3,30
050,5,2,9
