generation,fitness,source_node,dest_node,steps,rep
1000,1.24476,0,5,5,001
2000,1.63636,0,5,13,001
3000,2.32168,0,5,27,001
4000,2.76224,0,5,36,001
5000,3.05594,0,5,42,001
6000,3.4965,0,5,51,001
7000,3.64336,0,5,54,001
8000,3.93706,0,5,60,001
9000,4.23077,0,5,66,001
10000,4.62238,0,5,74,001
11000,4.81818,0,5,78,001
12000,4.96503,0,5,81,001
13000,5.25874,0,5,87,001
14000,5.8951,0,5,100,001
15000,6.18881,0,5,106,001
16000,6.48252,0,5,112,001
17000,6.82517,0,5,119,001
18000,7.46154,0,5,132,001
19000,8.0979,0,5,145,001
20000,8.44056,0,5,152,001
21000,8.93007,0,5,162,001
22000,9.27273,0,5,169,001
23000,9.86014,0,5,181,001
24000,10.1049,0,5,186,001
25000,10.5455,0,5,195,001
26000,10.6923,0,5,198,001
27000,11.1818,0,5,208,001
28000,11.5245,0,5,215,001
29000,11.6713,0,5,218,001
30000,11.965,0,5,224,001
31000,12.4056,0,5,233,001
32000,12.6993,0,5,239,001
33000,13.042,0,5,246,001
34000,13.1399,0,5,248,001
35000,13.7762,0,5,261,001
36000,14.4126,0,5,274,001
37000,14.9021,0,5,284,001
38000,15.0979,0,5,288,001
39000,15.1958,0,5,290,001
40000,15.5874,0,5,298,001
41000,15.7343,0,5,301,001
42000,16.1748,0,5,310,001
43000,16.4196,0,5,315,001
44000,16.8601,0,5,324,001
45000,17.3497,0,5,334,001
46000,17.4965,0,5,337,001
47000,17.986,0,5,347,001
48000,18.1329,0,5,350,001
49000,18.6224,0,5,360,001
50000,19.1119,0,5,370,001
51000,19.7483,0,5,383,001
52000,20.5315,0,5,399,001
53000,21.021,0,5,409,001
54000,21.4126,0,5,417,001
55000,22,0,5,429,001
56000,22.4895,0,5,439,001
57000,22.5385,0,5,440,001
58000,23.1259,0,5,452,001
59000,23.3217,0,5,456,001
60000,23.7133,0,5,464,001
61000,24.1538,0,5,473,001
62000,24.6923,0,5,484,001
63000,25.1329,0,5,493,001
64000,25.5245,0,5,501,001
65000,26.2098,0,5,515,001
