rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs,prev_mrca_depth
001,406,355,6.38611,15.9112,2,6.71453,1,31,13.5283,55.318,1.30504,266.368,984.411,1,288,3481,-1
001,481,333,5.65656,18.578,13,8.66513,1,18,13.541,69.5751,1.85003,200,1405.94,1,261,3481,2
001,836,361,5.90042,33.054,27,5.85334,1,17,6.78652,59.9818,0.683274,192,1205.19,1,295,3481,13
001,936,360,5.90073,36.6188,31,8.67311,1,18,18.9713,72.294,1.6125,195,1156.79,1,281,3481,27
001,1163,396,6.14447,45.0655,35,12.5204,1,27,53.2163,67.8836,3.54399,184.595,1020.69,1,288,3481,31
001,1318,402,6.55323,51.0356,36,14.39,1,36,92.9631,67.5029,3.26298,236.004,1380.64,1,285,3481,35
001,1518,446,6.47738,57.7751,46,14.3819,1,33,64.0858,68.2948,3.27977,238.807,1341.21,1,296,3481,36
001,1937,420,6.46871,75.3916,70,9.00235,1,18,13.3728,64.6634,0.966507,162.191,1058.29,1,289,3481,46
001,2062,436,6.50088,79.7142,72,12.1172,1,24,26.0345,70.45,2.23495,229.299,1472.86,1,287,3481,70
001,2167,412,5.82241,85.4453,74,8.13138,1,28,33.1436,57.4796,1.35301,169.64,691.474,1,277,3481,72
001,2306,416,5.90367,90.297,83,8.94234,1,20,20.5982,70.4586,1.09504,225.439,1573.05,1,284,3481,74
001,2379,459,6.70737,92.9621,87,8.79607,1,20,15.9275,65.6176,1.21223,276,1425.73,1,297,3481,83
001,2603,432,5.64338,102.307,95,10.3639,1,21,16.9293,65.2538,2.09797,244.333,1571.84,1,260,3481,87
001,2657,451,5.54828,105.569,96,7.49819,1,24,23.7012,64.1926,1.0873,235.156,1131.41,1,291,3481,95
001,2704,417,5.85536,107.748,99,7.32373,1,23,9.86701,70.1652,0.853846,155.258,1177.9,1,265,3481,96
001,2749,444,5.95871,110.24,104,9.6516,1,18,15.9418,65.3082,1.74124,200,1161.66,1,281,3481,99
001,2841,516,6.49468,114.058,105,12.2509,1,25,32.7142,58.3095,2.04601,266,1023.33,1,314,3481,104
001,2901,424,4.81161,118.971,108,7.85607,1,24,26.2556,58.2663,1.25263,227.249,761.449,1,256,3481,105
001,2919,413,5.08301,119.656,111,6.55581,1,21,20.1614,64.1187,1.1674,142.839,685.231,1,257,3481,108
