rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,317,309,5.48572,12.1358,5,9.35565,1,20,22.468,51.607,1.14441,151.4,864.337,1,275,3600,-1
001,392,364,5.62763,15.2406,6,12.2254,1,26,52.4846,63.8108,1.43652,181.55,984.673,1,306,3600,5
001,745,382,5.51332,29.6228,20,14.7713,1,28,64.0021,65.7674,1.97279,181.27,1006.5,1,303,3600,6
001,1247,403,5.63845,52.6189,43,10.8228,1,27,30.207,65.5237,2.22971,181.773,1194.63,1,300,3600,20
001,1316,417,5.30214,55.6503,47,10.0912,1,24,30.5945,63.6586,1.17866,184.061,1234.98,1,301,3600,43
001,1380,364,4.91166,59.8175,52,5.90731,1,18,9.97124,57.4043,0.928702,229,1020.84,1,275,3600,47
001,1430,406,5.48114,62.4239,55,7.89687,1,18,11.2622,60.4884,0.649714,167.084,1194.05,1,308,3600,52
001,1484,381,5.4864,64.7072,57,8.39083,1,19,26.3815,62.3489,1.03834,221,1130.85,1,277,3600,55
001,1504,440,6.05607,65.9708,58,9.75987,1,22,34.1538,62.4635,0.923838,204.098,1242.01,1,324,3600,57
001,1675,414,5.61328,73.1125,65,10.7512,1,21,32.5496,68.1898,1.40659,190.164,1528.34,1,281,3600,58
001,1804,390,5.41295,82.9858,73,10.0616,1,25,47.0949,54.9019,1.1117,181.667,890.628,1,273,3600,65
001,1935,443,6.05663,91.8197,83,6.13409,1,19,6.49438,63.6756,0.614887,140.917,1224.05,1,317,3600,73
001,1973,451,5.8563,94.2017,89,7.05857,1,17,9.74544,58.2125,0,177,1147.76,1,308,3600,83
001,2078,461,5.86459,99.5411,93,7.17719,1,19,12.8324,59.3688,0.693645,152.278,1139.51,1,313,3600,89
001,2204,477,5.40764,104.561,97,9.05569,1,19,23.6913,72.0503,1.10072,251.022,1910.82,1,308,3600,93
001,2297,457,5.75917,109.912,98,9.33206,1,26,23.4037,60.1622,1.77378,256.333,1520.05,1,297,3600,97
001,2304,468,5.98357,110.571,102,9.42549,1,19,23.551,54.9786,1.28032,181.127,1145.87,1,313,3600,98
001,2363,465,5.57149,113.876,104,7.76032,1,22,14.9895,53.9605,0.872727,240,1175.51,1,292,3600,102
001,2440,461,5.09394,118.304,110,7.23437,1,18,19.1814,58.8006,0.806496,195.068,1060.93,1,297,3600,104
001,2458,461,5.54026,119.308,111,6.48395,1,19,14.3941,60.5635,0.733821,213,1046.42,1,303,3600,110
001,2525,482,5.7666,122.043,116,7.39629,1,18,11.8386,63.1321,0,200,864.583,1,314,3600,111
001,2642,474,5.46645,126.931,118,12.7803,1,23,35.8628,63.7097,1.72837,240.302,1452.92,1,296,3600,116
001,2750,482,5.55759,131.562,125,7.43084,1,19,15.9774,60.3815,0.916489,212,1020.59,1,297,3600,118
001,2865,524,6.01512,135.857,130,9.48043,1,19,14.4189,69.8678,1.30303,215,1632.23,1,324,3600,125
001,3010,451,5.67534,142.946,136,6.97451,1,16,8.22893,63.6972,0.827715,221,1182.78,1,268,3600,130
001,3061,507,6.27525,145.478,139,10.3661,1,21,14.1287,55.1711,1.33108,197,1266.9,1,313,3600,136
001,3356,509,5.6819,162.853,158,7.06184,1,16,7.09915,63.9939,0,158,1127.89,1,296,3600,139
001,3455,507,5.19645,168.231,160,7.92671,1,19,11.5621,59.2388,0.808511,200,1017.19,1,292,3600,158
001,3486,556,5.54729,169.155,164,8.28966,1,18,15.5144,66.3653,0,175,1179.24,1,324,3600,160
001,3606,493,5.133,177.647,168,6.17971,1,19,6.19325,60.378,0.810714,227,997.629,1,284,3600,164
001,3648,532,5.93966,179.62,175,8.00699,1,16,10.617,58.8479,0,153,957.354,1,325,3600,168
001,3818,550,5.54961,187.782,180,8.97148,1,22,24.8186,59.9172,0.91157,205.429,1205.53,1,310,3600,175
001,3897,512,5.19236,192.007,185,6.7416,1,18,9.02814,63.523,0.778493,157.429,1039.82,1,286,3600,180
001,3974,535,5.7971,196.385,188,7.09842,1,15,5.76756,53.6227,0.729904,227,1040.98,1,312,3600,185
001,3982,549,5.80591,196.704,189,7.3277,1,15,5.66662,57.0937,0,196.333,978.957,1,318,3600,188
