rep,node,steps,update_discovered
001,1,5,280
001,2,14,772
001,3,32,1361
001,4,31,1195
001,5,1000,35454
002,1,4,29
002,2,25,996
002,3,23,1365
002,4,63,2248
002,5,1000,35210
003,1,4,54
003,2,7,341
003,3,10,311
003,4,52,2052
003,5,1000,36106
004,1,4,65
004,2,6,110
004,3,16,541
004,4,26,1153
004,5,1000,36167
005,1,5,261
005,2,5,88
005,3,20,951
005,4,45,1838
005,5,1000,35571
006,1,5,121
006,2,12,650
006,3,22,1084
006,4,51,2276
006,5,1000,35872
007,1,3,41
007,2,8,328
007,3,21,1081
007,4,39,1455
007,5,1000,35710
008,1,5,46
008,2,12,701
008,3,19,705
008,4,73,2932
008,5,1000,36053
009,1,9,680
009,2,12,580
009,3,17,788
009,4,34,1602
009,5,1000,35619
010,1,3,23
010,2,12,591
010,3,14,474
010,4,47,1988
010,5,1000,35725
011,1,4,48
011,2,15,1015
011,3,21,921
011,4,81,3271
011,5,1000,35262
012,1,4,28
012,2,7,314
012,3,17,679
012,4,32,1427
012,5,1000,35391
013,1,4,42
013,2,4,53
013,3,24,1047
013,4,53,2126
013,5,1000,35834
014,1,4,70
014,2,10,560
014,3,11,469
014,4,25,953
014,5,1000,35943
015,1,11,981
015,2,12,450
015,3,18,809
015,4,39,1593
015,5,1000,35026
016,1,8,310
016,2,4,69
016,3,20,889
016,4,40,1324
016,5,1000,35651
017,1,14,731
017,2,14,579
017,3,26,1369
017,4,30,1304
017,5,1000,35812
018,1,4,193
018,2,11,384
018,3,12,814
018,4,54,2154
018,5,1000,35928
019,1,4,43
019,2,16,632
019,3,8,378
019,4,50,2037
019,5,1000,35449
020,1,4,164
020,2,6,206
020,3,33,1343
020,4,49,1933
020,5,1000,36039
021,1,4,101
021,2,18,1349
021,3,13,743
021,4,32,1464
021,5,1000,35405
022,1,4,131
022,2,12,555
022,3,25,1304
022,4,41,1725
022,5,1000,35530
023,1,7,447
023,2,13,668
023,3,22,1171
023,4,79,2669
023,5,1000,35875
024,1,6,139
024,2,4,178
024,3,12,759
024,4,49,1890
024,5,1000,35826
025,1,4,20
025,2,17,651
025,3,27,1234
025,4,35,1708
025,5,1000,36291
026,1,8,172
026,2,5,367
026,3,27,1321
026,4,51,2087
026,5,1000,35458
027,1,7,178
027,2,5,121
027,3,20,1096
027,4,43,1667
027,5,1000,35626
028,1,4,69
028,2,10,541
028,3,13,660
028,4,65,2641
028,5,1000,35256
029,1,4,89
029,2,7,355
029,3,22,879
029,4,30,1298
029,5,1000,35889
030,1,4,152
030,2,12,917
030,3,26,917
030,4,64,2099
030,5,1000,35762
031,1,5,78
031,2,11,608
031,3,23,749
031,4,64,2565
031,5,1000,35696
032,1,5,153
032,2,15,871
032,3,23,1079
032,4,41,1730
032,5,1000,35920
033,1,6,324
033,2,7,256
033,3,13,529
033,4,30,1448
033,5,1000,35265
034,1,8,419
034,2,6,227
034,3,12,706
034,4,62,2371
034,5,1000,35562
035,1,5,123
035,2,5,72
035,3,11,441
035,4,45,1864
035,5,1000,35543
036,1,12,652
036,2,13,542
036,3,18,1132
036,4,36,1664
036,5,1000,35215
037,1,4,76
037,2,16,922
037,3,13,630
037,4,41,1708
037,5,1000,35206
038,1,4,119
038,2,9,250
038,3,29,1325
038,4,26,1339
038,5,1000,36421
039,1,6,209
039,2,5,213
039,3,24,1204
039,4,54,2291
039,5,1000,35348
040,1,5,241
040,2,15,653
040,3,16,737
040,4,44,1771
040,5,1000,35656
041,1,11,480
041,2,6,473
041,3,18,806
041,4,54,2327
041,5,1000,35603
042,1,5,213
042,2,7,278
042,3,42,1958
042,4,100,3681
042,5,1000,35696
043,1,12,688
043,2,5,112
043,3,16,801
043,4,35,1842
043,5,1000,36139
044,1,5,193
044,2,8,383
044,3,13,519
044,4,47,1819
044,5,1000,35329
045,1,4,63
045,2,7,218
045,3,21,885
045,4,41,1540
045,5,1000,35355
046,1,4,271
046,2,6,263
046,3,11,423
046,4,37,1455
046,5,1000,35531
047,1,6,164
047,2,3,21
047,3,15,692
047,4,49,1981
047,5,1000,35737
048,1,4,100
048,2,6,187
048,3,19,975
048,4,47,1750
048,5,1000,35776
049,1,5,178
049,2,6,133
049,3,19,980
049,4,47,2070
049,5,1000,36727
050,1,5,65
050,2,9,415
050,3,13,485
050,4,59,2143
050,5,1000,35683
