rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,215,331,6.14337,11.1711,4,7.05163,1,18,9.3044,56.2185,0.631399,145.137,865.539,1,295,3600,-1
001,256,369,6.06898,13.9042,7,8.01312,1,19,12.7407,53.2521,0.699593,151.125,750.609,1,316,3600,4
001,299,349,6.03538,16.0133,10,7.36721,1,16,8.78745,54.189,0.827573,146.075,724.234,1,309,3600,7
001,374,392,6.69502,19.0622,12,8.38198,1,22,17.193,62.7294,0.773146,174.526,1017.39,1,300,3600,10
001,600,418,6.73028,30.1561,17,11.9317,1,30,25.83,57.8392,1.58181,192.777,915.356,1,316,3600,12
001,661,402,5.89651,35.1617,22,15.2783,1,30,74.4889,49.9367,1.73117,283,943.164,1,297,3600,17
001,668,393,5.76794,35.7433,23,14.885,1,31,88.4497,49.2662,1.42618,174.851,704.214,1,300,3600,22
001,718,366,6.16638,39.0756,30,6.1668,1,21,6.43648,52.5884,0.58804,177,692.272,1,302,3600,23
001,723,379,6.14491,39.5644,35,6.75047,1,15,6.99357,50.2867,0,105.016,634.123,1,318,3600,30
001,744,364,5.86221,41.3653,36,7.27162,1,18,12.9426,48.5085,0.659009,126,669.839,1,295,3600,35
001,895,359,5.83572,50.2644,41,7.39779,1,22,19.6603,50.1659,0.913411,163.23,709.577,1,266,3600,36
001,931,374,6.00568,52.2969,46,7.02754,1,18,7.38483,51.9729,0.574627,126.25,597.046,1,283,3600,41
001,1010,457,6.82956,55.7811,49,10.5066,1,20,19.8802,61.1348,1.28794,155.157,944.999,1,338,3600,46
001,1107,397,6.6823,61.7453,50,8.96701,1,28,50.3916,53.5596,0.985075,140.414,779.299,1,297,3600,49
001,1213,433,6.59301,66.5669,59,12.0731,1,23,31.2689,62.9306,1.75456,210.168,1078.63,1,291,3600,50
001,1339,384,5.90928,75.7136,69,5.91941,1,16,6.11373,50.0793,0.505455,127,478.077,1,280,3600,59
001,1356,391,6.02268,76.7533,71,6.36247,1,15,6.53625,52.1347,0.459649,131,648.734,1,288,3600,69
001,1362,366,5.86105,77.2025,73,6.68746,1,14,8.27452,48.6054,0,104,522.047,1,262,3600,71
001,1786,469,6.45283,97.3786,86,13.4531,1,31,86.9354,55.5056,1.3379,186.32,961.412,1,308,3600,73
001,1854,418,6.22914,101.095,95,7.17168,1,17,9.66892,53.8912,0.782749,172,719.967,1,282,3600,86
001,1930,470,6.51704,105.996,99,7.77583,1,22,16.2662,50.7463,0.61681,128.165,672.02,1,317,3600,95
001,2174,437,6.55053,118.602,113,8.87894,1,16,11.2632,52.7767,1.38985,163,749.718,1,286,3600,99
001,2463,452,6.12797,135.034,129,7.16141,1,18,11.6882,52.2996,0.702128,165,825.408,1,277,3600,113
001,2520,447,5.38361,139.866,132,6.13589,1,21,18.8036,50.3281,0.721535,134.146,634.648,1,276,3600,129
001,2544,471,6.14893,141.304,137,5.10592,1,12,3.37008,48.7109,0.393443,106,578.715,1,307,3600,132
001,2576,481,6.36581,143.809,139,6.15035,1,14,5.06313,48.6233,0,124,693.554,1,300,3600,137
001,2633,480,5.87594,147.088,142,7.74024,1,14,8.91635,51.6027,0.789833,150,585.249,1,298,3600,139
001,2711,500,6.7089,150.161,143,10.4023,1,22,20.2108,60.8762,1.56905,176.09,1031,1,288,3600,142
001,2829,481,5.79892,156.977,146,12.8643,1,27,58.314,53.5067,1.64895,221.56,827.018,1,273,3600,143
001,2893,484,6.27351,160.532,156,6.0404,1,13,4.43391,52.3156,0.52075,116.056,735.762,1,299,3600,146
001,2943,511,6.82173,163.378,158,8.33321,1,16,9.36988,49.5628,0.572491,154,695.356,1,312,3600,156
001,3044,520,6.37119,169.818,159,10.2078,1,27,45.2514,53.3092,0.940384,154.5,753.691,1,301,3600,158
001,3072,483,6.23178,171.747,160,7.23394,1,24,10.7534,55.3548,1.06184,182,767.818,1,284,3600,159
001,3085,502,5.95936,172.929,167,7.1691,1,17,10.9619,52.9263,0.61296,143,758.556,1,304,3600,160
001,3128,487,5.90303,176.036,171,5.03649,1,14,7.72408,50.6692,0.503817,132,544.35,1,297,3600,167
001,3183,574,6.69314,178.49,174,6.4291,1,15,4.4356,53.0253,0,131.009,797.871,1,352,3600,171
001,3185,566,6.63857,178.572,175,6.59178,1,15,4.74791,54.3962,0,133,809.109,1,340,3600,174
001,3269,527,6.11477,185.196,176,10.3412,1,24,40.202,48.9527,0.962886,129.498,684.201,1,293,3600,175
001,3339,499,5.9358,190.289,184,6.1569,1,18,9.73984,57.0464,0.585368,116.833,656.147,1,264,3600,176
001,3353,500,5.6611,190.877,185,6.60178,1,19,10.4642,58.0271,0.545887,128.028,680.7,1,275,3600,184
001,3435,551,6.16142,194.634,188,6.70946,1,17,8.34946,61.0379,0.733642,192,1141.09,1,303,3600,185
001,3480,555,6.46707,197.065,192,7.78676,1,18,12.1573,54.0575,0.881209,173,885.462,1,315,3600,188
001,3650,536,6.24882,208.832,196,6.52836,1,26,21.1601,48.6321,0.899789,248,769.704,1,290,3600,192
001,3673,546,6.61213,210.55,198,6.67674,1,25,8.0184,50.0874,0.774834,183.5,734.187,1,304,3600,196
001,3685,524,6.48672,211.49,206,7.42123,1,16,8.13605,47.3292,0.471631,116.06,637.876,1,289,3600,198
001,3720,536,5.5329,214.721,207,7.21364,1,20,18.9079,50.0231,0.665816,151,554.846,1,283,3600,206
001,3751,537,6.08101,216.541,209,5.75995,1,21,13.3473,50.634,0.561383,110.143,526.77,1,287,3600,207
001,3855,569,6.60571,222.088,215,10.0513,1,20,15.397,51.1735,0.887152,162,873.74,1,299,3600,209
001,3872,562,6.48757,222.929,216,10.9244,1,22,21.2422,52.3739,0.884058,143.408,682.184,1,305,3600,215
001,4040,598,6.93056,233.281,228,6.54235,1,15,4.6975,47.9044,0.383577,125,619.119,1,333,3600,216
001,4050,569,6.82837,233.696,229,6.84875,1,15,5.63954,49.9676,0.662654,119,618.146,1,311,3600,228
001,4078,610,6.99041,234.668,230,8.27152,1,17,7.99294,55.3184,0.679612,129.053,666.468,1,328,3600,229
001,4184,585,6.1576,240.404,232,11.7969,1,23,25.657,52.7523,1.90023,167.279,693.446,1,287,3600,230
001,4230,539,6.02137,243.933,233,10.3282,1,27,55.4143,47.6376,1.08657,126.568,557.635,1,264,3600,232
001,4322,592,6.0128,250.037,240,9.37173,1,20,11.9248,50.0761,1.4077,204,838.862,1,293,3600,233
001,4329,585,6.03288,250.542,243,9.88584,1,19,14.457,48.7309,1.30698,148.702,772.305,1,292,3600,240
001,4362,564,6.34381,252.951,245,10.658,1,23,35.0958,49.3873,0.978629,117.153,631.123,1,284,3600,243
001,4490,610,6.62949,258.46,253,10.1248,1,17,11.0066,57.553,2.10039,181,888.556,1,289,3600,245
001,4734,650,6.8498,269.829,259,12.9892,1,30,49.2913,59.5487,1.58976,219.279,1467.92,1,314,3600,253
001,4879,624,6.47006,278.666,265,7.14079,1,33,32.5499,55.0997,1.15816,157.534,756.582,1,302,3600,259
001,4897,629,6.69073,279.548,273,6.93356,1,16,7.86811,54.3091,0.650777,126,816.222,1,305,3600,265
001,4919,638,6.42306,280.597,274,7.61308,1,20,11.1845,54.1534,1.09428,143.147,712.512,1,316,3600,273
001,4976,616,5.82214,282.989,277,7.4657,1,19,16.1563,61.9535,0.826446,200,1004.32,1,295,3600,274
001,5159,587,5.76502,292.299,283,11.8643,1,26,44.0841,59.1033,1.81265,167.486,954.237,1,255,3600,277
001,5362,669,5.98585,301.919,292,10.6274,1,25,20.8713,59.9791,1.77725,206.254,1064.67,1,304,3600,283
001,5379,661,5.92539,302.622,295,9.82742,1,22,27.6838,61.9002,1.16587,158.646,906.815,1,302,3600,292
001,5525,651,6.15495,311.996,301,7.96662,1,26,40.5043,58.8608,0.961746,167.073,625.271,1,298,3600,295
001,5767,660,6.03484,323.459,310,15.0709,1,31,78.0487,55.6543,2.33288,344,1199.19,1,270,3600,301
001,5774,677,6.24907,323.995,311,15.0197,1,30,86.1388,54.1841,1.92989,178.135,972.281,1,297,3600,310
001,5793,651,6.50484,325.126,312,13.7346,1,32,100.316,55.2722,1.71437,250.471,882.963,1,282,3600,311
001,5903,662,6.27534,332.519,323,8.05996,1,23,18.7674,52.1395,0.827438,193.708,1080.9,1,280,3600,312
001,5923,642,6.17127,333.939,326,6.63381,1,16,7.11021,50.0856,0.714427,176,691.881,1,271,3600,323
001,5937,657,6.12724,334.757,328,6.54476,1,17,8.03797,49.0656,0.541091,151,666.466,1,291,3600,326
001,5979,676,6.54336,336.917,331,7.86587,1,21,12.4464,53.722,0.631721,144.196,827.983,1,289,3600,328
001,6117,686,6.2633,344.665,341,6.70307,1,14,5.56572,59.3661,0.737113,143,800.826,1,293,3600,331
001,6230,691,6.39846,350.619,343,8.29727,1,18,15.8527,54.6422,1.03286,186.107,819.693,1,309,3600,341
001,6242,694,6.13313,351.449,345,7.81047,1,18,16.2713,53.3706,0.838983,150.69,720.14,1,304,3600,343
001,6300,661,6.40628,354.528,349,7.14299,1,15,8.7378,54.5304,0.773565,163,870.175,1,275,3600,345
001,6348,724,6.37063,356.686,350,8.93998,1,20,17.7478,59.8038,1.13721,161.509,836.954,1,309,3600,349
001,6417,699,6.31008,361.942,356,7.10533,1,19,13.5337,53.813,0.618257,113.5,730.556,1,293,3600,350
001,6487,686,5.92046,366.929,360,6.15655,1,18,8.85359,52.156,0.731443,105.234,603.936,1,292,3600,356
001,6519,713,6.64274,368.683,364,7.54731,1,17,9.77954,53.741,0.57563,137,820.165,1,315,3600,360
001,6613,730,6.63831,374.646,369,7.11528,1,16,6.1563,53.899,0.528814,156,831.281,1,308,3600,364
001,6635,744,6.71887,376.215,371,8.65102,1,17,9.99931,50.6393,0.713615,152,766.419,1,315,3600,369
001,6937,704,6.16257,390.728,384,6.25312,1,18,8.76686,49.9849,0.662554,165.042,730.331,1,289,3600,371
