rep,node,steps,update_discovered
001,2,1,3
001,3,2,10
001,4,2,13
001,5,2,65
002,2,1,4
002,3,2,42
002,4,3,67
002,5,2,77
003,2,1,6
003,3,2,27
003,4,3,42
003,5,4,106
004,2,1,2
004,3,2,73
004,4,2,15
004,5,3,95
005,2,1,2
005,3,2,62
005,4,2,16
005,5,3,84
006,2,1,6
006,3,2,26
006,4,3,48
006,5,2,21
007,2,1,6
007,3,2,32
007,4,3,65
007,5,4,36
008,2,1,2
008,3,2,20
008,4,2,30
008,5,2,17
009,2,1,2
009,3,2,23
009,4,3,41
009,5,2,50
010,2,1,3
010,3,2,32
010,4,1,6
010,5,1,4
011,2,1,5
011,3,2,37
011,4,2,57
011,5,1,3
012,2,1,6
012,3,2,20
012,4,1,2
012,5,1,2
013,2,1,4
013,3,2,15
013,4,3,112
013,5,4,55
014,2,1,2
014,3,2,45
014,4,2,31
014,5,4,62
015,2,1,3
015,3,2,72
015,4,2,16
015,5,1,2
016,2,1,5
016,3,2,17
016,4,2,28
016,5,4,101
017,2,1,6
017,3,1,2
017,4,2,8
017,5,1,5
018,2,1,2
018,3,2,29
018,4,3,63
018,5,2,51
019,2,1,2
019,3,2,47
019,4,2,21
019,5,2,6
020,2,1,6
020,3,2,43
020,4,2,26
020,5,2,58
021,2,1,4
021,3,2,14
021,4,3,102
021,5,2,31
022,2,1,4
022,3,2,10
022,4,2,84
022,5,2,16
023,2,1,3
023,3,2,35
023,4,3,67
023,5,1,2
024,2,1,4
024,3,1,4
024,4,2,9
024,5,3,52
025,2,1,6
025,3,1,3
025,4,3,73
025,5,1,6
026,2,1,2
026,3,2,10
026,4,3,46
026,5,2,47
027,2,1,3
027,3,2,43
027,4,2,65
027,5,2,49
028,2,1,2
028,3,2,34
028,4,1,2
028,5,2,35
029,2,1,3
029,3,1,2
029,4,3,52
029,5,1,3
030,2,1,3
030,3,1,7
030,4,2,24
030,5,2,55
031,2,1,2
031,3,2,20
031,4,3,56
031,5,4,92
032,2,1,4
032,3,2,79
032,4,2,10
032,5,3,108
033,2,1,2
033,3,2,15
033,4,2,9
033,5,4,75
034,2,1,5
034,3,2,14
034,4,3,86
034,5,1,2
035,2,1,2
035,3,2,65
035,4,3,78
035,5,2,8
036,2,1,10
036,3,2,15
036,4,1,2
036,5,2,77
037,2,1,5
037,3,2,16
037,4,3,92
037,5,3,124
038,2,1,2
038,3,2,9
038,4,2,56
038,5,1,2
039,2,1,2
039,3,2,30
039,4,3,55
039,5,2,20
040,2,1,3
040,3,2,15
040,4,3,34
040,5,2,66
041,2,1,3
041,3,2,44
041,4,2,55
041,5,1,4
042,2,1,6
042,3,2,16
042,4,2,48
042,5,2,44
043,2,1,4
043,3,2,37
043,4,3,46
043,5,4,123
044,2,1,3
044,3,2,37
044,4,3,117
044,5,3,63
045,2,1,3
045,3,1,6
045,4,2,10
045,5,4,69
046,2,1,2
046,3,2,24
046,4,3,51
046,5,1,2
047,2,1,2
047,3,2,97
047,4,2,80
047,5,3,52
048,2,1,5
048,3,2,17
048,4,1,4
048,5,2,25
049,2,1,3
049,3,1,9
049,4,3,67
049,5,4,46
050,2,1,7
050,3,2,33
050,4,2,37
050,5,2,56
