rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs,prev_mrca_depth
001,209,361,6.4792,10.7458,3,7.0229,1,19,9.21024,57.4797,0.991393,203,1077.46,1,301,3600,-1
001,238,382,6.46595,12.2883,5,7.51947,1,21,9.92392,55.6779,0.76236,159.111,826.379,1,326,3600,3
001,246,369,6.69628,12.6186,7,7.53528,1,17,9.81923,53.84,0.630158,167,786.365,1,327,3600,5
001,302,359,6.50873,16.0142,8,7.87995,1,24,19.742,60.4087,0.88849,138.578,751.594,1,295,3600,7
001,420,403,6.63637,22.9583,11,13.2726,1,25,44.8168,62.0068,1.8774,221,1163.24,1,315,3600,8
001,439,376,6.67658,23.9189,14,13.7255,1,26,54.1478,63.7666,1.79983,182.496,1182.96,1,302,3600,11
001,671,435,6.31165,33.7561,22,16.5146,1,32,73.4043,58.9037,2.08028,224.579,1190.98,1,320,3600,14
001,831,388,5.95298,41.3378,31,7.8903,1,23,33.3439,63.4579,0.968634,241,1131.58,1,297,3600,22
001,832,383,5.92223,41.3814,33,7.76198,1,24,34.5072,62.1629,0.901552,187.87,996.755,1,299,3600,31
001,967,441,6.52467,47.5578,40,11.2709,1,21,14.0656,65.8436,2.57667,226,1399.08,1,312,3600,33
001,986,441,6.54842,48.6231,41,12.6849,1,22,22.556,61.7868,1.9879,231,1599.79,1,326,3600,40
001,1091,394,6.08825,54.2989,47,10.1281,1,20,28.8793,60.1689,1.13024,163.263,804.695,1,310,3600,41
001,1199,387,6.2568,60.7283,55,7.4275,1,17,13.0871,59.1201,0.873375,185,1102.47,1,287,3600,47
001,1346,431,6.54326,67.3078,59,10.3594,1,25,33.5669,64.4231,1.07423,184.439,1104.72,1,311,3600,55
001,1407,414,6.61069,70.6253,65,7.96904,1,16,6.62909,56.4872,0.67509,157.108,907.357,1,307,3600,59
001,1487,426,6.58135,73.6244,67,10.1293,1,20,13.7197,64.2538,2.58526,237,1249.24,1,305,3600,65
001,1641,461,6.6297,79.16,70,8.03615,1,24,12.147,83.1153,1.97295,174.473,1763.65,1,315,3600,67
001,1715,435,6.49567,79.4914,75,8.149,1,17,6.60322,116.024,2.24466,227.271,3143.63,1,302,3600,70
001,1844,434,6.30681,80.0128,76,8.83202,1,18,8.87843,180.943,7.0498,377,9380.15,1,285,3600,75
001,6930,477,5.91301,103.003,78,20.8749,1,65,237.952,446.223,28.7651,1703.37,142053,1,285,3600,76
001,7186,439,5.64815,103.729,92,13.1381,1,34,87.7497,456.804,15.8316,1947.61,143963,1,281,3600,78
001,11402,536,6.0855,127.472,110,23.3693,1,47,207.476,328.992,18.174,1688.4,64684.5,1,300,3600,92
001,13170,527,6.39232,137.579,128,16.6242,1,34,45.3096,279.112,18.1054,846.837,39380.2,1,296,3600,110
001,17893,550,6.15765,165.297,152,14.328,1,38,53.1704,407.577,13.8121,1144.28,63361,1,291,3600,128
001,18851,576,6.26354,169.819,158,20.2766,1,37,82.1568,291.755,22.8783,1316.53,40500,1,296,3600,152
001,19980,558,6.23856,173.645,162,18.0877,1,39,74.8548,279.855,26.3129,1707.99,51370.7,1,293,3600,158
001,23450,554,6.35519,187.589,178,14.1324,1,35,51.2435,377.55,19.6141,1487.07,131279,1,300,3600,162
001,26124,546,5.70966,197.066,188,10.755,1,27,38.8542,403.005,12.5566,999.39,79677.6,1,283,3600,178
001,28322,560,5.96292,212.182,200,19.58,1,38,92.07,277.292,32.2266,830.23,28436.3,1,267,3600,188
001,36049,666,6.34155,257.615,226,29.5568,1,67,308.673,321.861,37.6603,891.381,50433,1,282,3600,200
001,37444,699,5.93474,266.259,246,27.3533,1,55,263.697,313.096,27.0379,818.469,31171.8,1,307,3600,226
001,44329,694,6.32644,299.523,288,12.3371,1,36,38.5469,335.874,19.1879,1022.67,55921.1,1,293,3600,246
001,45031,732,6.42324,302.757,294,15.1092,1,31,33.9829,243.463,18.6306,803.303,20060.2,1,324,3600,288
001,48089,729,6.51591,321.878,312,14.9675,1,33,46.7233,217.337,15.3686,932.867,21946.1,1,320,3600,294
001,55448,739,5.81311,355.858,340,19.5128,1,53,166.481,454.197,30.433,1207.63,102601,1,294,3600,312
001,58072,778,6.1322,371.839,360,16.4388,1,39,71.8237,356.328,15.8272,1484.19,109684,1,301,3600,340
001,62435,763,6.34389,386.687,372,24.3958,1,43,112.608,329.952,43.4459,1031.11,64038.5,1,267,3600,360
001,68145,824,6.46911,416.731,390,20.7554,1,62,259.187,285.524,26.4589,767.659,25787.7,1,295,3600,372
001,68628,810,5.81584,419.646,410,9.35627,1,27,27.2867,255.837,8.17799,662.663,20608.6,1,320,3600,390
001,68812,791,5.78407,420.646,412,9.73788,1,25,26.8042,269.149,8.32245,660.649,29796.5,1,291,3600,410
001,73172,872,6.6503,444.685,434,16.9756,1,39,70.1647,418.01,18.7988,2562.39,220873,1,310,3600,412
001,82868,900,5.7896,496.371,472,28.8328,1,63,273.54,461.045,37.9338,1089.42,92689.9,1,271,3600,434
001,84280,892,5.77987,507.198,484,21.3892,1,51,305.375,319.82,17.3907,1206.32,65988.1,1,303,3600,472
001,89363,917,6.43126,528.518,514,19.449,1,40,105.98,277.934,25.8558,1507.47,27135.7,1,284,3600,484
001,92683,983,6.59256,548.896,542,13.7144,1,29,29.8033,359.928,0,2167,112113,1,323,3600,514
002,522,352,6.00961,23.4269,15,7.54945,1,18,14.0965,59.6861,0.988794,231,935.51,1,295,3600,-1
002,523,343,6.01703,23.4428,17,7.46175,1,17,13.8641,59.5386,0.85488,169.333,926.496,1,292,3600,15
002,528,363,6.18458,23.6931,18,7.6165,1,18,14.3677,59.8976,0.695279,156.082,940.087,1,306,3600,17
002,695,423,6.43988,31.1356,22,7.67848,1,22,15.3654,63.9076,0.998531,201,1371.54,1,329,3600,18
002,736,430,6.69162,33.1139,25,6.75173,1,21,12.0102,62.5943,0.825161,183.215,1018.8,1,337,3600,22
002,771,383,6.20654,35.755,28,7.98023,1,18,9.95053,53.3787,0.742182,218,1035.4,1,312,3600,25
002,785,357,5.51463,37.4097,30,8.46237,1,19,16.5579,51.385,1.0092,211,791.824,1,289,3600,28
002,824,384,6.37592,39.88,31,5.01531,1,18,4.09753,50.1207,0.642098,182.5,719.823,1,308,3600,30
002,831,357,6.45363,40.2006,33,5.20934,1,15,3.43441,51.7192,0.534722,154,674.626,1,289,3600,31
002,842,377,6.82406,40.9178,38,6.04415,1,13,3.92762,48.7366,0,105,620.873,1,307,3600,33
002,1000,447,6.84543,47.4906,39,14.0016,1,25,33.7359,64.3333,1.69553,161.856,1016.89,1,323,3600,38
002,1181,408,6.42994,55.2925,50,7.24199,1,15,6.76652,61.691,1.36468,135.444,796.031,1,311,3600,39
002,1214,426,6.70287,56.6656,51,8.24099,1,17,9.28918,62.9337,1.21207,180.066,1064.13,1,320,3600,50
002,1267,426,6.72227,59.4742,52,9.20578,1,21,20.2317,60.031,1.05025,188.172,1104.47,1,318,3600,51
002,1363,457,6.71767,63.8483,55,9.18009,1,23,11.7329,66.7619,1.4618,238.086,1370.67,1,317,3600,52
002,1376,424,6.47129,64.0239,57,9.18012,1,20,10.4431,68.563,1.36137,251,1170.97,1,294,3600,55
002,1378,436,6.52251,64.0603,59,9.24604,1,20,10.4568,68.8437,1.14451,163.202,1165.97,1,303,3600,57
002,2578,455,6.41114,71.0908,60,18.9832,1,38,56.478,343.355,14.4973,884.747,71234.8,1,295,3600,59
002,4615,514,6.37581,82.4219,67,17.3479,1,41,82.5089,278.871,13.426,1317.21,28357.4,1,327,3600,60
002,4963,451,5.69177,85.4239,75,15.9714,1,32,86.1749,343.143,14.8864,918.5,41126.1,1,287,3600,67
002,9795,492,6.09886,119.478,113,11.1402,1,24,24.8523,449.123,9.92697,1486.8,135048,1,313,3600,75
002,16215,554,5.90097,156.494,143,16.7081,1,45,120.36,372.611,16.7356,1060.52,40544.9,1,294,3600,113
002,19243,546,6.04964,165.711,155,18.9633,1,33,49.3716,357.614,32.4876,793.052,48045.2,1,278,3600,143
002,22448,579,6.19038,185.705,157,14.0912,1,71,62.5068,355.137,21.6694,4480,156460,1,281,3600,155
002,22453,530,6.15132,185.685,177,13.7355,1,33,43.8532,345.195,12.3031,1168.19,90857.3,1,262,3600,157
002,28558,626,6.30453,213.001,205,13.0516,1,29,35.2492,356.579,9.18126,1019.32,70980.3,1,321,3600,177
002,29369,638,6.39593,217.461,207,16.3086,1,32,55.294,237.341,12.3484,1574.21,31375.8,1,310,3600,205
002,32152,637,6.46107,234.732,211,32.3964,1,61,284.538,398.95,39.3486,1954.89,116989,1,291,3600,207
002,32452,640,6.41072,236.75,215,31.5613,1,64,324.727,351.339,31.4322,1504.61,89912.5,1,307,3600,211
002,34291,678,6.00586,245.182,231,17.9545,1,43,116.496,539.692,21.137,1368.78,196918,1,323,3600,215
002,35621,655,5.98648,255.768,243,20.5376,1,45,79.1012,273.528,32.365,474.299,16305.2,1,279,3600,231
002,38601,695,6.47839,270.318,263,13.267,1,33,35.0842,441.369,13.6875,1163.65,122076,1,314,3600,243
002,41799,714,6.3392,284.374,265,13.5213,1,63,116.069,310.071,23.1664,725.709,39558.3,1,308,3600,263
002,41866,658,6.10034,284.773,277,13.1434,1,30,31.6521,310.779,15.7163,776.36,46641.8,1,287,3600,265
002,42787,706,6.57782,289.952,279,14.6169,1,38,68.3727,399.492,11.6523,1299.5,104156,1,317,3600,277
002,44354,727,6.30699,296.298,283,19.6401,1,44,90.0848,434.616,20.1722,1625.37,207559,1,302,3600,279
002,49350,737,6.38971,328.872,309,25.1951,1,49,194.902,325.762,29.2119,1063.95,59975.6,1,315,3600,283
002,50210,725,6.04932,334.866,313,28.4654,1,64,362.715,371.51,27.6493,1254.43,79733.1,1,298,3600,309
002,51016,719,6.36948,333.701,325,14.9576,1,34,53.5892,312.615,18.1914,933.004,62186.9,1,314,3600,313
002,54546,712,6.1048,351.648,339,13.9082,1,34,74.6266,253.41,11.7773,799.922,26254.9,1,280,3600,325
002,56111,796,6.48306,362.493,349,21.8317,1,41,80.7751,261.544,24.6312,1035.7,30138.9,1,308,3600,339
002,60798,766,6.07042,377.949,371,12.9127,1,34,40.9238,434.497,15.1566,1567.28,170263,1,297,3600,349
002,66285,756,5.78222,398.962,383,22.4431,1,49,178.796,600.558,32.0281,1580.82,270264,1,276,3600,371
002,70150,818,6.32891,411.103,399,18.4904,1,39,59.1887,313.289,28.8745,1203.78,52140.3,1,299,3600,383
002,70255,857,6.66837,411.33,401,17.8522,1,35,50.9956,286.606,21.212,1304.25,48732,1,334,3600,399
002,75503,817,6.01126,436.267,423,18.2187,1,37,85.4022,264.674,21.5397,1069.26,19442.7,1,288,3600,401
002,83637,836,6.09665,474.717,457,21.2223,1,43,104.701,385.156,41.6999,1370.62,56471.3,1,252,3600,423
002,85790,895,6.51686,487.684,471,24.8191,1,52,175.609,315.326,24.6642,1537.39,77327.2,1,304,3600,457
002,89113,917,5.9233,499.598,485,17.7929,1,49,122.871,335.533,24.6162,933.953,35469.2,1,297,3600,471
002,89959,902,6.36196,509.264,495,21.874,1,41,111.006,232.728,26.3426,782.071,22385.9,1,288,3600,485
002,92164,903,6.0532,520.426,503,25.7773,1,48,194.363,372.387,35.5277,906.323,63166.1,1,271,3600,495
002,94016,957,6.46277,531.412,523,13.4509,1,32,41.6167,259.125,12.6204,1065.72,49902.6,1,328,3600,503
003,383,406,6.49201,19.3911,11,8.30895,1,19,9.24454,59.3088,1.03774,119.289,751.364,1,324,3600,-1
003,442,394,6.71896,21.6889,15,11.7655,1,20,13.7979,61.258,2.79962,168.09,913.415,1,311,3600,11
003,912,377,5.65437,44.0222,34,7.74599,1,22,23.2619,56.6675,1.25348,234,1053.88,1,275,3600,15
003,937,374,6.5248,44.875,37,6.9408,1,18,10.6185,55.9679,1.03055,108.324,774.95,1,292,3600,34
003,973,376,6.72494,46.1344,41,8.40045,1,16,10.2443,58.1977,1.06051,142.044,843.465,1,297,3600,37
003,1227,402,6.15363,60.5475,52,7.3691,1,18,8.08928,47.4914,0.631629,172,558.969,1,298,3600,41
003,1228,397,6.15166,60.6067,53,7.3666,1,18,7.77407,47.7571,0.602979,107.4,530.742,1,298,3600,52
003,1241,387,6.3769,61.1533,56,7.58761,1,16,7.89222,52.5408,0.470588,128,706.432,1,289,3600,53
003,1269,412,6.60525,62.5086,57,7.5969,1,17,10.8995,58.5862,0,131.25,799.518,1,301,3600,56
003,1351,442,6.77628,66.4289,60,8.00879,1,19,9.67104,58.5746,0.839933,184.018,1222.64,1,331,3600,57
003,1367,435,6.79291,67.0822,61,8.39021,1,17,9.27652,56.4563,0.829622,154.183,866.688,1,316,3600,60
003,1454,469,6.75338,70.4067,62,11.6168,1,20,14.1802,62.9968,1.70821,200.259,1006.48,1,330,3600,61
003,1485,445,6.77351,71.4233,64,12.1833,1,22,19.4447,70.0138,3.40387,199.167,1397.48,1,299,3600,62
003,1588,478,6.84722,76.4225,65,16.2985,1,31,59.9259,58.0218,2.43646,174.217,954.142,1,333,3600,64
003,1740,401,5.44688,82.6439,78,6.24697,1,17,9.01229,87.0477,0.911813,155.25,1397.65,1,289,3600,65
