rep,node,steps,update_discovered
001,2,1,12
001,3,2,25
001,4,3,75
001,5,3,101
002,2,1,2
002,3,2,18
002,4,3,101
002,5,2,99
003,2,1,2
003,3,2,9
003,4,3,181
003,5,3,64
004,2,1,5
004,3,2,47
004,4,2,39
004,5,4,389
005,2,1,2
005,3,2,41
005,4,3,55
005,5,4,234
006,2,1,3
006,3,2,9
006,4,3,355
006,5,4,38
007,2,1,5
007,3,2,6
007,4,3,66
007,5,4,97
008,2,1,3
008,3,2,12
008,4,3,63
008,5,4,164
009,2,1,2
009,3,2,26
009,4,3,124
009,5,4,125
010,2,1,3
010,3,2,65
010,4,3,92
010,5,4,390
011,2,1,2
011,3,2,14
011,4,3,114
011,5,4,111
012,2,1,3
012,3,2,45
012,4,3,54
012,5,4,166
013,2,1,14
013,3,2,33
013,4,3,55
013,5,4,77
014,2,1,4
014,3,2,16
014,4,3,110
014,5,4,105
015,2,1,2
015,3,2,70
015,4,3,62
015,5,3,59
016,2,1,5
016,3,2,10
016,4,3,263
016,5,4,299
017,2,1,6
017,3,2,20
017,4,3,86
017,5,4,127
018,2,1,7
018,3,2,14
018,4,3,168
018,5,4,381
019,2,1,2
019,3,2,46
019,4,3,63
019,5,3,153
020,2,1,2
020,3,2,11
020,4,3,46
020,5,4,230
021,2,1,2
021,3,2,63
021,4,3,91
021,5,4,144
022,2,1,7
022,3,2,39
022,4,3,84
022,5,4,253
023,2,1,8
023,3,2,32
023,4,3,37
023,5,3,56
024,2,1,7
024,3,2,44
024,4,2,40
024,5,4,182
025,2,1,4
025,3,2,31
025,4,3,113
025,5,4,236
026,2,1,9
026,3,2,44
026,4,3,114
026,5,4,66
027,2,1,3
027,3,2,22
027,4,3,89
027,5,4,120
028,2,1,10
028,3,2,13
028,4,3,19
028,5,4,169
029,2,1,5
029,3,2,109
029,4,3,94
029,5,4,155
030,2,1,5
030,3,2,60
030,4,3,21
030,5,4,180
031,2,1,2
031,3,2,15
031,4,3,52
031,5,4,120
032,2,1,2
032,3,2,18
032,4,3,57
032,5,4,186
033,2,1,5
033,3,2,14
033,4,3,138
033,5,4,254
034,2,1,2
034,3,2,23
034,4,3,79
034,5,4,239
035,2,1,2
035,3,2,34
035,4,2,22
035,5,2,101
036,2,1,6
036,3,2,25
036,4,3,69
036,5,4,91
037,2,1,2
037,3,2,48
037,4,3,74
037,5,2,59
038,2,1,3
038,3,2,23
038,4,3,191
038,5,4,272
039,2,1,2
039,3,2,21
039,4,3,47
039,5,4,177
040,2,1,2
040,3,2,40
040,4,3,144
040,5,4,106
041,2,1,2
041,3,2,28
041,4,3,115
041,5,3,84
042,2,1,2
042,3,2,16
042,4,3,102
042,5,4,130
043,2,1,3
043,3,2,11
043,4,3,89
043,5,4,79
044,2,1,8
044,3,2,39
044,4,3,140
044,5,4,187
045,2,1,2
045,3,2,95
045,4,3,83
045,5,4,91
046,2,1,4
046,3,2,31
046,4,3,342
046,5,3,140
047,2,1,3
047,3,2,20
047,4,3,138
047,5,4,437
048,2,1,3
048,3,2,10
048,4,3,22
048,5,4,268
049,2,1,11
049,3,2,79
049,4,3,179
049,5,4,162
050,2,1,4
050,3,2,8
050,4,3,27
050,5,4,175
