rep,node,steps,update_discovered
001,2,1,4
001,3,2,25
001,4,2,12
001,5,2,24
002,2,1,2
002,3,1,2
002,4,2,17
002,5,2,38
003,2,1,2
003,3,2,17
003,4,2,25
003,5,1,4
004,2,1,2
004,3,2,56
004,4,3,96
004,5,4,101
005,2,1,7
005,3,2,7
005,4,1,3
005,5,2,39
006,2,1,2
006,3,2,21
006,4,2,26
006,5,3,128
007,2,1,4
007,3,2,22
007,4,3,48
007,5,4,116
008,2,1,4
008,3,2,27
008,4,2,19
008,5,4,55
009,2,1,3
009,3,2,34
009,4,2,5
009,5,4,105
010,2,1,2
010,3,2,73
010,4,3,50
010,5,4,61
011,2,1,4
011,3,2,45
011,4,2,16
011,5,4,64
012,2,1,2
012,3,2,31
012,4,3,30
012,5,3,54
013,2,1,2
013,3,1,2
013,4,2,31
013,5,4,75
014,2,1,3
014,3,2,41
014,4,2,33
014,5,1,6
015,2,1,5
015,3,2,13
015,4,3,50
015,5,2,7
016,2,1,6
016,3,2,17
016,4,2,16
016,5,2,30
017,2,1,3
017,3,2,21
017,4,2,13
017,5,3,72
018,2,1,5
018,3,2,10
018,4,3,32
018,5,3,39
019,2,1,3
019,3,2,20
019,4,2,90
019,5,3,82
020,2,1,3
020,3,2,52
020,4,3,48
020,5,4,47
021,2,1,2
021,3,2,14
021,4,3,51
021,5,4,89
022,2,1,2
022,3,2,13
022,4,1,2
022,5,2,75
023,2,1,6
023,3,2,24
023,4,3,80
023,5,2,8
024,2,1,4
024,3,1,6
024,4,2,30
024,5,2,39
025,2,1,2
025,3,2,42
025,4,3,91
025,5,3,89
026,2,1,6
026,3,2,45
026,4,2,14
026,5,4,56
027,2,1,10
027,3,2,42
027,4,2,80
027,5,2,42
028,2,1,2
028,3,2,81
028,4,3,102
028,5,3,72
029,2,1,5
029,3,2,19
029,4,3,108
029,5,4,43
030,2,1,4
030,3,2,29
030,4,2,21
030,5,2,21
031,2,1,4
031,3,1,9
031,4,3,102
031,5,2,55
032,2,1,6
032,3,2,14
032,4,3,52
032,5,3,14
033,2,1,5
033,3,2,18
033,4,3,107
033,5,2,30
034,2,1,3
034,3,2,77
034,4,3,81
034,5,4,85
035,2,1,5
035,3,1,3
035,4,2,21
035,5,3,72
036,2,1,4
036,3,2,14
036,4,3,76
036,5,2,13
037,2,1,11
037,3,2,18
037,4,2,25
037,5,3,93
038,2,1,2
038,3,2,14
038,4,3,120
038,5,1,5
039,2,1,2
039,3,2,14
039,4,1,2
039,5,4,36
040,2,1,4
040,3,2,26
040,4,3,98
040,5,4,55
041,2,1,2
041,3,2,30
041,4,2,56
041,5,3,39
042,2,1,3
042,3,2,34
042,4,1,3
042,5,1,9
043,2,1,2
043,3,1,2
043,4,2,25
043,5,3,76
044,2,1,5
044,3,2,63
044,4,3,11
044,5,2,13
045,2,1,3
045,3,1,9
045,4,1,4
045,5,2,55
046,2,1,2
046,3,2,18
046,4,2,40
046,5,2,64
047,2,1,4
047,3,2,18
047,4,3,46
047,5,2,28
048,2,1,4
048,3,2,60
048,4,2,10
048,5,2,64
049,2,1,3
049,3,2,10
049,4,1,5
049,5,2,31
050,2,1,6
050,3,2,63
050,4,1,2
050,5,2,39
