rep,node,steps,update_discovered
001,2,1,8
001,3,1,3
001,4,3,38
001,5,4,104
002,2,1,4
002,3,2,60
002,4,2,48
002,5,3,80
003,2,1,3
003,3,2,40
003,4,2,22
003,5,3,25
004,2,1,2
004,3,2,12
004,4,2,18
004,5,2,28
005,2,1,2
005,3,2,45
005,4,3,54
005,5,4,90
006,2,1,3
006,3,1,2
006,4,2,5
006,5,3,43
007,2,1,3
007,3,2,39
007,4,3,62
007,5,2,57
008,2,1,2
008,3,2,45
008,4,2,7
008,5,2,27
009,2,1,5
009,3,2,50
009,4,3,33
009,5,3,47
010,2,1,7
010,3,2,25
010,4,3,48
010,5,4,90
011,2,1,3
011,3,2,36
011,4,3,101
011,5,2,16
012,2,1,2
012,3,1,3
012,4,3,74
012,5,4,37
013,2,1,2
013,3,2,48
013,4,2,50
013,5,4,124
014,2,1,3
014,3,2,22
014,4,2,140
014,5,2,32
015,2,1,5
015,3,2,33
015,4,2,20
015,5,4,57
016,2,1,4
016,3,2,29
016,4,3,131
016,5,4,115
017,2,1,3
017,3,2,19
017,4,2,8
017,5,2,67
018,2,1,4
018,3,2,112
018,4,2,48
018,5,2,57
019,2,1,3
019,3,2,29
019,4,3,47
019,5,1,2
020,2,1,2
020,3,2,64
020,4,2,95
020,5,4,75
021,2,1,7
021,3,2,24
021,4,3,72
021,5,2,25
022,2,1,5
022,3,2,130
022,4,2,85
022,5,4,100
023,2,1,7
023,3,2,14
023,4,2,6
023,5,2,49
024,2,1,2
024,3,1,3
024,4,2,46
024,5,3,38
025,2,1,3
025,3,2,20
025,4,3,153
025,5,2,27
026,2,1,4
026,3,2,11
026,4,3,32
026,5,4,61
027,2,1,2
027,3,2,29
027,4,1,4
027,5,4,59
028,2,1,5
028,3,2,32
028,4,3,188
028,5,2,80
029,2,1,5
029,3,2,20
029,4,2,55
029,5,1,2
030,2,1,2
030,3,2,20
030,4,2,13
030,5,1,4
031,2,1,6
031,3,2,27
031,4,3,52
031,5,1,2
032,2,1,2
032,3,2,29
032,4,2,14
032,5,2,113
033,2,1,2
033,3,2,12
033,4,3,68
033,5,1,2
034,2,1,4
034,3,2,34
034,4,3,138
034,5,3,117
035,2,1,5
035,3,2,22
035,4,3,117
035,5,1,2
036,2,1,2
036,3,2,5
036,4,3,53
036,5,2,24
037,2,1,2
037,3,2,38
037,4,3,88
037,5,4,195
038,2,1,3
038,3,2,33
038,4,2,50
038,5,4,110
039,2,1,9
039,3,2,36
039,4,3,69
039,5,1,2
040,2,1,2
040,3,2,20
040,4,3,98
040,5,2,33
041,2,1,2
041,3,2,15
041,4,1,2
041,5,1,2
042,2,1,2
042,3,2,18
042,4,1,2
042,5,2,46
043,2,1,4
043,3,2,21
043,4,1,2
043,5,4,93
044,2,1,9
044,3,2,26
044,4,3,73
044,5,1,2
045,2,1,4
045,3,2,26
045,4,2,32
045,5,2,66
046,2,1,2
046,3,2,57
046,4,1,3
046,5,2,31
047,2,1,10
047,3,1,3
047,4,1,4
047,5,2,116
048,2,1,2
048,3,2,13
048,4,3,20
048,5,2,36
049,2,1,2
049,3,2,58
049,4,3,78
049,5,1,3
050,2,1,2
050,3,2,24
050,4,2,28
050,5,2,108
