rep,node,steps,update_discovered
001,2,1,2
001,3,2,33
001,4,2,19
001,5,2,30
002,2,1,2
002,3,1,2
002,4,3,80
002,5,3,69
003,2,1,2
003,3,2,13
003,4,3,34
003,5,2,70
004,2,1,2
004,3,2,7
004,4,2,3
004,5,4,62
005,2,1,2
005,3,2,18
005,4,3,106
005,5,3,40
006,2,1,2
006,3,2,93
006,4,1,2
006,5,4,70
007,2,1,5
007,3,2,6
007,4,2,23
007,5,2,37
008,2,1,3
008,3,2,75
008,4,2,66
008,5,2,16
009,2,1,2
009,3,2,29
009,4,3,49
009,5,2,4
010,2,1,4
010,3,1,3
010,4,1,3
010,5,2,42
011,2,1,5
011,3,2,66
011,4,3,33
011,5,3,44
012,2,1,2
012,3,1,7
012,4,3,126
012,5,3,49
013,2,1,2
013,3,2,34
013,4,1,2
013,5,2,32
014,2,1,3
014,3,1,6
014,4,3,70
014,5,2,46
015,2,1,2
015,3,2,76
015,4,2,11
015,5,1,3
016,2,1,3
016,3,2,26
016,4,1,12
016,5,4,89
017,2,1,2
017,3,2,17
017,4,3,49
017,5,2,52
018,2,1,2
018,3,2,13
018,4,3,60
018,5,3,68
019,2,1,2
019,3,2,26
019,4,2,23
019,5,1,6
020,2,1,10
020,3,2,48
020,4,3,73
020,5,2,36
021,2,1,5
021,3,2,33
021,4,3,18
021,5,4,72
022,2,1,3
022,3,2,26
022,4,3,47
022,5,4,115
023,2,1,7
023,3,2,19
023,4,2,48
023,5,4,75
024,2,1,3
024,3,2,21
024,4,2,35
024,5,2,34
025,2,1,3
025,3,1,5
025,4,2,25
025,5,2,65
026,2,1,5
026,3,2,71
026,4,2,20
026,5,1,6
027,2,1,3
027,3,2,69
027,4,2,46
027,5,3,77
028,2,1,2
028,3,2,31
028,4,3,75
028,5,4,67
029,2,1,2
029,3,1,2
029,4,3,92
029,5,4,39
030,2,1,4
030,3,2,17
030,4,1,5
030,5,3,51
031,2,1,3
031,3,2,43
031,4,2,30
031,5,2,29
032,2,1,3
032,3,1,3
032,4,2,68
032,5,2,33
033,2,1,6
033,3,2,66
033,4,3,36
033,5,4,138
034,2,1,3
034,3,2,17
034,4,3,54
034,5,3,95
035,2,1,2
035,3,2,77
035,4,1,2
035,5,2,11
036,2,1,2
036,3,2,15
036,4,2,36
036,5,2,19
037,2,1,2
037,3,2,8
037,4,3,29
037,5,4,69
038,2,1,6
038,3,2,68
038,4,3,26
038,5,2,60
039,2,1,3
039,3,2,42
039,4,2,19
039,5,2,71
040,2,1,2
040,3,2,15
040,4,1,3
040,5,3,42
041,2,1,5
041,3,2,17
041,4,3,33
041,5,2,22
042,2,1,2
042,3,2,29
042,4,3,67
042,5,1,4
043,2,1,5
043,3,2,24
043,4,3,74
043,5,4,84
044,2,1,2
044,3,2,27
044,4,3,32
044,5,1,4
045,2,1,3
045,3,2,47
045,4,2,23
045,5,2,6
046,2,1,15
046,3,2,26
046,4,2,26
046,5,1,6
047,2,1,4
047,3,2,37
047,4,3,49
047,5,1,2
048,2,1,3
048,3,2,20
048,4,2,64
048,5,4,67
049,2,1,8
049,3,2,6
049,4,3,66
049,5,2,25
050,2,1,5
050,3,2,27
050,4,2,32
050,5,3,39
