rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs,prev_mrca_depth
001,333,366,6.60848,16.0969,7,7.61716,1,20,7.91491,63.1865,0.87872,234,1190.09,1,297,3600,-1
001,338,380,6.69207,16.3172,11,8.0543,1,17,8.1482,59.2874,0.629893,177,1142.04,1,323,3600,7
001,406,353,6.07614,21.1392,13,7.24734,1,21,21.0934,54.2869,0.978118,223,1015.35,1,282,3600,11
001,457,323,6.16244,23.4781,18,7.24848,1,18,9.20407,57.5338,0.646177,149.04,872.756,1,263,3600,13
001,532,392,6.26137,29.9583,20,9.56623,1,24,32.4855,47.349,0.843138,175.25,673.804,1,311,3600,18
001,600,402,6.81589,33.745,23,13.8563,1,30,53.3548,52.8193,0.926064,133.36,603.617,1,326,3600,20
001,731,407,6.37094,40.4378,32,7.35506,1,19,8.27161,63.4905,0.772104,223,1086.57,1,309,3600,23
001,741,379,6.4542,40.8169,34,7.98505,1,18,10.1592,60.0455,0.725543,151.172,975.36,1,292,3600,32
001,793,467,6.89534,43.52,35,11.09,1,23,15.5849,59.32,1.48406,210,1191.71,1,347,3600,34
001,815,439,6.0487,45.5592,37,12.8185,1,26,32.7883,55.707,1.59562,225,1127.4,1,317,3600,35
001,867,406,6.22139,50.6636,40,6.41021,1,22,6.86694,46.4201,0.738961,226,720.833,1,317,3600,37
001,873,391,6.19831,51.2536,44,6.25239,1,16,6.05352,48.6283,0.430741,121.026,674.792,1,310,3600,40
001,883,396,6.12265,52.0922,45,6.16402,1,15,6.13545,50.7138,0.436667,131,672.438,1,302,3600,44
001,901,382,6.04028,53.2897,47,6.32312,1,16,6.67054,53.171,0.476746,134,702.696,1,302,3600,45
001,929,368,6.03504,54.6583,50,5.93902,1,15,7.4924,55.6349,0.512195,126,739.861,1,285,3600,47
001,1010,404,6.49101,57.8575,52,7.20787,1,17,7.00863,67.1121,0.665493,189,1200.96,1,298,3600,50
001,1059,422,6.31632,60.8603,54,6.75887,1,18,10.5302,60.3507,0.752481,216,928.778,1,313,3600,52
001,1169,398,6.58187,65.0664,58,8.30103,1,18,10.7136,65.898,1.79242,182.204,1146.52,1,284,3600,54
001,1228,451,6.27246,68.8856,60,11.1759,1,22,22.1771,58.79,1.76392,241.05,1238.58,1,322,3600,58
001,1260,409,6.11168,71.2183,62,7.97597,1,26,36.033,55.4881,0.98841,170.363,792.016,1,296,3600,60
001,1357,440,6.52847,75.5917,70,10.8915,1,20,12.6201,57.9565,2.37333,178,1274.39,1,296,3600,62
001,3801,441,6.05622,92.0492,84,14.6094,1,31,39.5221,259.144,17.9464,1108.4,26936.4,1,268,3600,70
001,7151,480,6.3443,111.046,88,24.0671,1,56,252.91,294.485,25.6344,1377.15,81058.7,1,280,3600,84
001,9828,517,6.32194,125.904,106,18.6745,1,63,270.175,287.937,29.0439,785.003,35191.2,1,277,3600,88
001,11753,489,6.07547,128.674,120,14.7878,1,30,38.9269,392.07,38.7167,1206.8,61934.7,1,281,3600,106
001,17569,543,6.09111,158.096,146,18.0077,1,37,57.8421,237.908,19.8495,846.158,22761.5,1,295,3600,120
001,18168,522,6.04422,162.463,154,13.91,1,30,40.5478,277.09,10.5987,1028.86,48638.3,1,296,3600,146
001,21359,597,6.32051,181.184,160,22.6384,1,52,234.629,348.951,24.2188,1656.24,51501.5,1,319,3600,154
001,22799,536,5.58276,185.089,172,18.6623,1,42,108.53,758.548,29.6032,1923.45,405655,1,278,3600,160
001,24738,632,6.29645,188.631,178,17.3812,1,36,68.1992,306.072,27.6835,1587.66,61065.8,1,324,3600,172
001,29758,586,5.77654,214.257,198,19.0798,1,49,193.771,303.66,19.835,740.534,27343.2,1,286,3600,178
001,33006,598,6.45711,221.088,212,14.8616,1,34,42.4316,426.841,25.7158,1817.29,222034,1,291,3600,198
001,36348,606,6.14445,232.568,217,17.3889,1,45,118.718,417.337,20.7905,1448.84,124264,1,281,3600,212
001,36742,536,5.70392,232.9,226,11.5064,1,24,31.5353,416.898,15.2652,1082.12,92297.2,1,258,3600,217
001,38072,632,6.25522,240.891,230,14.7782,1,33,45.5213,290.305,11.7711,972.66,48486.7,1,304,3600,226
001,38216,685,6.6481,241.732,232,15.9184,1,37,58.1175,297.849,9.07835,1114.31,58815,1,347,3600,230
001,60815,680,6.06106,354.071,350,8.81999,1,23,14.2725,422.439,0,1845,229697,1,270,3600,232
001,65106,804,6.25589,385.247,364,24.4769,1,57,237.519,390.144,19.8576,1812.51,94665.9,1,306,3600,350
001,65839,776,6.35102,386.985,376,16.9356,1,38,67.9544,526.364,17.5844,2003.6,252257,1,281,3600,364
001,67371,763,5.71909,401.412,382,29.429,1,58,263.042,354.065,32.0964,1123.27,62710.6,1,265,3600,376
001,75840,846,6.4143,443.514,426,22.8893,1,47,172.943,264.897,22.7754,1257.51,27381.1,1,300,3600,382
001,77506,800,6.30332,452.176,448,9.23821,1,24,15.8264,373.019,0,1339,129903,1,277,3600,426
001,79695,837,6.24141,459.979,454,10.7404,1,24,22.0371,421.515,14.3846,982.351,99224,1,306,3600,448
001,81645,833,5.78197,472.304,458,19.5416,1,47,166.494,423.877,19.9714,1129.5,126485,1,268,3600,454
001,84053,836,6.01127,478.284,468,14.4792,1,31,48.1151,392.571,23.8284,985.457,63064.4,1,279,3600,458
001,88110,850,5.68679,499.084,474,28.3327,1,65,550.991,523.59,32.2378,1212.99,135329,1,272,3600,468
001,95240,930,5.90463,543.468,520,23.2509,1,62,307.171,298.063,22.6213,1073.01,32997.7,1,267,3600,474
001,97621,956,6.04645,557.339,531,33.4938,1,68,478.063,379.22,29.1214,1134.86,104337,1,286,3600,520
001,99691,953,6.15571,572.211,552,24.1349,1,47,161.764,367.732,27.9948,1215.12,48623.9,1,281,3600,531
002,331,389,6.74588,13.8806,5,12.1885,1,25,31.912,56.5056,2.34032,174.165,1091.97,1,320,3600,-1
002,440,373,6.38948,20.8364,9,6.76855,1,25,10.8063,55.2015,0.926805,283,996.629,1,312,3600,5
002,473,360,6.6163,22.3531,16,7.91679,1,17,12.0963,55.8718,0.741465,175,979.456,1,302,3600,9
002,478,341,6.53494,22.4997,17,8.24076,1,17,13.7288,56.9967,0.773148,167,854.693,1,292,3600,16
002,668,380,6.07108,31.6608,22,7.21635,1,24,27.8621,65.8924,1.03057,213.666,999.05,1,291,3600,17
002,712,400,6.70496,33.8611,30,7.4718,1,16,5.93002,56.0222,0.969325,158,944.188,1,322,3600,22
002,867,381,6.55463,41.1636,34,12.3779,1,24,22.6459,58.7177,2.23702,163.557,1201.99,1,298,3600,30
002,966,360,6.19821,48.3328,41,6.00758,1,18,6.66917,59.9984,0.656978,147.6,935.163,1,280,3600,34
002,980,390,6.79076,48.9011,42,6.52095,1,15,4.91247,56.5357,0.527157,165,864.292,1,314,3600,41
002,981,394,6.77069,48.9331,45,6.60272,1,16,5.24313,55.7547,0,129,891.139,1,320,3600,42
002,1068,452,6.63456,52.8178,46,10.1334,1,22,20.3519,58.6672,0.877487,209,1171.42,1,340,3600,45
002,1252,429,5.88033,63.4792,58,9.54761,1,18,11.5563,56.053,1.01013,169,920.105,1,310,3600,46
002,1375,432,6.47418,69.5875,60,8.89745,1,22,10.6534,59.025,1.08337,261,963.525,1,305,3600,58
002,1388,416,6.38904,70.1083,64,9.33115,1,19,13.5405,61.0333,1.54726,192,1051.69,1,293,3600,60
002,1570,429,6.60129,76.8956,69,12.3495,1,24,25.1593,65.6211,2.35446,187.837,1223.58,1,286,3600,64
002,7975,500,6.09004,107.043,98,13.0746,1,29,37.4234,336.933,17.1178,1135.17,36346.9,1,301,3600,69
002,9375,493,6.22995,116.323,107,15.219,1,32,50.1395,366.097,14.9298,987.473,73379.3,1,290,3600,98
002,13719,525,6.19021,131.084,119,19.0667,1,42,82.5941,271.335,24.5996,899.572,52342.8,1,304,3600,107
002,14557,533,6.31342,133.674,120,16.6934,1,40,94.6998,278.982,28.9345,955.418,28090,1,307,3600,119
002,19031,624,6.61611,154.698,128,34.5896,1,68,490.553,253.309,41.0281,984.549,16523.7,1,332,3600,120
002,20192,558,6.05739,162.377,148,17.575,1,47,100.085,358.743,12.7377,1616.28,92303.3,1,300,3600,128
002,25722,601,6.22065,192.646,157,37.5792,1,82,916.295,302.761,37.5467,1666.62,46807.9,1,296,3600,148
002,27729,607,6.33161,206.495,184,22.6085,1,56,206.021,323.455,23.7556,855.929,52307,1,299,3600,157
002,28089,610,6.31571,209.225,192,23.4287,1,48,176.1,281.772,19.8475,1160.38,54409.7,1,290,3600,184
002,30083,598,5.72394,219.064,204,21.6059,1,48,191.896,384.695,20.9695,1195.07,80713.2,1,269,3600,192
002,36900,699,6.13622,261.207,224,39.0963,1,88,1268.71,376.503,28.5857,1554.29,64220.6,1,310,3600,204
002,39104,670,5.43444,270.794,256,19.7402,1,43,102.199,356.82,25.4614,1093.58,42238.5,1,288,3600,224
002,45151,710,6.00659,298.198,264,40.0768,1,81,914.311,396.131,35.1975,1625.32,100258,1,293,3600,256
002,47859,715,6.28437,305.321,292,20.8319,1,44,112.233,359.933,29.6756,1016.98,52493.9,1,289,3600,264
002,49187,690,6.14649,312.523,298,20.8112,1,38,114.461,439.424,27.1308,1440.79,175610,1,287,3600,292
002,53229,699,6.21096,329.382,320,13.9665,1,32,46.6767,350.695,9.56279,1568.28,99915.8,1,301,3600,298
002,53648,671,6.17615,331.413,324,12.679,1,26,26.3203,315.798,12.619,992.812,51302.9,1,266,3600,320
002,60716,681,5.99752,354.85,348,10.7229,1,25,23.4992,507.218,0,2796,308432,1,280,3600,324
002,66627,737,5.97694,380.358,372,16.1769,1,29,42.049,321.734,27.494,1031.33,61090.5,1,279,3600,348
002,69618,755,5.6615,390.22,374,25.3606,1,47,172.201,469.36,36.075,1183.19,128376,1,279,3600,372
