rep,node,steps,update_discovered
001,1,1000,68523
002,1,1000,68635
003,1,1000,67895
004,1,1000,68328
005,1,1000,68251
006,1,1000,68597
007,1,1000,68424
008,1,1000,67386
009,1,1000,68418
010,1,1000,68877
011,1,1000,67643
012,1,1000,69156
013,1,1000,68925
014,1,1000,69030
015,1,1000,68081
016,1,1000,68493
017,1,1000,68535
018,1,1000,68171
019,1,1000,68427
020,1,1000,68414
021,1,1000,67943
022,1,1000,67959
023,1,1000,68362
024,1,1000,68900
025,1,1000,68981
026,1,1000,68288
027,1,1000,68495
028,1,1000,68587
029,1,1000,67353
030,1,1000,69448
031,1,1000,67985
032,1,1000,67719
033,1,1000,68147
034,1,1000,68156
035,1,1000,68368
036,1,1000,69577
037,1,1000,69292
038,1,1000,68162
039,1,1000,67969
040,1,1000,68128
041,1,1000,68390
042,1,1000,68177
043,1,1000,67222
044,1,1000,68437
045,1,1000,69800
046,1,1000,69423
047,1,1000,68547
048,1,1000,68760
049,1,1000,67874
050,1,1000,67716
