generation,fitness,source_node,dest_node,steps,rep
1000,1.97902,0,1,20,001
2000,2.61538,0,1,33,001
3000,3.3986,0,1,49,001
4000,4.03497,0,1,62,001
5000,4.86713,0,1,79,001
6000,5.55245,0,1,93,001
7000,6.43357,0,1,111,001
8000,7.11888,0,1,125,001
9000,7.75524,0,1,138,001
10000,8.53846,0,1,154,001
11000,9.27273,0,1,169,001
12000,9.90909,0,1,182,001
13000,10.5455,0,1,195,001
14000,11.2308,0,1,209,001
15000,11.8182,0,1,221,001
16000,12.7483,0,1,240,001
17000,13.2378,0,1,250,001
18000,13.8741,0,1,263,001
19000,14.6084,0,1,278,001
20000,15.2448,0,1,291,001
21000,15.8811,0,1,304,001
22000,16.5175,0,1,317,001
23000,17.3007,0,1,333,001
24000,17.9371,0,1,346,001
25000,18.7203,0,1,362,001
26000,19.6503,0,1,381,001
27000,20.2867,0,1,394,001
28000,21.021,0,1,409,001
29000,21.7552,0,1,424,001
30000,22.3427,0,1,436,001
31000,23.3217,0,1,456,001
32000,24.0559,0,1,471,001
33000,24.7902,0,1,486,001
34000,25.4266,0,1,499,001
35000,26.1119,0,1,513,001
36000,26.6503,0,1,524,001
37000,27.5315,0,1,542,001
38000,28.0699,0,1,553,001
39000,28.8042,0,1,568,001
40000,29.6364,0,1,585,001
41000,30.1748,0,1,596,001
42000,31.0559,0,1,614,001
43000,31.7902,0,1,629,001
44000,32.2797,0,1,639,001
45000,32.965,0,1,653,001
46000,33.8951,0,1,672,001
47000,34.4825,0,1,684,001
48000,35.1189,0,1,697,001
49000,35.8042,0,1,711,001
50000,36.3427,0,1,722,001
51000,37.4196,0,1,744,001
52000,38.1049,0,1,758,001
53000,38.986,0,1,776,001
54000,39.6224,0,1,789,001
55000,40.3566,0,1,804,001
56000,41.0909,0,1,819,001
57000,41.7273,0,1,832,001
58000,42.5594,0,1,849,001
59000,43.4895,0,1,868,001
60000,44.028,0,1,879,001
61000,44.7133,0,1,893,001
62000,45.3007,0,1,905,001
63000,45.986,0,1,919,001
64000,46.8182,0,1,936,001
65000,47.5035,0,1,950,001
66000,47.993,0,1,960,001
67000,48.7762,0,1,976,001
68000,49.4126,0,1,989,001
69000,50,1,1,0,001
70000,50,1,1,0,001
71000,50,1,1,0,001
72000,50,1,1,0,001
73000,50,1,1,0,001
74000,50,1,1,0,001
75000,50,1,1,0,001
76000,50,1,1,0,001
77000,50,1,1,0,001
78000,50,1,1,0,001
79000,50,1,1,0,001
80000,50,1,1,0,001
