generation,fitness,source_node,dest_node,steps,rep
1000,2.95804,0,1,40,001
2000,4.81818,0,1,78,001
3000,6.53147,0,1,113,001
4000,8.29371,0,1,149,001
5000,10.3986,0,1,192,001
6000,12.1608,0,1,228,001
7000,13.8252,0,1,262,001
8000,15.5874,0,1,298,001
9000,17.4965,0,1,337,001
10000,19.1608,0,1,371,001
11000,20.9231,0,1,407,001
12000,22.7832,0,1,445,001
13000,24.5455,0,1,481,001
14000,26.6993,0,1,525,001
15000,28.9021,0,1,570,001
16000,30.8112,0,1,609,001
17000,32.5734,0,1,645,001
18000,34.6294,0,1,687,001
19000,36.4406,0,1,724,001
20000,38.3986,0,1,764,001
21000,40.1608,0,1,800,001
22000,42.0699,0,1,839,001
23000,43.979,0,1,878,001
24000,45.8392,0,1,916,001
25000,47.5524,0,1,951,001
26000,49.2657,0,1,986,001
27000,50,1,1,0,001
28000,50,1,1,0,001
29000,50,1,1,0,001
30000,50,1,1,0,001
31000,50,1,1,0,001
32000,50,1,1,0,001
33000,50,1,1,0,001
34000,50,1,1,0,001
35000,50,1,1,0,001
36000,50,1,1,0,001
37000,50,1,1,0,001
38000,50,1,1,0,001
39000,50,1,1,0,001
40000,50,1,1,0,001
41000,50,1,1,0,001
42000,50,1,1,0,001
43000,50,1,1,0,001
44000,50,1,1,0,001
45000,50,1,1,0,001
46000,50,1,1,0,001
47000,50,1,1,0,001
48000,50,1,1,0,001
49000,50,1,1,0,001
50000,50,1,1,0,001
51000,50,1,1,0,001
52000,50,1,1,0,001
53000,50,1,1,0,001
54000,50,1,1,0,001
55000,50,1,1,0,001
56000,50,1,1,0,001
57000,50,1,1,0,001
58000,50,1,1,0,001
59000,50,1,1,0,001
60000,50,1,1,0,001
61000,50,1,1,0,001
62000,50,1,1,0,001
63000,50,1,1,0,001
64000,50,1,1,0,001
65000,50,1,1,0,001
66000,50,1,1,0,001
67000,50,1,1,0,001
68000,50,1,1,0,001
69000,50,1,1,0,001
70000,50,1,1,0,001
71000,50,1,1,0,001
72000,50,1,1,0,001
73000,50,1,1,0,001
74000,50,1,1,0,001
75000,50,1,1,0,001
76000,50,1,1,0,001
77000,50,1,1,0,001
78000,50,1,1,0,001
79000,50,1,1,0,001
80000,50,1,1,0,001
81000,50,1,1,0,001
82000,50,1,1,0,001
83000,50,1,1,0,001
84000,50,1,1,0,001
85000,50,1,1,0,001
86000,50,1,1,0,001
87000,50,1,1,0,001
88000,50,1,1,0,001
89000,50,1,1,0,001
90000,50,1,1,0,001
91000,50,1,1,0,001
92000,50,1,1,0,001
93000,50,1,1,0,001
94000,50,1,1,0,001
95000,50,1,1,0,001
96000,50,1,1,0,001
97000,50,1,1,0,001
98000,50,1,1,0,001
99000,50,1,1,0,001
100000,50,1,1,0,001
1000,2.86014,0,1,38,002
2000,4.76923,0,1,77,002
3000,6.58042,0,1,114,002
4000,8.53846,0,1,154,002
5000,10.2517,0,1,189,002
6000,12.014,0,1,225,002
7000,13.8741,0,1,263,002
8000,15.7343,0,1,301,002
9000,17.4476,0,1,336,002
10000,19.2098,0,1,372,002
11000,21.4126,0,1,417,002
12000,23.1748,0,1,453,002
13000,24.8392,0,1,487,002
14000,26.6993,0,1,525,002
15000,28.4615,0,1,561,002
16000,30.2727,0,1,598,002
17000,32.1329,0,1,636,002
18000,33.993,0,1,674,002
19000,35.8531,0,1,712,002
20000,37.9091,0,1,754,002
21000,39.6224,0,1,789,002
22000,41.3357,0,1,824,002
23000,43.0979,0,1,860,002
24000,45.007,0,1,899,002
25000,46.8182,0,1,936,002
26000,48.6783,0,1,974,002
27000,50,1,1,0,002
28000,50,1,1,0,002
29000,50,1,1,0,002
30000,50,1,1,0,002
31000,50,1,1,0,002
32000,50,1,1,0,002
33000,50,1,1,0,002
34000,50,1,1,0,002
35000,50,1,1,0,002
36000,50,1,1,0,002
37000,50,1,1,0,002
38000,50,1,1,0,002
39000,50,1,1,0,002
40000,50,1,1,0,002
41000,50,1,1,0,002
42000,50,1,1,0,002
43000,50,1,1,0,002
44000,50,1,1,0,002
45000,50,1,1,0,002
46000,50,1,1,0,002
47000,50,1,1,0,002
48000,50,1,1,0,002
49000,50,1,1,0,002
50000,50,1,1,0,002
51000,50,1,1,0,002
52000,50,1,1,0,002
53000,50,1,1,0,002
54000,50,1,1,0,002
55000,50,1,1,0,002
56000,50,1,1,0,002
57000,50,1,1,0,002
58000,50,1,1,0,002
59000,50,1,1,0,002
60000,50,1,1,0,002
61000,50,1,1,0,002
62000,50,1,1,0,002
63000,50,1,1,0,002
64000,50,1,1,0,002
65000,50,1,1,0,002
66000,50,1,1,0,002
67000,50,1,1,0,002
68000,50,1,1,0,002
69000,50,1,1,0,002
70000,50,1,1,0,002
71000,50,1,1,0,002
72000,50,1,1,0,002
73000,50,1,1,0,002
74000,50,1,1,0,002
75000,50,1,1,0,002
76000,50,1,1,0,002
77000,50,1,1,0,002
78000,50,1,1,0,002
79000,50,1,1,0,002
80000,50,1,1,0,002
81000,50,1,1,0,002
