rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,100,985,8.91564,1.4775,-1,1.97041,1,7,1.24469,-1,-1,-1,0,267,647,3600
001,200,1222,8.89718,2.98194,-1,3.13111,1,13,3.84549,-1,-1,-1,0,183,649,3600
001,300,1406,8.86705,4.56389,-1,4.29736,1,17,8.81187,-1,-1,-1,0,145,647,3600
001,400,1579,8.9067,6.47167,-1,5.56401,1,22,17.0149,-1,-1,-1,0,122,650,3600
001,500,1704,8.82946,8.28,-1,6.52121,1,27,21.858,-1,-1,-1,0,104,637,3600
001,600,1738,8.90213,9.99389,-1,7.22055,1,23,24.2477,-1,-1,-1,0,81,644,3600
001,700,1798,8.8696,11.5125,-1,8.0264,1,29,34.9707,-1,-1,-1,0,70,652,3600
001,800,1952,8.83685,13.2475,-1,9.45343,1,33,46.3887,-1,-1,-1,0,68,632,3600
001,900,1930,8.88421,15.0019,-1,10.5171,1,36,58.6834,-1,-1,-1,0,57,641,3600
001,1000,2114,8.89044,16.7622,-1,12.2663,1,40,76.2179,-1,-1,-1,0,53,664,3600
001,1100,2177,8.8513,18.5997,-1,13.0006,1,44,82.6016,-1,-1,-1,0,50,646,3600
001,1200,2270,8.91852,20.5697,-1,14.4703,1,48,106.238,-1,-1,-1,0,47,677,3600
001,1300,2292,8.84401,22.4578,-1,16.0783,1,52,128.28,-1,-1,-1,0,43,651,3600
001,1400,2304,8.80814,24.4028,-1,17.1934,1,54,139.045,-1,-1,-1,0,40,643,3600
001,1500,2416,8.91083,26.2292,-1,19.4319,1,58,174.507,-1,-1,-1,0,38,653,3600
001,1600,2519,8.90211,28.1622,-1,19.9413,1,62,175.493,-1,-1,-1,0,36,659,3600
001,1700,2534,8.83417,29.9364,-1,22.0681,1,61,208.897,-1,-1,-1,0,33,638,3600
001,1800,2552,8.81403,31.5111,-1,23.118,1,55,217.056,-1,-1,-1,0,33,619,3600
001,1900,2663,8.93217,33.3556,-1,24.759,1,57,248.102,-1,-1,-1,0,33,674,3600
001,2000,2575,8.86309,35.2622,-1,26.9037,1,62,285.372,-1,-1,-1,0,30,638,3600
001,2100,2600,8.8707,36.9647,-1,26.8095,1,64,316.469,-1,-1,-1,0,28,650,3600
001,2200,2602,8.8199,38.4536,-1,26.2281,1,65,338.96,-1,-1,-1,0,27,623,3600
001,2300,2704,8.8647,40.0083,-1,28.3287,1,70,390.705,-1,-1,-1,0,26,662,3600
001,2400,2844,8.8993,41.7469,-1,29.7598,1,74,420.176,-1,-1,-1,0,26,655,3600
001,2500,2863,8.92683,43.4992,-1,29.6648,1,79,414.058,-1,-1,-1,0,25,660,3600
001,2600,2980,8.92609,45.7433,-1,31.4828,1,82,458.283,-1,-1,-1,0,25,676,3600
001,2700,3055,8.87916,47.5678,-1,31.853,1,87,436.606,-1,-1,-1,0,24,657,3600
001,2800,3026,8.9828,49.5225,-1,33.6929,1,88,492.597,-1,-1,-1,0,24,682,3600
001,2900,3133,9.00275,51.4239,-1,33.7469,1,92,533.703,-1,-1,-1,0,24,704,3600
001,3000,2989,8.8673,53.5664,-1,34.7103,1,93,561.765,-1,-1,-1,0,22,651,3600
