rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs,prev_mrca_depth
006,35443,5312,8.86999,658.373,114,744.866,1,1120,150029,516.884,238.439,2078.93,46376,1,646,3600,-1
007,66522,5918,8.84433,1234.53,723,703.107,1,1067,139525,521.882,203.507,1909.33,52813.8,1,641,3600,-1
010,66457,6267,8.91208,1242.89,683,800.693,1,1167,135553,537.322,252.098,4019.7,56874.9,1,662,3600,-1
011,52085,4949,8.91613,948.068,434,590.997,1,1050,147235,450.27,208.551,1255.61,21480.8,1,654,3600,-1
013,59852,5881,8.89743,1108.79,494,792.282,1,1262,212310,529.86,257.926,17923.9,497679,1,651,3600,-1
015,65079,6096,8.85177,1199.09,640,731.868,1,1167,126168,542.604,288.757,2227.94,32175.6,1,645,3600,-1
017,62615,6873,8.84535,1165.01,394,890.388,1,1560,213696,618.007,242.609,1711.45,43513.4,1,645,3600,-1
019,53731,5698,8.84405,992.403,450,713.635,1,1114,126784,526.658,261.942,3484.52,60122.1,1,648,3600,-1
019,62030,5997,8.80101,1154.28,601,741.995,1,1167,139086,554.415,250.021,3463.14,57721.5,1,622,3600,450
023,68219,6834,8.93194,1244.43,565,981.396,1,1402,207857,598.208,295.276,2418.91,38605.9,1,661,3600,-1
025,57587,6714,8.94375,1046.84,242,1052.57,1,1654,342126,591.832,304.448,2920.96,52426.4,1,672,3600,-1
027,65578,8123,8.91001,1212.88,121,1482.04,1,2230,652982,736.799,375.245,4123.93,73605.9,1,659,3600,-1
031,63299,6357,8.90368,1163.88,362,911.509,1,1639,294548,579.863,231.463,2027.87,78057.1,1,657,3600,-1
031,68819,5787,8.80641,1267.47,628,798.292,1,1316,246034,532.622,224.874,4107.42,111136,1,629,3600,362
034,42788,6103,8.88038,783.321,247,764.509,1,1126,111338,575.915,268.961,3283.64,79193.2,1,642,3600,-1
034,47498,5559,8.85383,865.086,362,722.448,1,1050,132965,511.794,204.598,2165.54,45758.2,1,653,3600,247
034,58692,6113,8.84208,1076.48,387,886.967,1,1433,257879,568.64,283.239,1964.35,27371.6,1,641,3600,362
035,69289,6489,8.89754,1275.63,691,830.19,1,1233,181754,586.02,287.42,2598.71,49052.9,1,643,3600,-1
040,51505,5510,8.85446,960.494,308,794.476,1,1339,237496,525.581,236.401,2020.84,57975.5,1,644,3600,-1
040,71555,6558,8.83712,1304.57,692,623.433,1,1281,126401,726.663,277.288,2855.89,72615.6,1,636,3600,308
044,43486,5517,8.91588,802.931,219,853.413,1,1212,173683,503.406,288.506,1494.73,18383.2,1,666,3600,-1
044,65735,6371,8.84673,1209.18,286,738.683,1,1867,275281,582.297,261.592,2710.66,66523.5,1,663,3600,219
044,67610,5904,8.80395,1242.91,878,552.913,1,775,56705.8,515.488,194.719,2256.71,103856,1,629,3600,286
045,66929,6966,8.87456,1221.62,308,1121.42,1,1871,395181,652.196,291.466,2647.79,42285.3,1,634,3600,-1
047,59247,6301,8.86727,1097.29,26,1217.23,1,2218,684151,625.518,309.621,2137.54,36141.7,1,633,3600,-1
048,68675,6909,8.91012,1279.63,98,1148.88,1,2422,634045,626.716,353.816,2049.24,41493.8,1,661,3600,-1
049,58833,6569,8.88082,1080.04,355,864.561,1,1475,215252,593.563,265.805,2338.49,60466,1,657,3600,-1
