generation,fitness,source_node,dest_node,steps,rep
1000,1.39161,0,1,8,001
2000,2.12587,0,1,23,001
3000,2.22378,0,1,25,001
4000,2.61538,0,1,33,001
5000,3.2028,0,1,45,001
6000,3.44755,0,1,50,001
7000,3.83916,0,1,58,001
8000,4.23077,0,1,66,001
9000,4.76923,0,1,77,001
10000,5.11189,0,1,84,001
11000,5.5035,0,1,92,001
12000,5.84615,0,1,99,001
13000,6.09091,0,1,104,001
14000,6.48252,0,1,112,001
15000,6.77622,0,1,118,001
16000,7.06993,0,1,124,001
17000,7.16783,0,1,126,001
18000,7.31469,0,1,129,001
19000,7.65734,0,1,136,001
20000,7.95105,0,1,142,001
21000,8.39161,0,1,151,001
22000,9.22378,0,1,168,001
23000,9.46853,0,1,173,001
24000,10.1538,0,1,187,001
25000,10.4965,0,1,194,001
26000,11.1329,0,1,207,001
27000,11.4755,0,1,214,001
28000,12.0629,0,1,226,001
29000,12.5524,0,1,236,001
30000,12.9441,0,1,244,001
31000,13.1888,0,1,249,001
32000,13.7273,0,1,260,001
33000,14.2657,0,1,271,001
34000,14.5105,0,1,276,001
35000,14.9021,0,1,284,001
36000,15.0979,0,1,288,001
37000,15.4895,0,1,296,001
38000,16.028,0,1,307,001
39000,16.3217,0,1,313,001
40000,16.6643,0,1,320,001
41000,17.007,0,1,327,001
42000,17.4476,0,1,336,001
43000,17.4476,0,1,336,001
44000,17.6923,0,1,341,001
45000,17.986,0,1,347,001
46000,18.3776,0,1,355,001
47000,18.7692,0,1,363,001
48000,19.1119,0,1,370,001
49000,19.6014,0,1,380,001
50000,19.8951,0,1,386,001
51000,20.2867,0,1,394,001
52000,20.4336,0,1,397,001
53000,20.5804,0,1,400,001
54000,21.021,0,1,409,001
55000,21.2657,0,1,414,001
56000,21.7063,0,1,423,001
57000,21.7552,0,1,424,001
58000,21.8531,0,1,426,001
59000,21.951,0,1,428,001
60000,22.0979,0,1,431,001
61000,22.2937,0,1,435,001
62000,22.6364,0,1,442,001
63000,23.1259,0,1,452,001
64000,23.6643,0,1,463,001
65000,23.8112,0,1,466,001
66000,23.8601,0,1,467,001
67000,24.2517,0,1,475,001
68000,24.7413,0,1,485,001
69000,25.2797,0,1,496,001
70000,25.4266,0,1,499,001
71000,25.6713,0,1,504,001
72000,26.014,0,1,511,001
73000,26.3566,0,1,518,001
74000,26.9441,0,1,530,001
75000,27.3357,0,1,538,001
76000,27.6294,0,1,544,001
77000,27.972,0,1,551,001
78000,28.4126,0,1,560,001
