rep,node,steps,update_discovered
001,1,1000,25617
002,1,1000,26338
003,1,1000,25237
004,1,1000,25030
005,1,1000,25114
006,1,1000,26140
007,1,1000,25694
008,1,1000,25670
009,1,1000,25066
010,1,1000,25390
011,1,1000,25482
012,1,1000,25480
013,1,1000,25393
014,1,1000,25602
015,1,1000,25035
016,1,1000,25996
017,1,1000,26138
018,1,1000,25695
019,1,1000,24971
020,1,1000,25114
021,1,1000,25883
022,1,1000,25946
023,1,1000,25559
024,1,1000,25133
025,1,1000,26113
026,1,1000,25340
027,1,1000,24711
028,1,1000,25600
029,1,1000,25287
030,1,1000,25700
031,1,1000,26144
032,1,1000,25264
033,1,1000,25851
034,1,1000,25815
035,1,1000,24870
036,1,1000,25458
037,1,1000,25678
038,1,1000,25572
039,1,1000,25836
040,1,1000,25809
041,1,1000,25493
042,1,1000,25867
043,1,1000,25480
044,1,1000,25487
045,1,1000,26037
046,1,1000,26237
047,1,1000,24792
048,1,1000,25291
049,1,1000,25272
050,1,1000,25938
