rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs,prev_mrca_depth
001,442,332,6.09362,18.6288,13,5.25924,1,16,7.42532,68.5254,0.898039,229,1364.39,1,275,3481,-1
001,503,340,6.1891,20.6639,17,7.3712,1,15,5.77275,64.0513,0,194,1437.05,1,266,3481,13
001,714,387,6.52068,29.3778,22,8.24346,1,23,16.4512,65.4273,1.86698,181.251,950.367,1,301,3481,17
001,954,380,6.14304,40.2965,29,9.1819,1,26,44.3885,65.474,1.30996,328,1468.9,1,289,3481,22
001,1810,464,6.12736,70.8228,55,18.5828,1,40,185.733,68.634,2.36426,287.167,1183.45,1,302,3481,29
001,2040,412,4.91389,80.1057,71,6.96833,1,19,11.844,65.4776,1.18898,330,1089.76,1,281,3481,55
001,2046,418,5.11729,80.283,72,6.6805,1,18,11.8556,66.5001,1.01297,296,1131.31,1,294,3481,71
001,2056,410,5.58495,80.6122,76,6.92749,1,16,12.6447,64.2768,1.0339,183,884.556,1,286,3481,72
001,2500,458,6.02423,99.2255,84,14.9935,1,37,150.345,66.4284,2.10246,184.577,1205.62,1,290,3481,76
001,2652,453,6.25017,106.404,98,12.5201,1,25,36.2191,60.6021,2.02961,261,1189.46,1,280,3481,84
001,2986,480,6.20989,116.88,103,15.0753,1,34,112.207,70.7687,3.36706,215.161,1138.99,1,293,3481,98
001,3262,529,6.79203,125.875,114,11.4641,1,25,15.5116,69.4114,3.58981,481,2004.56,1,324,3481,103
001,3265,512,6.67417,125.949,119,11.3034,1,22,14.9708,69.8139,2.89286,252.093,1463.65,1,311,3481,114
001,3482,482,6.15868,134.419,120,11.165,1,35,83.5067,63.0093,2.03222,178.083,1485.79,1,274,3481,119
001,3543,483,6.40053,136.856,124,9.69148,1,32,43.9245,63.9584,2.00184,215.783,1098.45,1,291,3481,120
001,3625,516,6.25748,139.806,132,9.3507,1,21,16.7144,67.5193,1.4781,206.333,1375.14,1,301,3481,124
001,3651,480,5.49894,140.962,133,9.11745,1,22,21.172,68.2127,1.59173,191.251,1256.93,1,279,3481,132
001,3804,492,5.50986,146.922,136,10.8195,1,27,48.2083,68.1235,1.416,230.441,1104.95,1,297,3481,133
