generation,fitness,source_node,dest_node,steps,rep
1000,3.69231,0,1,55,001
2000,6.72727,0,1,117,001
3000,9.37063,0,1,171,001
4000,12.2587,0,1,230,001
5000,15.049,0,1,287,001
6000,17.4476,0,1,336,001
7000,20.042,0,1,389,001
8000,22.979,0,1,449,001
9000,25.7203,0,1,505,001
10000,28.6084,0,1,564,001
11000,31.2517,0,1,618,001
12000,34.042,0,1,675,001
13000,36.8811,0,1,733,001
14000,39.5734,0,1,788,001
15000,42.2657,0,1,843,001
16000,44.958,0,1,898,001
17000,47.7483,0,1,955,001
18000,50,1,1,0,001
19000,50,1,1,0,001
20000,50,1,1,0,001
21000,50,1,1,0,001
22000,50,1,1,0,001
23000,50,1,1,0,001
24000,50,1,1,0,001
25000,50,1,1,0,001
26000,50,1,1,0,001
27000,50,1,1,0,001
28000,50,1,1,0,001
29000,50,1,1,0,001
30000,50,1,1,0,001
31000,50,1,1,0,001
32000,50,1,1,0,001
33000,50,1,1,0,001
34000,50,1,1,0,001
35000,50,1,1,0,001
36000,50,1,1,0,001
37000,50,1,1,0,001
38000,50,1,1,0,001
39000,50,1,1,0,001
40000,50,1,1,0,001
41000,50,1,1,0,001
42000,50,1,1,0,001
43000,50,1,1,0,001
44000,50,1,1,0,001
45000,50,1,1,0,001
46000,50,1,1,0,001
47000,50,1,1,0,001
48000,50,1,1,0,001
49000,50,1,1,0,001
50000,50,1,1,0,001
51000,50,1,1,0,001
52000,50,1,1,0,001
53000,50,1,1,0,001
54000,50,1,1,0,001
55000,50,1,1,0,001
56000,50,1,1,0,001
57000,50,1,1,0,001
58000,50,1,1,0,001
59000,50,1,1,0,001
60000,50,1,1,0,001
61000,50,1,1,0,001
62000,50,1,1,0,001
63000,50,1,1,0,001
64000,50,1,1,0,001
65000,50,1,1,0,001
66000,50,1,1,0,001
67000,50,1,1,0,001
68000,50,1,1,0,001
69000,50,1,1,0,001
70000,50,1,1,0,001
71000,50,1,1,0,001
72000,50,1,1,0,001
73000,50,1,1,0,001
74000,50,1,1,0,001
75000,50,1,1,0,001
