rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
011,97294,509,5.93924,102.78,45,90.9642,1,122,1466.78,6803.58,3619.74,20369,7923150,1,86,3600,-1
016,95294,427,5.78712,100.317,3,96.4267,1,205,6967.51,6257.45,2650.76,31308.1,18085500,1,83,3600,-1
021,85873,418,5.82226,95.6069,48,69.5258,1,103,1146.96,6071.04,2147.35,14257.8,7079820,1,84,3600,-1
022,97029,365,5.93895,112.882,88,35.2521,1,58,266.194,4732.53,1574.55,23184.1,6681870,1,85,3600,-1
029,93189,400,5.79141,94.8528,50,61.364,1,95,929.315,6517.29,3181.01,10599.2,3048180,1,78,3600,-1
030,68497,370,6.03946,72.7139,11,39.3748,1,129,644.109,5248.25,2093.4,31911.5,17455100,1,90,3600,-1
030,69587,314,6.02215,74.5194,42,40.2561,1,76,428.036,3985.17,1491.33,8287.51,1972500,1,92,3600,11
030,91700,403,5.96725,99.8792,58,54.4469,1,89,853.114,5051.12,2184.37,16510.1,6277160,1,91,3600,42
038,98501,455,5.87406,99.3167,46,67.7364,1,113,1203.42,7161.97,3168.58,12753.1,4813340,1,81,3600,-1
043,76432,397,5.8563,81.3156,28,62.7585,1,111,987.851,5780.52,2156.51,15127.7,5842510,1,80,3600,-1
043,91939,403,5.95573,99.1711,44,62.0306,1,113,1623.15,5473.23,1416.25,13458.9,6468040,1,89,3600,28
044,95540,448,5.9665,104.364,51,70.989,1,118,1482.73,5393.58,2618.58,10060.7,3093900,1,94,3600,-1
