rep,node,steps,update_discovered
001,1,11,98200
002,1,18,98477
003,1,9,95580
004,1,10,76642
005,1,10,35143
006,1,18,95347
007,1,10,37204
008,1,6,95146
009,1,6,66869
010,1,11,84028
011,1,6,34820
012,1,15,92527
013,1,11,98667
014,1,20,86409
015,1,9,33459
016,1,16,99185
017,1,9,63610
018,1,11,68639
019,1,8,14503
020,1,11,95492
021,1,6,82984
022,1,15,89036
023,1,12,72466
024,1,13,98289
025,1,13,93183
026,1,14,98484
027,1,10,97349
028,1,10,98774
029,1,11,95992
030,1,8,51978
031,1,9,84625
032,1,4,40466
033,1,8,57763
034,1,4,9426
035,1,11,94974
036,1,8,59664
037,1,11,89422
038,1,7,75396
039,1,7,87532
040,1,9,79735
041,1,8,64007
042,1,8,82182
043,1,17,96189
044,1,15,94135
045,1,15,84597
046,1,8,85145
047,1,9,76522
048,1,9,99875
049,1,16,91214
050,1,4,61476
