generation,fitness,source_node,dest_node,steps,rep
1000,1.04895,0,1,1,001
2000,1.14685,0,1,3,001
3000,1.0979,0,1,2,001
4000,1.14685,0,1,3,001
5000,1.1958,0,1,4,001
6000,1.14685,0,1,3,001
7000,1.14685,0,1,3,001
8000,1.24476,0,1,5,001
9000,1.34266,0,1,7,001
10000,1.29371,0,1,6,001
11000,1.29371,0,1,6,001
12000,1.29371,0,1,6,001
13000,1.34266,0,1,7,001
14000,1.29371,0,1,6,001
15000,1.29371,0,1,6,001
16000,1.29371,0,1,6,001
17000,1.34266,0,1,7,001
18000,1.34266,0,1,7,001
19000,1.29371,0,1,6,001
20000,1.34266,0,1,7,001
21000,1.34266,0,1,7,001
22000,1.39161,0,1,8,001
23000,1.39161,0,1,8,001
24000,1.44056,0,1,9,001
25000,1.44056,0,1,9,001
26000,1.44056,0,1,9,001
27000,1.44056,0,1,9,001
28000,1.44056,0,1,9,001
29000,1.44056,0,1,9,001
30000,1.44056,0,1,9,001
31000,1.48951,0,1,10,001
32000,1.39161,0,1,8,001
33000,1.44056,0,1,9,001
34000,1.48951,0,1,10,001
35000,1.48951,0,1,10,001
36000,1.44056,0,1,9,001
37000,1.44056,0,1,9,001
38000,1.44056,0,1,9,001
39000,1.34266,0,1,7,001
40000,1.29371,0,1,6,001
41000,1.34266,0,1,7,001
42000,1.34266,0,1,7,001
43000,1.34266,0,1,7,001
44000,1.34266,0,1,7,001
45000,1.29371,0,1,6,001
46000,1.34266,0,1,7,001
47000,1.34266,0,1,7,001
48000,1.34266,0,1,7,001
49000,1.29371,0,1,6,001
50000,1.34266,0,1,7,001
51000,1.44056,0,1,9,001
52000,1.39161,0,1,8,001
53000,1.34266,0,1,7,001
54000,1.44056,0,1,9,001
55000,1.39161,0,1,8,001
56000,1.34266,0,1,7,001
57000,1.34266,0,1,7,001
58000,1.34266,0,1,7,001
59000,1.39161,0,1,8,001
60000,1.44056,0,1,9,001
61000,1.44056,0,1,9,001
62000,1.44056,0,1,9,001
63000,1.34266,0,1,7,001
64000,1.39161,0,1,8,001
65000,1.34266,0,1,7,001
66000,1.34266,0,1,7,001
67000,1.39161,0,1,8,001
68000,1.34266,0,1,7,001
69000,1.34266,0,1,7,001
70000,1.34266,0,1,7,001
71000,1.34266,0,1,7,001
72000,1.29371,0,1,6,001
73000,1.34266,0,1,7,001
74000,1.34266,0,1,7,001
75000,1.34266,0,1,7,001
76000,1.34266,0,1,7,001
77000,1.34266,0,1,7,001
78000,1.34266,0,1,7,001
79000,1.39161,0,1,8,001
80000,1.39161,0,1,8,001
81000,1.34266,0,1,7,001
82000,1.29371,0,1,6,001
83000,1.29371,0,1,6,001
84000,1.29371,0,1,6,001
85000,1.29371,0,1,6,001
86000,1.34266,0,1,7,001
87000,1.34266,0,1,7,001
88000,1.34266,0,1,7,001
89000,1.29371,0,1,6,001
90000,1.34266,0,1,7,001
91000,1.34266,0,1,7,001
92000,1.34266,0,1,7,001
93000,1.29371,0,1,6,001
94000,1.34266,0,1,7,001
95000,1.39161,0,1,8,001
96000,1.39161,0,1,8,001
97000,1.39161,0,1,8,001
98000,1.44056,0,1,9,001
99000,1.44056,0,1,9,001
100000,1.48951,0,1,10,001
1000,1.04895,0,1,1,002
2000,1.04895,0,1,1,002
3000,1.0979,0,1,2,002
4000,1.0979,0,1,2,002
5000,1.04895,0,1,1,002
6000,1.04895,0,1,1,002
7000,1.04895,0,1,1,002
8000,1.04895,0,1,1,002
9000,1.04895,0,1,1,002
10000,1.04895,0,1,1,002
11000,1.0979,0,1,2,002
12000,1.0979,0,1,2,002
13000,1.04895,0,1,1,002
14000,1.0979,0,1,2,002
15000,1.0979,0,1,2,002
16000,1.04895,0,1,1,002
17000,1.0979,0,1,2,002
18000,1.0979,0,1,2,002
19000,1.14685,0,1,3,002
20000,1.1958,0,1,4,002
21000,1.1958,0,1,4,002
22000,1.1958,0,1,4,002
23000,1.1958,0,1,4,002
24000,1.24476,0,1,5,002
25000,1.1958,0,1,4,002
26000,1.1958,0,1,4,002
