rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,100,6,0.0225061,0.00166667,0,1.71429,1,2,0.204082,85.7143,0,100,1224.49,1,7,3600
001,200,1,0.00398644,0.000277778,0,1,1,1,0,100,0,200,10000,1,2,3600
001,300,3,0.0112537,0.000833333,0,1.5,1,2,0.25,225,0,300,16875,1,4,3600
001,400,2,0.00797249,0.000555556,0,1.33333,1,2,0.222222,266.667,0,400,35555.6,1,3,3600
001,500,0,0,0,0,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,600,0,0,0,0,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,700,4,0.0152392,0.00111111,0,1.6,1,2,0.24,560,0,700,78400,1,5,3600
001,800,3,0.0112537,0.000833333,0,1.5,1,2,0.25,600,0,800,120000,1,4,3600
001,900,3,0.0112537,0.000833333,0,1.5,1,2,0.25,675,0,900,151875,1,4,3600
001,1000,2,0.00797249,0.000555556,0,1.33333,1,2,0.222222,666.667,0,1000,222222,1,3,3600
001,1100,2,0.00797249,0.000555556,0,1.33333,1,2,0.222222,733.333,0,1100,268889,1,3,3600
001,1200,2,0.00797249,0.000555556,0,1.33333,1,2,0.222222,800,0,1200,320000,1,3,3600
001,1300,2,0.00797249,0.000555556,0,1.33333,1,2,0.222222,866.667,0,1300,375556,1,3,3600
001,1400,0,0,0,0,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,1500,0,0,0,0,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,1600,3,0.0112537,0.000833333,0,1.5,1,2,0.25,1200,0,1600,480000,1,4,3600
001,1700,3,0.00797249,1.00056,1,1.33333,1,2,0.222222,58.6667,0,88,1720.89,1,3,3600
001,1800,3,0.270175,1.955,1,1.33333,1,2,0.222222,64.1667,0,98.5,2062.06,1,3,3600
001,1900,4,0.00797249,2.00056,2,1.33333,1,2,0.222222,72.6667,0,109,2640.22,1,3,3600
001,2000,5,0.0112537,2.00083,2,1.5,1,2,0.25,156.75,0,209,8190.19,1,4,3600
001,2100,8,0.0225061,2.00167,2,1.71429,1,2,0.204082,264.857,0,309,11691.6,1,7,3600
001,2200,4,0.00797249,2.00056,2,1.33333,1,2,0.222222,272.667,0,409,37173.6,1,3,3600
001,2300,4,0.00797249,2.00056,2,1.33333,1,2,0.222222,339.333,0,509,57573.6,1,3,3600
001,2400,3,0.00398644,2.00028,2,1,1,1,0,304.5,0,609,92720.2,1,2,3600
001,2500,3,0.00398644,2.00028,2,1,1,1,0,354.5,0,709,125670,1,2,3600
001,2600,4,0.00797249,2.00056,2,1.33333,1,2,0.222222,539.333,0,809,145440,1,3,3600
001,2700,6,0.0152392,2.00111,2,1.6,1,2,0.24,727.2,0,909,132205,1,5,3600
001,2800,3,0.00398644,2.00028,2,1,1,1,0,504.5,0,1009,254520,1,2,3600
001,2900,6,0.0152392,2.00111,2,1.6,1,2,0.24,887.2,0,1109,196781,1,5,3600
001,3000,2,0,2,2,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,3100,6,0.0152392,2.00111,2,1.6,1,2,0.24,1047.2,0,1309,274157,1,5,3600
001,3200,4,0.00797249,2.00056,2,1.33333,1,2,0.222222,939.333,0,1409,441174,1,3,3600
001,3300,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,59.3333,0,89,1760.22,1,3,3600
001,3400,4,0.00398644,3.00028,3,1,1,1,0,94.5,0,189,8930.25,1,2,3600
001,3500,3,0,3,3,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,3600,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,259.333,0,389,33626.9,1,3,3600
001,3700,6,0.0112537,3.00083,3,1.5,1,2,0.25,366.75,0,489,44835.2,1,4,3600
001,3800,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,392.667,0,589,77093.6,1,3,3600
001,3900,4,0.00398644,3.00028,3,1,1,1,0,344.5,0,689,118680,1,2,3600
001,4000,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,526,0,789,138338,1,3,3600
001,4100,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,592.667,0,889,175627,1,3,3600
001,4200,4,0.00398644,3.00028,3,1,1,1,0,494.5,0,989,244530,1,2,3600
001,4300,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,726,0,1089,263538,1,3,3600
001,4400,3,0,3,3,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,4500,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,859.333,0,1289,369227,1,3,3600
001,4600,6,0.0112537,3.00083,3,1.5,1,2,0.25,1041.75,0,1389,361748,1,4,3600
001,4700,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,992.667,0,1489,492694,1,3,3600
001,4800,3,0,3,3,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,4900,4,0.00398644,3.00028,3,1,1,1,0,844.5,0,1689,713180,1,2,3600
001,5000,7,0.0152392,3.00111,3,1.6,1,2,0.24,1431.2,0,1789,512083,1,5,3600
001,5100,6,0.0112537,3.00083,3,1.5,1,2,0.25,1416.75,0,1889,669060,1,4,3600
001,5200,4,0.00398644,3.00028,3,1,1,1,0,994.5,0,1989,989030,1,2,3600
001,5300,4,0.00398644,3.00028,3,1,1,1,0,1044.5,0,2089,1.09098e+06,1,2,3600
001,5400,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,1459.33,0,2189,1.06483e+06,1,3,3600
001,5500,4,0.00398644,3.00028,3,1,1,1,0,1144.5,0,2289,1.30988e+06,1,2,3600
001,5600,8,0.0185202,3.00139,3,1.66667,1,2,0.222222,1990.83,0,2389,792683,1,6,3600
001,5700,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,1659.33,0,2489,1.37669e+06,1,3,3600
001,5800,6,0.0112537,3.00083,3,1.5,1,2,0.25,1941.75,0,2589,1.2568e+06,1,4,3600
001,5900,3,0,3,3,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,6000,3,0,3,3,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,6100,7,0.0152392,3.00111,3,1.6,1,2,0.24,2311.2,0,2889,1.33541e+06,1,5,3600
001,6200,10,0.025787,3.00194,3,1.75,1,2,0.1875,2615.38,0,2989,977169,1,8,3600
001,6300,4,0.00398644,3.00028,3,1,1,1,0,1544.5,0,3089,2.38548e+06,1,2,3600
001,6400,3,0,3,3,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,6500,6,0.0112537,3.00083,3,1.5,1,2,0.25,2466.75,0,3289,2.02829e+06,1,4,3600
001,6600,3,0,3,3,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,6700,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,2326,0,3489,2.70514e+06,1,3,3600
001,6800,8,0.0185202,3.00139,3,1.66667,1,2,0.222222,2990.83,0,3589,1.78902e+06,1,6,3600
001,6900,4,0.00398644,3.00028,3,1,1,1,0,1844.5,0,3689,3.40218e+06,1,2,3600
001,7000,8,0.0185202,3.00139,3,1.66667,1,2,0.222222,3157.5,0,3789,1.99396e+06,1,6,3600
001,7100,4,0.00398644,3.00028,3,1,1,1,0,1944.5,0,3889,3.78108e+06,1,2,3600
001,7200,6,0.0112537,3.00083,3,1.5,1,2,0.25,2991.75,0,3989,2.98352e+06,1,4,3600
001,7300,7,0.0152392,3.00111,3,1.6,1,2,0.24,3271.2,0,4089,2.67519e+06,1,5,3600
001,7400,10,0.025787,3.00194,3,1.75,1,2,0.1875,3665.38,0,4189,1.91928e+06,1,8,3600
001,7500,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,2859.33,0,4289,4.08789e+06,1,3,3600
001,7600,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,2926,0,4389,4.28074e+06,1,3,3600
001,7700,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,2992.67,0,4489,4.47803e+06,1,3,3600
001,7800,5,0.221475,3.96556,3,1.33333,1,2,0.222222,1537,0,2316.5,1.18127e+06,1,3,3600
001,7900,6,0.00797249,4.00056,4,1.33333,1,2,0.222222,96,0,144,4608,1,3,3600
001,8000,7,0.0112537,4.00083,4,1.5,1,2,0.25,183,0,244,11163,1,4,3600
001,8100,5,0.00398644,4.00028,4,1,1,1,0,172,0,344,29584,1,2,3600
001,8200,7,0.0112537,4.00083,4,1.5,1,2,0.25,333,0,444,36963,1,4,3600
001,8300,8,0.0152392,4.00111,4,1.6,1,2,0.24,435.2,0,544,47349.8,1,5,3600
001,8400,6,0.00398644,5.00028,5,1,1,1,0,19,0,38,361,1,2,3600
001,8500,8,0.0112537,5.00083,5,1.5,1,2,0.25,103.5,0,138,3570.75,1,4,3600
001,8600,6,0.00398644,5.00028,5,1,1,1,0,119,0,238,14161,1,2,3600
001,8700,7,0.00797249,5.00056,5,1.33333,1,2,0.222222,225.333,0,338,25387.6,1,3,3600
001,8800,8,0.0112537,5.00083,5,1.5,1,2,0.25,328.5,0,438,35970.8,1,4,3600
001,8900,7,0.00398644,6.00028,6,1,1,1,0,14,0,28,196,1,2,3600
001,9000,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,85.3333,0,128,3640.89,1,3,3600
001,9100,9,0.0112537,6.00083,6,1.5,1,2,0.25,171,0,228,9747,1,4,3600
001,9200,9,0.0112537,6.00083,6,1.5,1,2,0.25,246,0,328,20172,1,4,3600
001,9300,10,0.0152392,6.00111,6,1.6,1,2,0.24,342.4,0,428,29309.4,1,5,3600
001,9400,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,352,0,528,61952,1,3,3600
001,9500,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,418.667,0,628,87640.9,1,3,3600
001,9600,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,485.333,0,728,117774,1,3,3600
001,9700,10,0.0152392,6.00111,6,1.6,1,2,0.24,662.4,0,828,109693,1,5,3600
001,9800,7,0.00398644,6.00028,6,1,1,1,0,464,0,928,215296,1,2,3600
001,9900,7,0.00398644,6.00028,6,1,1,1,0,514,0,1028,264196,1,2,3600
001,10000,7,0.00398644,6.00028,6,1,1,1,0,564,0,1128,318096,1,2,3600
001,10100,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,10200,7,0.00398644,6.00028,6,1,1,1,0,664,0,1328,440896,1,2,3600
001,10300,10,0.0152392,6.00111,6,1.6,1,2,0.24,1142.4,0,1428,326269,1,5,3600
001,10400,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,1018.67,0,1528,518841,1,3,3600
001,10500,7,0.00398644,6.00028,6,1,1,1,0,814,0,1628,662596,1,2,3600
001,10600,10,0.0152392,6.00111,6,1.6,1,2,0.24,1382.4,0,1728,477757,1,5,3600
001,10700,7,0.93502,6.64972,6,1,1,1,0,914,0,1828,835396,1,2,3600
001,10800,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,1285.33,0,1928,826041,1,3,3600
001,10900,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,1352,0,2028,913952,1,3,3600
001,11000,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,1418.67,0,2128,1.00631e+06,1,3,3600
001,11100,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,11200,9,0.0112537,6.00083,6,1.5,1,2,0.25,1746,0,2328,1.01617e+06,1,4,3600
001,11300,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,11400,11,0.0185202,6.00139,6,1.66667,1,2,0.222222,2106.67,0,2528,887609,1,6,3600
001,11500,7,0.00398644,6.00028,6,1,1,1,0,1314,0,2628,1.7266e+06,1,2,3600
001,11600,7,0.00398644,6.00028,6,1,1,1,0,1364,0,2728,1.8605e+06,1,2,3600
001,11700,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,11800,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,1952,0,2928,1.90515e+06,1,3,3600
001,11900,11,0.0185202,6.00139,6,1.66667,1,2,0.222222,2523.33,0,3028,1.27344e+06,1,6,3600
001,12000,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,12100,7,0.00398644,6.00028,6,1,1,1,0,1614,0,3228,2.605e+06,1,2,3600
001,12200,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,2218.67,0,3328,2.46124e+06,1,3,3600
001,12300,9,0.0112537,6.00083,6,1.5,1,2,0.25,2571,0,3428,2.20335e+06,1,4,3600
001,12400,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,2352,0,3528,2.76595e+06,1,3,3600
001,12500,7,0.00398644,6.00028,6,1,1,1,0,1814,0,3628,3.2906e+06,1,2,3600
001,12600,9,0.0112537,6.00083,6,1.5,1,2,0.25,2796,0,3728,2.60587e+06,1,4,3600
001,12700,7,0.00398644,6.00028,6,1,1,1,0,1914,0,3828,3.6634e+06,1,2,3600
001,12800,7,0.00398644,6.00028,6,1,1,1,0,1964,0,3928,3.8573e+06,1,2,3600
001,12900,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,13000,10,0.0152392,6.00111,6,1.6,1,2,0.24,3302.4,0,4128,2.72646e+06,1,5,3600
001,13100,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,13200,7,0.00398644,6.00028,6,1,1,1,0,2164,0,4328,4.6829e+06,1,2,3600
001,13300,7,0.00398644,6.00028,6,1,1,1,0,2214,0,4428,4.9018e+06,1,2,3600
001,13400,7,0.00398644,6.00028,6,1,1,1,0,2264,0,4528,5.1257e+06,1,2,3600
001,13500,7,0.00398644,6.00028,6,1,1,1,0,2314,0,4628,5.3546e+06,1,2,3600
001,13600,7,0.00398644,6.00028,6,1,1,1,0,2364,0,4728,5.5885e+06,1,2,3600
001,13700,10,0.0152392,6.00111,6,1.6,1,2,0.24,3862.4,0,4828,3.72953e+06,1,5,3600
001,13800,10,0.0152392,6.00111,6,1.6,1,2,0.24,3942.4,0,4928,3.88563e+06,1,5,3600
001,13900,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,14000,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,3418.67,0,5128,5.84364e+06,1,3,3600
001,14100,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,3485.33,0,5228,6.07377e+06,1,3,3600
001,14200,9,0.0112537,6.00083,6,1.5,1,2,0.25,3996,0,5328,5.32267e+06,1,4,3600
001,14300,7,0.00398644,6.00028,6,1,1,1,0,2714,0,5428,7.3658e+06,1,2,3600
001,14400,7,0.00398644,6.00028,6,1,1,1,0,2764,0,5528,7.6397e+06,1,2,3600
001,14500,9,0.0112537,6.00083,6,1.5,1,2,0.25,4221,0,5628,5.93895e+06,1,4,3600
001,14600,9,0.0112537,6.00083,6,1.5,1,2,0.25,4296,0,5728,6.15187e+06,1,4,3600
001,14700,11,0.0185202,6.00139,6,1.66667,1,2,0.222222,4856.67,0,5828,4.71744e+06,1,6,3600
001,14800,11,0.0185202,6.00139,6,1.66667,1,2,0.222222,4940,0,5928,4.88072e+06,1,6,3600
001,14900,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,4018.67,0,6028,8.07484e+06,1,3,3600
001,15000,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,4085.33,0,6128,8.34497e+06,1,3,3600
001,15100,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,4152,0,6228,8.61955e+06,1,3,3600
001,15200,11,0.0185202,6.00139,6,1.66667,1,2,0.222222,5273.33,0,6328,5.56161e+06,1,6,3600
001,15300,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,15400,7,0.00398644,6.00028,6,1,1,1,0,3264,0,6528,1.06537e+07,1,2,3600
001,15500,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,4418.67,0,6628,9.76231e+06,1,3,3600
001,15600,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,4485.33,0,6728,1.00591e+07,1,3,3600
001,15700,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,15800,7,0.00398644,6.00028,6,1,1,1,0,3464,0,6928,1.19993e+07,1,2,3600
001,15900,6,0,6,6,-nan,0,0,-nan,0,0,0,0,1,1,3600
001,16000,7,0.00398644,6.00028,6,1,1,1,0,3564,0,7128,1.27021e+07,1,2,3600
001,16100,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,4818.67,0,7228,1.16098e+07,1,3,3600
