rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,18,4,0.0152392,0.00111111,0,1.6,1,2,0.24,14.4,0,18,51.84,1,5,3600,-1
001,1637,3,0.00797249,1.00056,1,1.33333,1,2,0.222222,16.6667,0,25,138.889,1,3,3600,0
001,1807,4,0.00797249,2.00056,2,1.33333,1,2,0.222222,10.6667,0,16,56.8889,1,3,3600,1
001,3235,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,16,0,24,128,1,3,3600,2
001,7806,5,0.00398644,4.00028,4,1,1,1,0,25,0,50,625,1,2,3600,3
001,8376,5,0,5,5,NA,0,0,NA,0,0,0,0,1,1,3600,4
001,8893,9,0.0112537,6.00083,6,1.5,1,2,0.25,15.75,0,21,82.6875,1,4,3600,5
001,20792,9,0.00797249,7.00056,7,1.33333,1,2,0.222222,21.3333,0,32,227.556,1,3,3600,6
001,23876,10,0.00797249,8.00056,8,1.33333,1,2,0.222222,9.33333,0,14,43.5556,1,3,3600,7
001,26099,13,0.0152392,9.00111,9,1.6,1,2,0.24,22.4,0,28,125.44,1,5,3600,8
001,26246,13,0.0112537,10.0008,10,1.5,1,2,0.25,18,0,24,108,1,4,3600,9
001,30431,14,0.0112537,11.0008,11,1.5,1,2,0.25,18,0,24,108,1,4,3600,10
001,31336,12,0,12,12,NA,0,0,NA,0,0,0,0,1,1,3600,11
001,32520,16,0.0112537,13.0008,13,1.5,1,2,0.25,15.75,0,21,82.6875,1,4,3600,12
001,35092,15,0.00398644,14.0003,14,1,1,1,0,30.5,0,61,930.25,1,2,3600,13
001,38221,17,0.00797249,15.0006,15,1.33333,1,2,0.222222,12,0,18,72,1,3,3600,14
001,39211,19,0.0112537,16.0008,16,1.5,1,2,0.25,29.25,0,39,285.188,1,4,3600,15
001,50559,21,0.0152392,17.0011,17,1.6,1,2,0.24,28,0,35,196,1,5,3600,16
001,50815,21,0.0112537,18.0008,18,1.5,1,2,0.25,13.5,0,18,60.75,1,4,3600,17
001,52892,22,0.0112537,19.0008,19,1.5,1,2,0.25,14.25,0,19,67.6875,1,4,3600,18
001,53934,24,0.0152392,20.0011,20,1.6,1,2,0.24,18.4,0,23,84.64,1,5,3600,19
001,55360,22,0.00398644,21.0003,21,1,1,1,0,13,0,26,169,1,2,3600,20
001,59975,23,0.00398644,22.0003,22,1,1,1,0,7,0,14,49,1,2,3600,21
001,62351,23,0,23,23,NA,0,0,NA,0,0,0,0,1,1,3600,22
001,68799,26,0.00797249,24.0006,24,1.33333,1,2,0.222222,22,0,33,242,1,3,3600,23
001,78507,27,0.00797249,25.0006,25,1.33333,1,2,0.222222,16.6667,0,25,138.889,1,3,3600,24
001,80785,28,0.00797249,26.0006,26,1.33333,1,2,0.222222,28,0,42,392,1,3,3600,25
001,92881,27,0,27,27,NA,0,0,NA,0,0,0,0,1,1,3600,26
001,93307,31,0.0112537,28.0008,28,1.5,1,2,0.25,19.5,0,26,126.75,1,4,3600,27
001,93665,31,0.00797249,29.0006,29,1.33333,1,2,0.222222,18,0,27,162,1,3,3600,28
001,95774,32,0.00797249,30.0006,30,1.33333,1,2,0.222222,27.3333,0,41,373.556,1,3,3600,29
001,97331,32,0.00398644,31.0003,31,1,1,1,0,14,0,28,196,1,2,3600,30
001,97351,35,0.0112537,32.0008,32,1.5,1,2,0.25,14.25,0,19,67.6875,1,4,3600,31
001,98178,33,0,33,33,NA,0,0,NA,0,0,0,0,1,1,3600,32
002,15,5,0.0185202,0.00138889,0,1.66667,1,2,0.222222,12.5,0,15,31.25,1,6,3600,-1
002,2022,8,0.025787,1.00194,1,1.75,1,2,0.1875,19.25,0,22,52.9375,1,8,3600,0
002,4274,4,0.00797249,2.00056,2,1.33333,1,2,0.222222,14.6667,0,22,107.556,1,3,3600,1
002,8341,8,0.0185202,3.00139,3,1.66667,1,2,0.222222,15,0,18,45,1,6,3600,2
002,13755,7,0.0112537,4.00083,4,1.5,1,2,0.25,19.5,0,26,126.75,1,4,3600,3
002,14124,8,0.0112537,5.00083,5,1.5,1,2,0.25,24.75,0,33,204.188,1,4,3600,4
002,16550,8,0.00797249,6.00056,6,1.33333,1,2,0.222222,13.3333,0,20,88.8889,1,3,3600,5
002,18965,8,0.00398644,7.00028,7,1,1,1,0,20.5,0,41,420.25,1,2,3600,6
002,20371,11,0.0112537,8.00083,8,1.5,1,2,0.25,24,0,32,192,1,4,3600,7
002,31144,10,0.00398644,9.00028,9,1,1,1,0,10,0,20,100,1,2,3600,8
002,37751,13,0.0112537,10.0008,10,1.5,1,2,0.25,24,0,32,192,1,4,3600,9
002,41309,13,0.00797249,11.0006,11,1.33333,1,2,0.222222,16.6667,0,25,138.889,1,3,3600,10
002,41463,12,0,12,12,NA,0,0,NA,0,0,0,0,1,1,3600,11
002,42018,14,0.00398644,13.0003,13,1,1,1,0,11,0,22,121,1,2,3600,12
002,44191,17,0.0112537,14.0008,14,1.5,1,2,0.25,24.75,0,33,204.188,1,4,3600,13
002,48112,16,0.00398644,15.0003,15,1,1,1,0,11.5,0,23,132.25,1,2,3600,14
002,48356,16,0,16,16,NA,0,0,NA,0,0,0,0,1,1,3600,15
002,50997,18,0.00398644,17.0003,17,1,1,1,0,15,0,30,225,1,2,3600,16
002,55334,22,0.0152392,18.0011,18,1.6,1,2,0.24,14.4,0,18,51.84,1,5,3600,17
002,56342,22,0.0112537,19.0008,19,1.5,1,2,0.25,16.5,0,22,90.75,1,4,3600,18
002,56813,23,0.0112537,20.0008,20,1.5,1,2,0.25,31.5,0,42,330.75,1,4,3600,19
002,63297,24,0.0112537,21.0008,21,1.5,1,2,0.25,34.5,0,46,396.75,1,4,3600,20
002,63722,23,0.00398644,22.0003,22,1,1,1,0,8,0,16,64,1,2,3600,21
002,67655,24,0.00398644,23.0003,23,1,1,1,0,10.5,0,21,110.25,1,2,3600,22
002,68751,26,0.00797249,24.0006,24,1.33333,1,2,0.222222,11.3333,0,17,64.2222,1,3,3600,23
002,72183,26,0.00398644,25.0003,25,1,1,1,0,9.5,0,19,90.25,1,2,3600,24
002,77582,28,0.00797249,26.0006,26,1.33333,1,2,0.222222,15.3333,0,23,117.556,1,3,3600,25
002,78284,28,0.00398644,27.0003,27,1,1,1,0,21,0,42,441,1,2,3600,26
002,81219,32,0.0152392,28.0011,28,1.6,1,2,0.24,15.2,0,19,57.76,1,5,3600,27
002,84504,30,0.00398644,29.0003,29,1,1,1,0,9,0,18,81,1,2,3600,28
002,90949,36,0.0225061,30.0017,30,1.71429,1,2,0.204082,24,0,28,96,1,7,3600,29
002,94071,34,0.0112537,31.0008,31,1.5,1,2,0.25,12.75,0,17,54.1875,1,4,3600,30
002,97732,32,0,32,32,NA,0,0,NA,0,0,0,0,1,1,3600,31
003,15,3,0.0112537,0.000833333,0,1.5,1,2,0.25,11.25,0,15,42.1875,1,4,3600,-1
003,2451,5,0.0152392,1.00111,1,1.6,1,2,0.24,16.8,0,21,70.56,1,5,3600,0
003,10659,3,0.00398644,2.00028,2,1,1,1,0,10.5,0,21,110.25,1,2,3600,1
003,15488,4,0.00398644,3.00028,3,1,1,1,0,8.5,0,17,72.25,1,2,3600,2
003,15857,10,0.0225061,4.00167,4,1.71429,1,2,0.204082,16.2857,0,19,44.2041,1,7,3600,3
003,16315,8,0.0112537,5.00083,5,1.5,1,2,0.25,20.25,0,27,136.688,1,4,3600,4
003,32967,6,0,6,6,NA,0,0,NA,0,0,0,0,1,1,3600,5
003,33451,9,0.00797249,7.00056,7,1.33333,1,2,0.222222,24.6667,0,37,304.222,1,3,3600,6
003,40051,9,0.00398644,8.00028,8,1,1,1,0,14,0,28,196,1,2,3600,7
003,40798,13,0.0152392,9.00111,9,1.6,1,2,0.24,17.6,0,22,77.44,1,5,3600,8
003,45791,11,0.00398644,10.0003,10,1,1,1,0,10,0,20,100,1,2,3600,9
003,61780,12,0.00398644,11.0003,11,1,1,1,0,14.5,0,29,210.25,1,2,3600,10
