rep,node,steps,update_discovered
001,1,110,99294
002,1,111,98884
003,1,107,99889
004,1,111,98792
005,1,109,99432
006,1,114,99419
007,1,111,99694
008,1,116,99202
009,1,105,99736
010,1,107,98867
011,1,113,99945
012,1,118,99057
013,1,113,99694
014,1,109,99984
015,1,108,99652
016,1,116,99712
017,1,113,98800
018,1,113,99953
019,1,109,99952
020,1,113,98892
021,1,112,98536
022,1,115,99685
023,1,118,99716
024,1,103,97934
025,1,110,99886
026,1,117,99888
027,1,112,99630
028,1,107,99099
029,1,115,99683
030,1,119,99717
031,1,111,99814
032,1,105,98324
033,1,111,98860
034,1,116,99955
035,1,112,99074
036,1,117,99611
037,1,113,99670
038,1,113,99631
039,1,109,99451
040,1,107,99803
041,1,106,99906
042,1,111,99414
043,1,111,99251
044,1,114,98839
045,1,112,98789
046,1,111,99812
047,1,113,98702
048,1,111,99694
049,1,111,99390
050,1,113,99402
