generation,fitness,source_node,dest_node,steps,rep
1000,1.14685,0,1,3,001
2000,1.24476,0,1,5,001
3000,1.34266,0,1,7,001
4000,1.39161,0,1,8,001
5000,1.44056,0,1,9,001
6000,1.48951,0,1,10,001
7000,1.53846,0,1,11,001
8000,1.58741,0,1,12,001
9000,1.63636,0,1,13,001
10000,1.68531,0,1,14,001
11000,1.73427,0,1,15,001
12000,1.73427,0,1,15,001
13000,1.78322,0,1,16,001
14000,1.88112,0,1,18,001
15000,1.93007,0,1,19,001
16000,2.02797,0,1,21,001
17000,2.12587,0,1,23,001
18000,2.17483,0,1,24,001
19000,2.27273,0,1,26,001
20000,2.27273,0,1,26,001
21000,2.32168,0,1,27,001
22000,2.37063,0,1,28,001
23000,2.41958,0,1,29,001
24000,2.46853,0,1,30,001
25000,2.51748,0,1,31,001
26000,2.56643,0,1,32,001
27000,2.66434,0,1,34,001
28000,2.66434,0,1,34,001
29000,2.71329,0,1,35,001
30000,2.76224,0,1,36,001
31000,2.76224,0,1,36,001
32000,2.81119,0,1,37,001
33000,2.86014,0,1,38,001
34000,2.86014,0,1,38,001
35000,2.90909,0,1,39,001
36000,2.95804,0,1,40,001
37000,3.00699,0,1,41,001
38000,3.05594,0,1,42,001
39000,3.1049,0,1,43,001
40000,3.15385,0,1,44,001
41000,3.2028,0,1,45,001
42000,3.25175,0,1,46,001
43000,3.34965,0,1,48,001
44000,3.3986,0,1,49,001
45000,3.3986,0,1,49,001
46000,3.44755,0,1,50,001
47000,3.4965,0,1,51,001
48000,3.54545,0,1,52,001
49000,3.59441,0,1,53,001
50000,3.64336,0,1,54,001
51000,3.69231,0,1,55,001
52000,3.79021,0,1,57,001
53000,3.88811,0,1,59,001
54000,3.88811,0,1,59,001
55000,3.93706,0,1,60,001
56000,3.98601,0,1,61,001
57000,4.03497,0,1,62,001
58000,4.03497,0,1,62,001
59000,4.13287,0,1,64,001
60000,4.13287,0,1,64,001
61000,4.23077,0,1,66,001
62000,4.27972,0,1,67,001
63000,4.37762,0,1,69,001
64000,4.37762,0,1,69,001
65000,4.47552,0,1,71,001
66000,4.47552,0,1,71,001
67000,4.57343,0,1,73,001
68000,4.57343,0,1,73,001
69000,4.62238,0,1,74,001
70000,4.67133,0,1,75,001
71000,4.72028,0,1,76,001
72000,4.86713,0,1,79,001
73000,4.86713,0,1,79,001
74000,5.06294,0,1,83,001
75000,5.11189,0,1,84,001
76000,5.16084,0,1,85,001
77000,5.20979,0,1,86,001
78000,5.25874,0,1,87,001
79000,5.30769,0,1,88,001
80000,5.30769,0,1,88,001
81000,5.40559,0,1,90,001
82000,5.45455,0,1,91,001
83000,5.5035,0,1,92,001
84000,5.6014,0,1,94,001
85000,5.6993,0,1,96,001
86000,5.6993,0,1,96,001
87000,5.74825,0,1,97,001
88000,5.74825,0,1,97,001
89000,5.84615,0,1,99,001
90000,5.84615,0,1,99,001
91000,5.84615,0,1,99,001
92000,5.99301,0,1,102,001
93000,6.04196,0,1,103,001
94000,6.09091,0,1,104,001
95000,6.13986,0,1,105,001
96000,6.13986,0,1,105,001
97000,6.18881,0,1,106,001
98000,6.28671,0,1,108,001
99000,6.28671,0,1,108,001
100000,6.33566,0,1,109,001
1000,1.14685,0,1,3,002
2000,1.24476,0,1,5,002
3000,1.24476,0,1,5,002
4000,1.34266,0,1,7,002
5000,1.39161,0,1,8,002
6000,1.44056,0,1,9,002
7000,1.53846,0,1,11,002
8000,1.53846,0,1,11,002
9000,1.58741,0,1,12,002
10000,1.63636,0,1,13,002
11000,1.68531,0,1,14,002
12000,1.73427,0,1,15,002
13000,1.78322,0,1,16,002
14000,1.88112,0,1,18,002
15000,1.93007,0,1,19,002
16000,1.97902,0,1,20,002
17000,2.02797,0,1,21,002
18000,2.17483,0,1,24,002
19000,2.27273,0,1,26,002
20000,2.27273,0,1,26,002
21000,2.32168,0,1,27,002
22000,2.37063,0,1,28,002
23000,2.41958,0,1,29,002
24000,2.46853,0,1,30,002
25000,2.51748,0,1,31,002
26000,2.56643,0,1,32,002
27000,2.61538,0,1,33,002
28000,2.66434,0,1,34,002
29000,2.71329,0,1,35,002
30000,2.71329,0,1,35,002
31000,2.76224,0,1,36,002
32000,2.81119,0,1,37,002
33000,2.86014,0,1,38,002
34000,2.95804,0,1,40,002
35000,3.05594,0,1,42,002
36000,3.15385,0,1,44,002
37000,3.15385,0,1,44,002
38000,3.2028,0,1,45,002
39000,3.3007,0,1,47,002
40000,3.34965,0,1,48,002
41000,3.44755,0,1,50,002
42000,3.44755,0,1,50,002
43000,3.4965,0,1,51,002
44000,3.54545,0,1,52,002
45000,3.59441,0,1,53,002
46000,3.59441,0,1,53,002
47000,3.64336,0,1,54,002
48000,3.69231,0,1,55,002
49000,3.74126,0,1,56,002
50000,3.79021,0,1,57,002
51000,3.79021,0,1,57,002
52000,3.88811,0,1,59,002
53000,3.93706,0,1,60,002
54000,3.98601,0,1,61,002
55000,4.03497,0,1,62,002
56000,4.03497,0,1,62,002
57000,4.13287,0,1,64,002
58000,4.18182,0,1,65,002
59000,4.23077,0,1,66,002
60000,4.32867,0,1,68,002
61000,4.32867,0,1,68,002
62000,4.32867,0,1,68,002
63000,4.37762,0,1,69,002
64000,4.47552,0,1,71,002
65000,4.47552,0,1,71,002
66000,4.57343,0,1,73,002
67000,4.62238,0,1,74,002
68000,4.72028,0,1,76,002
69000,4.76923,0,1,77,002
70000,4.86713,0,1,79,002
71000,4.96503,0,1,81,002
72000,5.01399,0,1,82,002
73000,5.01399,0,1,82,002
74000,5.06294,0,1,83,002
75000,5.06294,0,1,83,002
76000,5.16084,0,1,85,002
77000,5.25874,0,1,87,002
78000,5.30769,0,1,88,002
79000,5.30769,0,1,88,002
80000,5.35664,0,1,89,002
81000,5.45455,0,1,91,002
82000,5.45455,0,1,91,002
83000,5.5035,0,1,92,002
84000,5.6014,0,1,94,002
85000,5.65035,0,1,95,002
86000,5.74825,0,1,97,002
87000,5.74825,0,1,97,002
88000,5.7972,0,1,98,002
89000,5.84615,0,1,99,002
90000,5.8951,0,1,100,002
91000,5.8951,0,1,100,002
92000,5.99301,0,1,102,002
93000,6.04196,0,1,103,002
94000,6.09091,0,1,104,002
95000,6.23776,0,1,107,002
96000,6.23776,0,1,107,002
97000,6.28671,0,1,108,002
98000,6.33566,0,1,109,002
99000,6.38462,0,1,110,002
100000,6.43357,0,1,111,002
1000,1.14685,0,1,3,003
2000,1.1958,0,1,4,003
3000,1.1958,0,1,4,003
4000,1.34266,0,1,7,003
5000,1.44056,0,1,9,003
6000,1.44056,0,1,9,003
7000,1.48951,0,1,10,003
8000,1.58741,0,1,12,003
9000,1.58741,0,1,12,003
10000,1.63636,0,1,13,003
11000,1.78322,0,1,16,003
12000,1.78322,0,1,16,003
13000,1.83217,0,1,17,003
14000,1.97902,0,1,20,003
15000,2.02797,0,1,21,003
16000,2.07692,0,1,22,003
17000,2.07692,0,1,22,003
18000,2.12587,0,1,23,003
19000,2.12587,0,1,23,003
20000,2.22378,0,1,25,003
21000,2.27273,0,1,26,003
22000,2.27273,0,1,26,003
23000,2.32168,0,1,27,003
24000,2.37063,0,1,28,003
25000,2.46853,0,1,30,003
26000,2.51748,0,1,31,003
27000,2.56643,0,1,32,003
28000,2.66434,0,1,34,003
29000,2.66434,0,1,34,003
30000,2.76224,0,1,36,003
31000,2.76224,0,1,36,003
32000,2.86014,0,1,38,003
33000,2.90909,0,1,39,003
34000,2.90909,0,1,39,003
35000,3.00699,0,1,41,003
36000,3.05594,0,1,42,003
37000,3.1049,0,1,43,003
38000,3.1049,0,1,43,003
39000,3.2028,0,1,45,003
40000,3.2028,0,1,45,003
41000,3.25175,0,1,46,003
42000,3.34965,0,1,48,003
43000,3.3007,0,1,47,003
44000,3.3986,0,1,49,003
45000,3.44755,0,1,50,003
46000,3.54545,0,1,52,003
47000,3.64336,0,1,54,003
48000,3.69231,0,1,55,003
49000,3.74126,0,1,56,003
50000,3.79021,0,1,57,003
51000,3.83916,0,1,58,003
52000,3.88811,0,1,59,003
53000,3.93706,0,1,60,003
54000,4.03497,0,1,62,003
55000,4.03497,0,1,62,003
56000,4.03497,0,1,62,003
57000,4.08392,0,1,63,003
58000,4.13287,0,1,64,003
59000,4.18182,0,1,65,003
60000,4.27972,0,1,67,003
61000,4.27972,0,1,67,003
62000,4.32867,0,1,68,003
63000,4.37762,0,1,69,003
64000,4.47552,0,1,71,003
65000,4.52448,0,1,72,003
66000,4.57343,0,1,73,003
67000,4.67133,0,1,75,003
68000,4.67133,0,1,75,003
69000,4.67133,0,1,75,003
70000,4.76923,0,1,77,003
71000,4.81818,0,1,78,003
72000,4.86713,0,1,79,003
73000,4.91608,0,1,80,003
74000,4.96503,0,1,81,003
75000,5.11189,0,1,84,003
76000,5.20979,0,1,86,003
77000,5.20979,0,1,86,003
78000,5.25874,0,1,87,003
79000,5.25874,0,1,87,003
80000,5.35664,0,1,89,003
81000,5.40559,0,1,90,003
82000,5.45455,0,1,91,003
83000,5.55245,0,1,93,003
84000,5.55245,0,1,93,003
85000,5.6014,0,1,94,003
86000,5.65035,0,1,95,003
87000,5.65035,0,1,95,003
88000,5.6993,0,1,96,003
89000,5.6993,0,1,96,003
90000,5.74825,0,1,97,003
91000,5.74825,0,1,97,003
92000,5.84615,0,1,99,003
93000,5.84615,0,1,99,003
94000,5.8951,0,1,100,003
95000,5.99301,0,1,102,003
96000,5.99301,0,1,102,003
97000,6.04196,0,1,103,003
98000,6.09091,0,1,104,003
99000,6.13986,0,1,105,003
100000,6.18881,0,1,106,003
1000,1.1958,0,1,4,004
2000,1.24476,0,1,5,004
3000,1.34266,0,1,7,004
4000,1.44056,0,1,9,004
5000,1.53846,0,1,11,004
6000,1.53846,0,1,11,004
7000,1.63636,0,1,13,004
8000,1.63636,0,1,13,004
9000,1.73427,0,1,15,004
10000,1.78322,0,1,16,004
11000,1.83217,0,1,17,004
12000,1.93007,0,1,19,004
13000,1.97902,0,1,20,004
14000,2.02797,0,1,21,004
15000,2.07692,0,1,22,004
16000,2.12587,0,1,23,004
17000,2.17483,0,1,24,004
18000,2.22378,0,1,25,004
19000,2.27273,0,1,26,004
20000,2.27273,0,1,26,004
21000,2.32168,0,1,27,004
22000,2.37063,0,1,28,004
23000,2.37063,0,1,28,004
24000,2.41958,0,1,29,004
25000,2.46853,0,1,30,004
26000,2.56643,0,1,32,004
27000,2.56643,0,1,32,004
28000,2.66434,0,1,34,004
29000,2.71329,0,1,35,004
30000,2.81119,0,1,37,004
31000,2.90909,0,1,39,004
32000,2.90909,0,1,39,004
33000,2.95804,0,1,40,004
34000,3.00699,0,1,41,004
35000,3.05594,0,1,42,004
36000,3.1049,0,1,43,004
37000,3.2028,0,1,45,004
38000,3.2028,0,1,45,004
39000,3.25175,0,1,46,004
40000,3.34965,0,1,48,004
41000,3.34965,0,1,48,004
42000,3.3986,0,1,49,004
43000,3.44755,0,1,50,004
44000,3.4965,0,1,51,004
45000,3.54545,0,1,52,004
46000,3.64336,0,1,54,004
47000,3.74126,0,1,56,004
48000,3.79021,0,1,57,004
49000,3.83916,0,1,58,004
50000,3.93706,0,1,60,004
51000,3.93706,0,1,60,004
52000,4.03497,0,1,62,004
53000,4.08392,0,1,63,004
54000,4.13287,0,1,64,004
55000,4.18182,0,1,65,004
56000,4.27972,0,1,67,004
57000,4.23077,0,1,66,004
58000,4.27972,0,1,67,004
59000,4.32867,0,1,68,004
60000,4.37762,0,1,69,004
61000,4.42657,0,1,70,004
62000,4.47552,0,1,71,004
63000,4.52448,0,1,72,004
64000,4.57343,0,1,73,004
65000,4.62238,0,1,74,004
66000,4.67133,0,1,75,004
67000,4.72028,0,1,76,004
68000,4.76923,0,1,77,004
69000,4.81818,0,1,78,004
70000,4.81818,0,1,78,004
71000,4.96503,0,1,81,004
72000,4.96503,0,1,81,004
73000,5.06294,0,1,83,004
74000,5.11189,0,1,84,004
75000,5.16084,0,1,85,004
76000,5.25874,0,1,87,004
77000,5.30769,0,1,88,004
78000,5.40559,0,1,90,004
79000,5.45455,0,1,91,004
80000,5.5035,0,1,92,004
81000,5.5035,0,1,92,004
82000,5.6014,0,1,94,004
83000,5.6014,0,1,94,004
84000,5.65035,0,1,95,004
85000,5.6993,0,1,96,004
86000,5.7972,0,1,98,004
87000,5.7972,0,1,98,004
88000,5.84615,0,1,99,004
89000,5.8951,0,1,100,004
90000,5.94406,0,1,101,004
91000,5.94406,0,1,101,004
92000,5.99301,0,1,102,004
93000,6.09091,0,1,104,004
94000,6.18881,0,1,106,004
95000,6.18881,0,1,106,004
96000,6.23776,0,1,107,004
97000,6.28671,0,1,108,004
98000,6.33566,0,1,109,004
99000,6.38462,0,1,110,004
100000,6.43357,0,1,111,004
1000,1.0979,0,1,2,005
2000,1.1958,0,1,4,005
3000,1.24476,0,1,5,005
4000,1.29371,0,1,6,005
5000,1.34266,0,1,7,005
6000,1.44056,0,1,9,005
7000,1.44056,0,1,9,005
8000,1.48951,0,1,10,005
9000,1.53846,0,1,11,005
10000,1.53846,0,1,11,005
11000,1.58741,0,1,12,005
12000,1.68531,0,1,14,005
13000,1.78322,0,1,16,005
