rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,100,280,7.87696,0.0419444,-1,1,1,1,0,-1,-1,-1,0,263,274,3600
001,200,212,7.39645,0.09,-1,1,1,1,0,-1,-1,-1,0,185,202,3600
001,300,183,7.10148,0.168333,-1,1.08333,1,2,0.0763889,-1,-1,-1,0,147,169,3600
001,400,174,6.9472,0.215,-1,1.1,1,2,0.09,-1,-1,-1,0,129,156,3600
001,500,172,6.88099,0.321389,-1,1.16216,1,2,0.135866,-1,-1,-1,0,116,149,3600
001,600,155,6.66738,0.339167,-1,1.12,1,2,0.1056,-1,-1,-1,0,107,129,3600
001,700,140,6.54722,0.3675,-1,1.16667,1,2,0.138889,-1,-1,-1,0,94,114,3600
001,800,149,6.58868,0.474722,-1,1.19512,1,2,0.157049,-1,-1,-1,0,90,123,3600
001,900,143,6.50598,0.558056,-1,1.2449,1,2,0.184923,-1,-1,-1,0,79,116,3600
001,1000,143,6.48652,0.611111,-1,1.32075,1,2,0.217871,-1,-1,-1,0,74,114,3600
001,1100,143,6.43882,0.712222,-1,1.47541,1,3,0.380543,-1,-1,-1,0,68,110,3600
001,1200,145,6.43143,0.798056,-1,1.62069,1,4,0.534285,-1,-1,-1,0,62,113,3600
001,1300,143,6.37789,0.890278,-1,1.58537,1,4,0.535396,-1,-1,-1,0,59,110,3600
001,1400,145,6.38801,0.984444,-1,1.54286,1,4,0.476735,-1,-1,-1,0,57,106,3600
001,1500,151,6.39673,1.11639,-1,1.50667,1,4,0.463289,-1,-1,-1,0,57,109,3600
001,1600,147,6.28985,1.14667,-1,1.61404,1,4,0.622961,-1,-1,-1,0,57,98,3600
001,1700,158,6.43449,1.24833,-1,1.71765,1,4,0.720277,-1,-1,-1,0,56,108,3600
001,1800,166,6.42466,1.36417,-1,1.6747,1,4,0.797794,-1,-1,-1,0,56,113,3600
001,1900,164,6.40969,1.42556,-1,1.66,1,4,0.5844,-1,-1,-1,0,53,113,3600
001,2000,160,6.36465,1.48944,-1,1.73626,1,4,0.677696,-1,-1,-1,0,52,107,3600
001,2100,168,6.37705,1.57056,-1,1.76531,1,5,0.791858,-1,-1,-1,0,52,110,3600
001,2200,162,6.30671,1.63389,-1,1.73256,1,5,0.823824,-1,-1,-1,0,51,104,3600
001,2300,157,6.28849,1.76861,-1,1.89474,1,5,1.16787,-1,-1,-1,0,49,102,3600
001,2400,163,6.26712,1.85167,-1,2.07692,1,6,1.38725,-1,-1,-1,0,47,104,3600
001,2500,155,6.13217,1.88889,-1,1.98913,1,5,1.18466,-1,-1,-1,0,46,94,3600
001,2600,161,6.1584,2.00278,-1,2.03252,1,5,1.12089,-1,-1,-1,0,43,99,3600
001,2700,159,6.14782,2.1,-1,1.91304,1,5,1.10113,-1,-1,-1,0,41,94,3600
001,2800,166,6.21208,2.21889,-1,1.98058,1,5,1.28118,-1,-1,-1,0,41,98,3600
001,2900,170,6.24787,2.3925,-1,2.29365,1,6,2.03282,-1,-1,-1,0,39,101,3600
001,3000,174,6.25929,2.5225,-1,2.27703,1,6,1.88947,-1,-1,-1,0,38,105,3600
001,3100,175,6.19642,2.67111,-1,2.37778,1,7,2.24988,-1,-1,-1,0,36,101,3600
001,3200,176,6.19495,2.80722,-1,2.30769,1,6,1.93609,-1,-1,-1,0,36,100,3600
001,3300,176,6.16954,2.85333,-1,2.23636,1,7,1.90777,-1,-1,-1,0,36,95,3600
001,3400,183,6.2502,2.97361,-1,2.62838,1,9,3.24703,-1,-1,-1,0,35,103,3600
001,3500,184,6.23529,3.07611,-1,2.38525,1,8,2.61388,-1,-1,-1,0,35,99,3600
001,3600,178,6.11158,3.16472,-1,2.65116,1,9,3.42095,-1,-1,-1,0,34,94,3600
001,3700,190,6.16849,3.28194,-1,2.43195,1,8,2.2217,-1,-1,-1,0,33,104,3600
001,3800,181,6.13254,3.40639,-1,2.76282,1,8,3.02708,-1,-1,-1,0,32,96,3600
001,3900,179,6.09015,3.46417,-1,2.86755,1,8,3.43941,-1,-1,-1,0,31,94,3600
001,4000,187,6.08151,3.56694,-1,2.70349,1,8,2.69696,-1,-1,-1,0,31,99,3600
001,4100,182,6.03054,3.64972,-1,2.825,1,8,3.03187,-1,-1,-1,0,30,93,3600
001,4200,180,6.10686,3.79167,-1,2.66667,1,8,2.88889,-1,-1,-1,0,29,93,3600
001,4300,183,6.15989,3.94222,-1,2.65772,1,8,3.12445,-1,-1,-1,0,29,94,3600
001,4400,184,6.14169,4.08528,-1,2.85802,1,8,3.04774,-1,-1,-1,0,29,93,3600
001,4500,183,6.05393,4.23,-1,3.20571,1,9,4.27768,-1,-1,-1,0,27,89,3600
001,4600,199,6.13829,4.35306,-1,3.16949,1,9,3.97127,-1,-1,-1,0,27,102,3600
001,4700,184,5.98554,4.40778,-1,3.00699,1,9,3.81114,-1,-1,-1,0,27,86,3600
001,4800,190,5.95057,4.54,-1,2.74667,1,8,3.01582,-1,-1,-1,0,27,88,3600
001,4900,198,5.96437,4.71694,-1,2.68391,1,8,2.7794,-1,-1,-1,0,27,94,3600
001,5000,193,5.91165,4.82972,-1,2.66242,1,8,2.54209,-1,-1,-1,0,26,89,3600
001,5100,187,5.89372,4.96,-1,3.28916,1,10,4.44651,-1,-1,-1,0,24,86,3600
001,5200,192,5.9712,5.13611,-1,3.03158,1,10,4.56742,-1,-1,-1,0,23,95,3600
001,5300,187,5.91722,5.25056,-1,3.23529,1,11,5.52111,-1,-1,-1,0,23,89,3600
