rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
004,78013,410,5.82248,86.5197,13,90.575,1,157,3148.2,6105.8,3074.73,14594.1,4046570,1,80,3600,-1
008,99956,380,5.93007,111.27,62,53.7266,1,101,723.669,4834.88,2056.01,10467.9,3498180,1,85,3600,-1
011,83958,345,5.61766,89.1136,32,66.7879,1,117,1788.43,6189.39,2434.55,19037.2,10485200,1,67,3600,-1
013,82756,394,6.08213,90.065,48,60.82,1,92,925.624,5151.23,2047.47,12882,5008990,1,90,3600,-1
016,87673,408,5.86134,97.4206,26,66.4302,1,145,1590.67,5857.65,2782.05,15989.8,7602860,1,83,3600,-1
016,92211,351,5.79799,102.09,59,58.5379,1,95,1027.86,4739.66,2070.57,12995.9,3316360,1,88,3600,26
017,66969,361,5.86854,73.8175,5,67.6113,1,137,1861.66,5378.06,2294.47,10275.9,2458350,1,82,3600,-1
017,69957,317,5.78889,77.5514,40,53.0594,1,83,771.036,4234.72,1487.24,14289,3265150,1,85,3600,5
019,67889,413,5.91411,71.3136,3,85.403,1,144,2733.67,5598,2274.44,12536.5,4291610,1,90,3600,-1
020,60312,284,6.04631,64.3339,30,44.4539,1,77,623.541,4724.72,1500.11,8730.11,2218460,1,87,3600,-1
021,85385,457,5.94225,91.8014,17,91.2173,1,155,2957.47,6273.38,2520.86,12337.6,3914720,1,87,3600,-1
022,52995,301,6.02308,59.91,24,45.7321,1,72,593.192,4725.83,1216.25,11491.9,3603910,1,90,3600,-1
022,54793,307,5.88114,62.7069,29,43.3601,1,78,695.206,4943.4,858.056,21592.2,12422800,1,87,3600,24
023,65993,313,5.87003,71.1964,7,66.1335,1,132,2538.63,5574.33,2059.61,12233.2,2855810,1,78,3600,-1
026,47727,242,5.88932,57.3439,32,34.2418,1,59,324.926,3242.84,777.302,6347.08,1797810,1,91,3600,-1
026,95490,406,5.99723,107.933,55,69.8941,1,119,1529.97,5096.81,1977.45,14257,3182150,1,87,3600,32
029,90041,425,6.0571,98.6042,50,65.7477,1,105,1140.05,5206.4,2831.02,10035.7,2512530,1,94,3600,-1
030,73989,291,5.91839,83.8111,62,31.4245,1,53,164.879,3733.28,1498.98,10290.3,2986880,1,90,3600,-1
032,80090,446,6.02385,81.3944,28,81.4741,1,118,1274.55,5683.62,2447.81,15181.3,4267420,1,96,3600,-1
033,88649,390,6.01885,95.4897,28,70.1506,1,141,2708.75,5821,2915.96,11003,3636220,1,82,3600,-1
034,64679,386,5.96351,70.9531,22,66.8544,1,110,1313.03,5582.96,2007.57,19232.4,8168950,1,89,3600,-1
035,96692,390,6.10298,104.573,46,67.9991,1,131,2125.84,4891.34,2105.19,10674.3,3844980,1,97,3600,-1
037,92919,285,5.82677,97.4608,67,39.6522,1,72,491.417,4023.53,1360.31,7562.12,2069760,1,82,3600,-1
043,70938,442,5.794,74.8017,17,77.8617,1,124,1498.86,6742.84,2044.29,16513.3,10188600,1,81,3600,-1
043,97014,414,5.83624,102.787,37,80.9874,1,140,2592.03,5558.12,3366.26,12595.2,2591590,1,87,3600,17
044,94274,330,5.56539,104.503,64,44.9514,1,78,683.935,5385.99,1635.39,17722.4,7156780,1,75,3600,-1
044,95075,301,5.73312,105.594,73,40.9446,1,71,681.864,4330,1036.29,14332.9,4903870,1,82,3600,64
050,78025,302,5.85439,81.4847,51,43.4675,1,66,491.454,4332.8,1712.38,12734.2,3754470,1,83,3600,-1
