rep,node,steps,update_discovered
001,1,27,97368
002,1,26,94853
003,1,23,92994
004,1,20,97947
005,1,19,83462
006,1,9,54353
007,1,26,90664
008,1,25,96003
009,1,20,95035
010,1,19,97687
011,1,14,83906
012,1,20,94314
013,1,23,99501
014,1,24,86209
015,1,10,80838
016,1,24,95035
017,1,29,98006
018,1,18,90170
019,1,13,93175
020,1,19,96536
021,1,14,98244
022,1,13,97882
023,1,11,59386
024,1,21,84663
025,1,26,95048
026,1,22,98217
027,1,23,98064
028,1,10,47948
029,1,17,92474
030,1,16,95835
031,1,18,95950
032,1,24,89548
033,1,20,98302
034,1,33,92916
035,1,14,93748
036,1,10,76619
037,1,19,85858
038,1,23,99911
039,1,19,99024
040,1,23,94076
041,1,21,95475
042,1,13,74878
043,1,16,96518
044,1,28,99853
045,1,16,99767
046,1,19,99842
047,1,17,90545
048,1,24,92231
049,1,22,91859
050,1,19,77679
