generation,fitness,source_node,dest_node,steps,rep
1000,1.29371,0,1,6,001
2000,1.39161,0,1,8,001
3000,1.73427,0,1,15,001
4000,1.93007,0,1,19,001
5000,2.22378,0,1,25,001
6000,2.41958,0,1,29,001
7000,2.61538,0,1,33,001
8000,2.86014,0,1,38,001
9000,3.05594,0,1,42,001
10000,3.3986,0,1,49,001
11000,3.64336,0,1,54,001
12000,3.98601,0,1,61,001
13000,4.18182,0,1,65,001
14000,4.32867,0,1,68,001
15000,4.62238,0,1,74,001
16000,4.91608,0,1,80,001
17000,5.11189,0,1,84,001
18000,5.40559,0,1,90,001
19000,5.65035,0,1,95,001
20000,5.7972,0,1,98,001
21000,6.04196,0,1,103,001
22000,6.33566,0,1,109,001
23000,6.53147,0,1,113,001
24000,6.72727,0,1,117,001
25000,6.97203,0,1,122,001
26000,7.11888,0,1,125,001
27000,7.36364,0,1,130,001
28000,7.60839,0,1,135,001
29000,7.75524,0,1,138,001
30000,8.04895,0,1,144,001
31000,8.29371,0,1,149,001
32000,8.53846,0,1,154,001
33000,8.88112,0,1,161,001
34000,9.22378,0,1,168,001
35000,9.37063,0,1,171,001
36000,9.56643,0,1,175,001
37000,9.81119,0,1,180,001
38000,10.007,0,1,184,001
39000,10.2517,0,1,189,001
40000,10.4965,0,1,194,001
41000,10.7902,0,1,200,001
42000,11.035,0,1,205,001
43000,11.2308,0,1,209,001
44000,11.4266,0,1,213,001
45000,11.6224,0,1,217,001
46000,11.8182,0,1,221,001
47000,12.2098,0,1,229,001
48000,12.6014,0,1,237,001
49000,12.7483,0,1,240,001
50000,13.0909,0,1,247,001
51000,13.3357,0,1,252,001
52000,13.5804,0,1,257,001
53000,13.8741,0,1,263,001
54000,14.1678,0,1,269,001
55000,14.4615,0,1,275,001
56000,14.6084,0,1,278,001
57000,14.8531,0,1,283,001
58000,15.1469,0,1,289,001
59000,15.3916,0,1,294,001
60000,15.7343,0,1,301,001
61000,15.979,0,1,306,001
62000,16.2238,0,1,311,001
63000,16.5175,0,1,317,001
64000,16.8112,0,1,323,001
65000,17.1538,0,1,330,001
66000,17.3497,0,1,334,001
67000,17.5944,0,1,339,001
68000,17.8392,0,1,344,001
69000,18.0839,0,1,349,001
70000,18.2797,0,1,353,001
71000,18.5245,0,1,358,001
72000,18.8671,0,1,365,001
73000,19.014,0,1,368,001
74000,19.2098,0,1,372,001
75000,19.4056,0,1,376,001
76000,19.7483,0,1,383,001
77000,19.8951,0,1,386,001
78000,20.1399,0,1,391,001
79000,20.3357,0,1,395,001
80000,20.4825,0,1,398,001
81000,20.7273,0,1,403,001
82000,21.0699,0,1,410,001
83000,21.4126,0,1,417,001
84000,21.6084,0,1,421,001
85000,21.951,0,1,428,001
86000,22.2448,0,1,434,001
87000,22.4895,0,1,439,001
88000,22.6853,0,1,443,001
89000,22.8811,0,1,447,001
90000,23.0769,0,1,451,001
91000,23.4196,0,1,458,001
92000,23.5664,0,1,461,001
93000,23.8112,0,1,466,001
94000,24.1049,0,1,472,001
95000,24.3497,0,1,477,001
96000,24.4965,0,1,480,001
97000,24.7902,0,1,486,001
98000,25.1329,0,1,493,001
99000,25.4266,0,1,499,001
100000,25.7203,0,1,505,001
1000,1.34266,0,1,7,002
2000,1.53846,0,1,11,002
3000,1.78322,0,1,16,002
4000,2.07692,0,1,22,002
5000,2.32168,0,1,27,002
6000,2.61538,0,1,33,002
7000,2.95804,0,1,40,002
8000,3.15385,0,1,44,002
9000,3.44755,0,1,50,002
10000,3.64336,0,1,54,002
11000,3.88811,0,1,59,002
12000,4.13287,0,1,64,002
13000,4.32867,0,1,68,002
14000,4.52448,0,1,72,002
15000,4.86713,0,1,79,002
16000,5.01399,0,1,82,002
17000,5.25874,0,1,87,002
18000,5.45455,0,1,91,002
19000,5.6014,0,1,94,002
20000,5.7972,0,1,98,002
21000,6.09091,0,1,104,002
22000,6.33566,0,1,109,002
23000,6.58042,0,1,114,002
24000,6.82517,0,1,119,002
25000,7.06993,0,1,124,002
26000,7.41259,0,1,131,002
27000,7.65734,0,1,136,002
28000,8.04895,0,1,144,002
29000,8.29371,0,1,149,002
30000,8.48951,0,1,153,002
31000,8.83217,0,1,160,002
32000,9.07692,0,1,165,002
33000,9.32168,0,1,170,002
34000,9.51748,0,1,174,002
35000,9.81119,0,1,180,002
36000,10.1538,0,1,187,002
37000,10.3497,0,1,191,002
38000,10.6923,0,1,198,002
39000,10.986,0,1,204,002
40000,11.1818,0,1,208,002
41000,11.4266,0,1,213,002
42000,11.7692,0,1,220,002
43000,12.014,0,1,225,002
44000,12.2098,0,1,229,002
45000,12.3566,0,1,232,002
46000,12.6993,0,1,239,002
47000,12.9441,0,1,244,002
48000,13.1888,0,1,249,002
49000,13.4825,0,1,255,002
50000,13.7273,0,1,260,002
51000,13.972,0,1,265,002
52000,14.2168,0,1,270,002
53000,14.4615,0,1,275,002
54000,14.7063,0,1,280,002
55000,15.0979,0,1,288,002
56000,15.2937,0,1,292,002
57000,15.4895,0,1,296,002
58000,15.6853,0,1,300,002
59000,15.9301,0,1,305,002
60000,16.2238,0,1,311,002
61000,16.5664,0,1,318,002
62000,16.8112,0,1,323,002
63000,17.0559,0,1,328,002
64000,17.3497,0,1,334,002
65000,17.5944,0,1,339,002
66000,17.7902,0,1,343,002
67000,18.0839,0,1,349,002
68000,18.2308,0,1,352,002
69000,18.4266,0,1,356,002
70000,18.6224,0,1,360,002
71000,18.9161,0,1,366,002
72000,19.2098,0,1,372,002
73000,19.4056,0,1,376,002
74000,19.5524,0,1,379,002
75000,19.8462,0,1,385,002
76000,19.993,0,1,388,002
77000,20.1888,0,1,392,002
78000,20.4825,0,1,398,002
79000,20.8252,0,1,405,002
80000,21.1678,0,1,412,002
81000,21.5594,0,1,420,002
82000,21.8042,0,1,425,002
83000,22.1469,0,1,432,002
84000,22.4406,0,1,438,002
85000,22.8322,0,1,446,002
86000,23.0769,0,1,451,002
87000,23.2727,0,1,455,002
88000,23.5664,0,1,461,002
89000,23.8112,0,1,466,002
90000,24.1049,0,1,472,002
91000,24.3986,0,1,478,002
92000,24.6434,0,1,483,002
93000,24.8392,0,1,487,002
94000,25.035,0,1,491,002
95000,25.3287,0,1,497,002
96000,25.5734,0,1,502,002
97000,25.9161,0,1,509,002
98000,26.2098,0,1,515,002
99000,26.5035,0,1,521,002
100000,26.6993,0,1,525,002
1000,1.34266,0,1,7,003
2000,1.58741,0,1,12,003
3000,1.88112,0,1,18,003
4000,2.07692,0,1,22,003
5000,2.32168,0,1,27,003
6000,2.66434,0,1,34,003
7000,2.81119,0,1,37,003
8000,3.15385,0,1,44,003
9000,3.3007,0,1,47,003
10000,3.54545,0,1,52,003
11000,3.79021,0,1,57,003
12000,3.93706,0,1,60,003
13000,4.13287,0,1,64,003
14000,4.32867,0,1,68,003
15000,4.57343,0,1,73,003
16000,4.81818,0,1,78,003
17000,5.06294,0,1,83,003
18000,5.30769,0,1,88,003
19000,5.5035,0,1,92,003
20000,5.65035,0,1,95,003
21000,5.8951,0,1,100,003
22000,6.04196,0,1,103,003
23000,6.28671,0,1,108,003
24000,6.58042,0,1,114,003
25000,7.02098,0,1,123,003
26000,7.31469,0,1,129,003
27000,7.55944,0,1,134,003
28000,7.75524,0,1,138,003
29000,8.04895,0,1,144,003
30000,8.29371,0,1,149,003
31000,8.53846,0,1,154,003
32000,8.73427,0,1,158,003
33000,8.97902,0,1,163,003
34000,9.22378,0,1,168,003
35000,9.46853,0,1,173,003
36000,9.76224,0,1,179,003
37000,9.95804,0,1,183,003
38000,10.1538,0,1,187,003
39000,10.3986,0,1,192,003
40000,10.5944,0,1,196,003
41000,10.8881,0,1,202,003
42000,11.1329,0,1,207,003
43000,11.2797,0,1,210,003
44000,11.4266,0,1,213,003
45000,11.6224,0,1,217,003
46000,11.8182,0,1,221,003
47000,12.014,0,1,225,003
48000,12.2587,0,1,230,003
49000,12.4545,0,1,234,003
50000,12.7972,0,1,241,003
51000,13.0909,0,1,247,003
52000,13.3357,0,1,252,003
53000,13.5315,0,1,256,003
54000,13.8741,0,1,263,003
55000,14.0699,0,1,267,003
56000,14.4126,0,1,274,003
57000,14.6084,0,1,278,003
58000,14.9021,0,1,284,003
