generation,fitness,source_node,dest_node,steps,rep
1000,1.44056,0,1,9,001
2000,1.58741,0,1,12,001
3000,1.88112,0,1,18,001
4000,2.17483,0,1,24,001
5000,2.41958,0,1,29,001
6000,2.86014,0,1,38,001
7000,3.00699,0,1,41,001
8000,3.2028,0,1,45,001
9000,3.4965,0,1,51,001
10000,3.83916,0,1,58,001
11000,4.13287,0,1,64,001
12000,4.37762,0,1,69,001
13000,4.57343,0,1,73,001
14000,4.91608,0,1,80,001
15000,5.25874,0,1,87,001
16000,5.45455,0,1,91,001
17000,5.65035,0,1,95,001
18000,6.04196,0,1,103,001
19000,6.23776,0,1,107,001
20000,6.38462,0,1,110,001
21000,6.67832,0,1,116,001
22000,6.97203,0,1,122,001
23000,7.16783,0,1,126,001
24000,7.36364,0,1,130,001
25000,7.65734,0,1,136,001
26000,7.85315,0,1,140,001
27000,8.0979,0,1,145,001
28000,8.29371,0,1,149,001
29000,8.63636,0,1,156,001
30000,8.97902,0,1,163,001
31000,9.27273,0,1,169,001
32000,9.51748,0,1,174,001
33000,9.71329,0,1,178,001
34000,10.007,0,1,184,001
35000,10.2517,0,1,189,001
36000,10.5455,0,1,195,001
37000,10.7902,0,1,200,001
38000,11.0839,0,1,206,001
39000,11.3287,0,1,211,001
40000,11.5734,0,1,216,001
41000,11.8671,0,1,222,001
42000,12.2098,0,1,229,001
43000,12.5524,0,1,236,001
44000,12.8951,0,1,243,001
45000,13.3357,0,1,252,001
46000,13.5804,0,1,257,001
47000,13.8741,0,1,263,001
48000,14.2168,0,1,270,001
49000,14.6084,0,1,278,001
50000,15,0,1,286,001
51000,15.2448,0,1,291,001
52000,15.4895,0,1,296,001
53000,15.8322,0,1,303,001
54000,16.0769,0,1,308,001
55000,16.2727,0,1,312,001
56000,16.4685,0,1,316,001
57000,16.8112,0,1,323,001
58000,17.0559,0,1,328,001
59000,17.3007,0,1,333,001
60000,17.5944,0,1,339,001
61000,17.9371,0,1,346,001
62000,18.1818,0,1,351,001
63000,18.4755,0,1,357,001
64000,18.6713,0,1,361,001
65000,18.9161,0,1,366,001
66000,19.2587,0,1,373,001
67000,19.4545,0,1,377,001
68000,19.7972,0,1,384,001
69000,20.1888,0,1,392,001
70000,20.6294,0,1,401,001
71000,20.972,0,1,408,001
72000,21.1678,0,1,412,001
73000,21.4615,0,1,418,001
74000,21.8531,0,1,426,001
75000,22.1469,0,1,432,001
76000,22.4895,0,1,439,001
77000,22.7343,0,1,444,001
78000,23.028,0,1,450,001
79000,23.2727,0,1,455,001
80000,23.5664,0,1,461,001
81000,23.8601,0,1,467,001
82000,24.2028,0,1,474,001
83000,24.4965,0,1,480,001
84000,24.7902,0,1,486,001
85000,25.1329,0,1,493,001
86000,25.4266,0,1,499,001
87000,25.6713,0,1,504,001
88000,26.0629,0,1,512,001
89000,26.2587,0,1,516,001
90000,26.4545,0,1,520,001
91000,26.6993,0,1,525,001
92000,26.993,0,1,531,001
93000,27.2378,0,1,536,001
94000,27.5315,0,1,542,001
95000,27.8741,0,1,549,001
96000,28.0699,0,1,553,001
97000,28.3147,0,1,558,001
98000,28.6084,0,1,564,001
99000,29.049,0,1,573,001
100000,29.2937,0,1,578,001
1000,1.39161,0,1,8,002
2000,1.68531,0,1,14,002
3000,1.97902,0,1,20,002
4000,2.22378,0,1,25,002
5000,2.41958,0,1,29,002
6000,2.76224,0,1,36,002
7000,3.00699,0,1,41,002
8000,3.3986,0,1,49,002
9000,3.74126,0,1,56,002
10000,4.03497,0,1,62,002
11000,4.27972,0,1,67,002
12000,4.62238,0,1,74,002
13000,4.86713,0,1,79,002
14000,5.06294,0,1,83,002
15000,5.25874,0,1,87,002
16000,5.55245,0,1,93,002
17000,5.7972,0,1,98,002
