rep,node,steps,update_discovered
001,1,804,99946
002,1,786,99973
003,1,773,99908
004,1,766,99927
005,1,817,99856
006,1,799,99954
007,1,785,99908
008,1,779,99934
009,1,772,99917
010,1,778,99978
011,1,792,99927
012,1,755,99996
013,1,766,99977
014,1,785,99965
015,1,780,99940
016,1,747,99791
017,1,779,99919
018,1,770,99827
019,1,790,99947
020,1,795,99976
021,1,790,99965
022,1,801,99918
023,1,784,99890
024,1,774,99958
025,1,788,99967
026,1,782,99862
027,1,773,99983
028,1,788,99828
029,1,794,99879
030,1,751,99932
031,1,783,99972
032,1,801,99858
033,1,804,99905
034,1,780,99856
035,1,797,99959
036,1,783,99854
037,1,784,99899
038,1,777,99821
039,1,802,99886
040,1,766,99934
041,1,767,99994
042,1,798,99828
043,1,777,99994
044,1,757,99982
045,1,787,99854
046,1,792,99879
047,1,808,99930
048,1,757,99983
049,1,785,99921
050,1,766,99995
