rep_idx,num_crossed_trials
1,60
2,61
3,62
4,64
5,64
6,56
7,59
8,54
9,66
10,60
11,58
12,55
13,62
14,67
15,65
16,62
17,67
18,61
19,63
20,63
21,60
22,59
23,58
24,64
25,61
26,60
27,64
28,65
29,64
30,63
31,63
32,61
33,60
34,59
35,59
36,60
37,65
38,70
39,57
40,66
41,58
42,63
43,50
44,69
45,57
46,54
47,61
48,55
49,66
50,64
51,59
52,74
53,46
54,55
55,63
56,58
57,66
58,62
59,67
60,63
61,56
62,70
63,61
64,71
65,56
66,61
67,63
68,66
69,61
70,60
71,60
72,61
73,62
74,56
75,54
76,72
77,59
78,60
79,60
80,56
81,51
82,51
83,68
84,63
85,55
86,73
87,57
88,57
89,59
90,67
91,63
92,62
93,60
94,64
95,58
96,62
97,69
98,60
99,61
100,69
