rep_idx,num_crossed_trials
1,60
2,59
3,60
4,63
5,62
6,57
7,57
8,60
9,52
10,65
11,57
12,66
13,59
14,63
15,57
16,68
17,59
18,56
19,67
20,62
21,58
22,56
23,64
24,59
25,58
26,59
27,56
28,57
29,61
30,65
31,55
32,59
33,58
34,59
35,62
36,51
37,59
38,60
39,61
40,61
41,66
42,59
43,63
44,50
45,63
46,64
47,58
48,63
49,61
50,67
51,63
52,67
53,54
54,50
55,66
56,54
57,59
58,62
59,60
60,65
61,65
62,65
63,63
64,62
65,65
66,67
67,58
68,66
69,61
70,60
71,54
72,63
73,61
74,66
75,59
76,57
77,72
78,65
79,50
80,63
81,52
82,63
83,65
84,62
85,69
86,64
87,57
88,67
89,56
90,63
91,63
92,63
93,65
94,58
95,63
96,54
97,56
98,66
99,65
100,59
