rep_idx,num_crossed_trials
1,61
2,63
3,49
4,51
5,56
6,49
7,54
8,59
9,57
10,53
11,59
12,59
13,55
14,63
15,64
16,50
17,55
18,56
19,56
20,60
21,57
22,48
23,53
24,67
25,57
26,60
27,59
28,63
29,64
30,63
31,61
32,54
33,66
34,54
35,50
36,62
37,63
38,52
39,44
40,52
41,60
42,49
43,64
44,60
45,67
46,59
47,53
48,51
49,54
50,60
51,55
52,54
53,51
54,65
55,53
56,54
57,52
58,60
59,49
60,61
61,63
62,62
63,56
64,61
65,44
66,45
67,59
68,53
69,57
70,50
71,49
72,52
73,59
74,63
75,58
76,50
77,64
78,54
79,53
80,47
81,61
82,57
83,61
84,54
85,55
86,52
87,58
88,57
89,53
90,56
91,53
92,46
93,63
94,54
95,58
96,57
97,55
98,58
99,58
100,60
