rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs,prev_mrca_depth
001,8352,1645,8.25344,140.606,43,142.242,1,223,4125.97,304.008,90.718,1467.78,19087.7,1,504,3600,-1
002,14782,2381,7.95513,197.584,41,235.023,1,352,8766.04,580.33,231.044,2636.91,84638.7,1,423,3600,-1
003,6510,1407,8.02394,124.288,5,160.74,1,259,7919.71,293.38,57.2371,989.231,22085,1,448,3600,-1
004,10146,1891,8.11969,145.821,20,172.78,1,286,7284.48,432.073,128.202,2059.6,50595.8,1,465,3600,-1
005,15467,2394,8.05552,208.876,35,266.519,1,399,10894.2,535.171,182.028,1496.15,45995.1,1,464,3600,-1
005,88936,5457,7.98574,900.908,57,1134.16,1,1766,365482,1277.97,732.458,8870.67,499667,1,459,3600,35
006,7115,1223,8.05512,129.691,61,88.9308,1,153,2731.66,254.868,33.0905,1398.91,17409,1,443,3600,-1
007,8847,1837,8.10364,138.424,49,133.256,1,211,2852.87,398.612,122.715,4160.25,71977,1,460,3600,-1
008,8442,1525,8.126,149.683,64,122.426,1,201,3738.23,304.781,62.9477,1079.9,25012.1,1,466,3600,-1
010,9638,1739,8.00708,151.464,57,134.296,1,220,3433.24,380.22,123.83,1138.45,28987.9,1,450,3600,-1
011,6940,1521,8.12026,121.717,46,116.009,1,172,2438.05,341.668,71.5663,1004.33,25818.7,1,463,3600,-1
011,76912,5133,8.20558,771.75,52,990.708,1,1525,238499,1095.33,653.128,3023.99,105854,1,497,3600,46
012,6940,1311,7.87821,127.145,83,69.5535,1,122,710.294,254.284,47.9263,950.7,19903.3,1,442,3600,-1
012,79277,4699,7.99276,809.531,96,971.48,1,1482,311546,1058.32,490.356,2516.99,131971,1,478,3600,83
013,6843,1464,7.98433,137.138,41,121.088,1,214,5172.83,303.405,45.9629,1512.79,23943,1,454,3600,-1
014,7125,1487,8.05635,136.066,24,150.775,1,248,6595.23,283.835,51.2628,1018.52,18677.8,1,451,3600,-1
015,13124,2280,8.08156,185.37,75,178.695,1,256,3614.33,516.172,179.248,1504.62,50093.3,1,464,3600,-1
016,6276,1462,7.99803,116.695,12,143.514,1,232,5185.65,296.59,64.2575,2081.71,28738.1,1,438,3600,-1
017,6541,1449,8.11072,124.689,33,130.769,1,205,3857.48,239.912,67.6112,1177.86,18649.7,1,469,3600,-1
019,6052,1621,8.09951,120.229,7,157.923,1,247,5799.93,273.152,79.431,1124.22,20406.9,1,458,3600,-1
020,19079,2401,8.13783,248.16,62,281.424,1,414,13265,522.898,179.72,1316.07,35596.9,1,475,3600,-1
021,6861,1413,8.05716,130.341,37,114.505,1,199,3724.07,304.579,73.6325,1118.61,27379.3,1,465,3600,-1
021,97386,5775,8.03791,957.168,87,1172.35,1,1858,393379,1372.35,691.758,4542.06,320375,1,454,3600,37
022,6699,1667,8.05991,114.809,16,136.664,1,236,4300.18,368.171,98.1766,1223.78,29630.9,1,435,3600,-1
023,5393,1216,7.97575,100.495,57,68.6839,1,107,752.951,249.797,35.2707,1030.19,18223.9,1,440,3600,-1
024,11796,2028,8.11075,166.525,45,182.214,1,272,5566.2,432.62,150.05,1438.52,32724.4,1,472,3600,-1
025,7368,1281,7.93247,136.159,49,113.43,1,195,4353.36,274.936,57.465,1139.91,19226.6,1,427,3600,-1
025,42505,3981,8.06105,465.447,88,594.225,1,802,54885.8,910.094,490.724,2043.66,88352.9,1,461,3600,49
026,12762,2219,8.24801,167.566,41,195.118,1,290,5999.24,477.106,179.7,1498.41,52948.5,1,490,3600,-1
027,5197,1442,8.0763,109.772,15,132.894,1,220,4385.42,203.577,45.6747,752.88,8617.44,1,458,3600,-1
027,55483,3730,7.94428,563.784,47,739.582,1,1093,148237,950.673,566.949,2873.1,97505.6,1,439,3600,15
028,6351,1318,8.04418,120.75,61,86.0953,1,138,1493.93,246.12,49.7547,1388.56,18186.7,1,460,3600,-1
029,9341,1652,8.00268,152.198,84,108.749,1,171,1446.65,379.156,86.8721,1280.91,34422.9,1,450,3600,-1
030,8998,1711,8.19653,133.719,47,128.597,1,204,2711.98,365.145,80.1159,983.86,18991.2,1,480,3600,-1
031,11906,1949,7.99285,175.351,64,157.044,1,250,4911.15,486.212,135.326,1757.32,53215.5,1,439,3600,-1
032,7909,1490,7.88942,121.028,56,97.6581,1,151,1666.55,336.129,49.7015,1479,26740.3,1,440,3600,-1
033,6243,1510,8.12081,125.948,31,139.095,1,217,4684.26,241.435,53.8315,1663.61,17319.5,1,484,3600,-1
034,9492,1880,8.05594,162.205,77,135.535,1,202,2371.3,397.168,136.552,1096.97,25877,1,478,3600,-1
