rep,node,steps,update_discovered
001,2,1,4
001,3,2,18
001,4,2,16
001,5,4,198
002,2,1,3
002,3,2,25
002,4,3,42
002,5,4,131
003,2,1,4
003,3,2,42
003,4,2,258
003,5,4,189
004,2,1,5
004,3,2,11
004,4,3,148
004,5,2,50
005,2,1,2
005,3,2,8
005,4,3,85
005,5,4,145
006,2,1,2
006,3,2,42
006,4,3,60
006,5,4,164
007,2,1,4
007,3,2,42
007,4,3,49
007,5,4,121
008,2,1,2
008,3,2,27
008,4,3,99
008,5,4,44
009,2,1,2
009,3,2,18
009,4,3,104
009,5,4,69
010,2,1,2
010,3,2,44
010,4,3,45
010,5,3,60
011,2,1,5
011,3,2,18
011,4,3,17
011,5,4,332
012,2,1,3
012,3,2,7
012,4,2,143
012,5,4,178
013,2,1,2
013,3,2,70
013,4,3,90
013,5,4,192
014,2,1,2
014,3,2,5
014,4,2,6
014,5,2,144
015,2,1,2
015,3,2,14
015,4,3,114
015,5,4,86
016,2,1,2
016,3,2,40
016,4,2,35
016,5,4,60
017,2,1,2
017,3,2,20
017,4,3,49
017,5,4,78
018,2,1,7
018,3,2,21
018,4,3,255
018,5,4,63
019,2,1,2
019,3,2,8
019,4,3,90
019,5,4,120
020,2,1,4
020,3,2,11
020,4,3,61
020,5,4,130
021,2,1,3
021,3,2,7
021,4,2,10
021,5,4,123
022,2,1,7
022,3,2,72
022,4,3,158
022,5,2,26
023,2,1,2
023,3,2,38
023,4,3,62
023,5,3,117
024,2,1,3
024,3,2,34
024,4,3,60
024,5,4,440
025,2,1,2
025,3,2,47
025,4,2,35
025,5,4,183
026,2,1,7
026,3,2,24
026,4,3,62
026,5,2,264
027,2,1,6
027,3,2,93
027,4,3,280
027,5,4,182
028,2,1,2
028,3,2,12
028,4,3,62
028,5,4,86
029,2,1,2
029,3,2,23
029,4,3,88
029,5,2,33
030,2,1,6
030,3,2,41
030,4,3,54
030,5,3,179
031,2,1,4
031,3,2,25
031,4,3,213
031,5,4,121
032,2,1,4
032,3,2,34
032,4,2,83
032,5,2,74
033,2,1,2
033,3,2,7
033,4,3,483
033,5,4,127
034,2,1,2
034,3,2,31
034,4,2,38
034,5,4,151
035,2,1,2
035,3,2,6
035,4,3,61
035,5,4,126
036,2,1,2
036,3,2,47
036,4,3,47
036,5,4,226
037,2,1,2
037,3,2,58
037,4,3,118
037,5,2,23
038,2,1,4
038,3,2,33
038,4,2,14
038,5,4,208
039,2,1,3
039,3,2,33
039,4,3,153
039,5,4,209
040,2,1,2
040,3,2,33
040,4,3,90
040,5,3,107
041,2,1,2
041,3,2,41
041,4,3,151
041,5,4,223
042,2,1,3
042,3,2,26
042,4,3,92
042,5,4,267
043,2,1,2
043,3,2,18
043,4,3,54
043,5,4,67
044,2,1,6
044,3,2,22
044,4,3,64
044,5,4,112
045,2,1,2
045,3,2,68
045,4,3,91
045,5,4,128
046,2,1,7
046,3,2,22
046,4,3,132
046,5,4,301
047,2,1,2
047,3,2,80
047,4,3,55
047,5,4,127
048,2,1,2
048,3,2,77
048,4,3,307
048,5,2,13
049,2,1,2
049,3,2,10
049,4,3,35
049,5,4,61
050,2,1,2
050,3,2,15
050,4,3,106
050,5,4,116
