rep,node,steps,update_discovered
001,1,1000,27863
002,1,1000,26927
003,1,1000,27427
004,1,1000,27192
005,1,1000,27331
006,1,1000,27860
007,1,1000,26770
008,1,1000,27487
009,1,1000,27645
010,1,1000,27325
011,1,1000,27451
012,1,1000,26975
013,1,1000,27459
014,1,1000,27698
015,1,1000,27166
016,1,1000,27645
017,1,1000,27334
018,1,1000,27480
019,1,1000,27340
020,1,1000,27368
021,1,1000,27748
022,1,1000,27469
023,1,1000,27430
024,1,1000,27522
025,1,1000,27757
026,1,1000,27479
027,1,1000,27590
028,1,1000,27625
029,1,1000,26835
030,1,1000,27551
031,1,1000,27618
032,1,1000,27530
033,1,1000,27381
034,1,1000,26710
035,1,1000,27836
036,1,1000,26885
037,1,1000,27308
038,1,1000,27615
039,1,1000,27891
040,1,1000,27213
041,1,1000,27552
042,1,1000,27133
043,1,1000,27607
044,1,1000,27001
045,1,1000,27262
046,1,1000,27909
047,1,1000,26760
048,1,1000,27427
049,1,1000,27737
050,1,1000,27780
