rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs,prev_mrca_depth
001,1436,647,7.55068,50.3744,33,23.5434,1,43,114.928,79.1249,5.02378,331.967,1627.48,1,437,3600,-1
001,3243,676,7.35298,115.888,93,30.595,1,58,213.453,87.7806,6.00366,259.572,2139.26,1,396,3600,33
001,3530,725,7.66348,128.252,104,32.3564,1,59,315.465,84.1485,6.92849,313.726,1930.22,1,427,3600,93
001,3946,664,7.4607,143.673,128,19.5092,1,39,73.1625,81.6958,6.57085,249.137,2004.76,1,389,3600,104
001,4160,723,7.39596,152.248,134,23.6355,1,48,103.418,81.3394,4.53285,309.666,2073.35,1,405,3600,128
001,4209,689,7.49643,154.086,138,24.7687,1,44,134.147,82.334,3.89145,281.887,1965.77,1,380,3600,134
001,5107,827,7.48679,186.239,153,38.3448,1,73,485.232,87.6179,5.09863,499.119,1947.1,1,429,3600,138
001,5365,774,7.60852,198.159,159,23.1051,1,83,265.049,82.5343,5.08861,397.105,2772.17,1,402,3600,153
001,5457,762,7.5302,201.739,188,21.0997,1,37,76.8473,83.2912,3.48316,336.667,1851.4,1,399,3600,159
001,7568,860,7.71571,282.065,258,20.7925,1,52,134.504,73.8072,4.52249,236.313,1617.69,1,438,3600,188
001,7649,851,7.63004,285.761,273,21.537,1,35,54.4053,76.8541,5.56023,271.453,1681.96,1,434,3600,258
001,8431,872,7.4593,314.866,293,32.7068,1,53,258.589,84.2191,4.89334,421.455,2296.25,1,385,3600,273
001,9921,1002,7.61852,374.361,351,32.7013,1,58,253.475,82.7032,8.5375,668.411,3528.12,1,427,3600,293
001,10970,987,7.34107,411.96,383,34.4989,1,66,389.446,92.2936,6.49498,377.88,2576.58,1,398,3600,351
001,11152,991,7.62397,420.105,398,25.5441,1,54,290.621,80.8189,2.86889,234.439,2047.85,1,429,3600,383
001,11274,933,7.51367,426.137,415,16.886,1,32,63.433,76.232,2.14815,355,1866.29,1,412,3600,398
001,12370,1024,7.45319,466.433,443,23.1628,1,52,173.255,81.8221,5.65963,336.494,2002.43,1,411,3600,415
001,12446,989,7.41838,469.76,455,20.8743,1,37,102.091,74.6047,4.30302,292.615,1508.88,1,418,3600,443
001,13253,1097,7.65274,499.094,479,24.7278,1,52,133.243,88.176,6.90046,258.194,1965.06,1,419,3600,455
001,14492,1113,7.45641,549.964,529,31.6874,1,51,181.659,86.0723,6.06691,421.155,2719.17,1,396,3600,479
001,15570,1189,7.51333,590.038,553,45.0953,1,85,900.628,90.1157,7.92404,298.123,2501.2,1,406,3600,529
001,16707,1160,7.50055,632.464,616,20.3219,1,44,96.2905,86.4623,4.86653,318.58,1997.96,1,387,3600,553
001,18826,1334,7.70458,707.51,661,50.4621,1,104,1519.52,90.4364,5.86158,349.563,2295.21,1,425,3600,616
001,19694,1441,7.68275,735.929,695,54.809,1,92,920.086,93.6018,12.4823,634.827,3758.47,1,426,3600,661
001,20553,1376,7.76216,765.575,724,49.917,1,92,1225.71,91.3335,7.65677,267.569,2368.5,1,427,3600,695
001,21337,1409,7.67267,798.974,778,22.6362,1,48,91.6971,78.0616,5.24151,315.951,1734.78,1,447,3600,724
001,21489,1437,7.63048,804.636,784,22.9545,1,48,116.531,89.2728,3.43337,498.329,2507.88,1,431,3600,778
001,21580,1412,7.5618,808.726,789,23.2182,1,49,211.768,76.6797,5.11122,589.098,3198.42,1,427,3600,784
001,22120,1452,7.6165,828.99,803,34.1141,1,64,295.891,94.8064,9.75751,336.325,2758.43,1,401,3600,789
001,22293,1418,7.71844,835.674,815,30.8569,1,50,170.51,84.4664,4.78515,324.222,1952.31,1,401,3600,803
001,22598,1416,7.54163,847.393,819,35.5267,1,64,458.562,84.5891,7.65673,388.188,2630.92,1,394,3600,815
001,23339,1444,7.57521,872.327,860,20.1756,1,34,56.2541,85.7322,3.79034,265.198,1947.49,1,418,3600,819
001,24086,1508,7.71534,901.571,863,36.2187,1,84,961.612,81.2183,6.88383,244.809,1981.75,1,454,3600,860
001,24300,1493,7.76449,910.262,896,20.4376,1,39,68.7916,83.3555,4.3112,429.498,2398.21,1,420,3600,863
001,24500,1500,7.58488,917.327,899,28.0908,1,49,127.904,84.9655,8.87032,354.779,2425.34,1,410,3600,896
001,24871,1529,7.47904,935.643,907,34.9222,1,66,449.091,79.6593,4.22812,407.69,2112.42,1,429,3600,899
001,25676,1531,7.43315,964.388,919,52.2717,1,100,1605.85,89.6246,10.3071,321.06,2369.03,1,392,3600,907
001,26787,1636,7.73096,1003.37,970,48.5809,1,81,681.439,85.7877,11.8227,283.749,2032.27,1,422,3600,919
001,27369,1736,7.78314,1020.69,971,57.2006,1,107,1621.08,96.3852,12.8668,339.628,2941.22,1,433,3600,970
001,27575,1618,7.51699,1028.95,1012,24.5128,1,44,136.028,81.7719,4.42877,410.611,2245.82,1,429,3600,971
001,52512,1960,7.31245,1230.02,1143,88.5312,1,199,5429.15,345.703,65.7488,966.627,42776,1,385,3600,1012
001,54267,1944,7.26917,1237.45,1203,52.8035,1,95,550.239,350.038,44.1264,1544.27,66211.2,1,402,3600,1143
001,68866,2030,7.33011,1346.54,1293,54.3313,1,133,1290.99,441.076,43.4223,1318.36,124007,1,413,3600,1203
001,71496,2113,7.50689,1365.23,1317,53.6099,1,120,855.709,325.157,55.6192,1072.51,43789,1,393,3600,1293
001,72465,2070,7.19214,1371.18,1339,53.6617,1,97,473.11,333.56,86.3126,1104.55,25151.2,1,372,3600,1317
001,78538,2071,7.20504,1406.07,1365,55.4996,1,105,1067.06,341.573,40.8351,959.152,37102.6,1,391,3600,1339
001,82511,2067,7.02159,1419.27,1383,49.1307,1,97,731.521,375.14,46.7271,1142.68,36486.2,1,371,3600,1365
001,89670,2203,7.44344,1473.38,1409,64.7656,1,137,1448.74,306.052,52.4605,1117.93,29945,1,396,3600,1383
001,94585,2298,7.40078,1509.19,1429,104.99,1,188,3363.14,375.71,96.6935,979.683,31864.3,1,394,3600,1409
002,863,641,7.71277,32.3572,9,29.6341,1,57,337.493,86.8256,3.3058,333.415,2039.96,1,434,3600,-1
002,2337,697,7.57123,84.0931,47,37.1413,1,77,393.583,86.2697,7.66663,470.404,2294.11,1,415,3600,9
002,2399,668,7.70367,86.9486,59,37.2524,1,68,398.934,82.3585,6.7237,321.05,1995.69,1,419,3600,47
002,2778,638,7.57185,102.189,84,24.1823,1,44,165.247,86.2965,5.03803,323.887,2430.94,1,405,3600,59
002,3127,731,7.57432,116.753,100,26.0423,1,43,105.262,82.593,5.41907,283.358,2396.45,1,430,3600,84
002,3320,727,7.77395,124.609,101,31.3209,1,58,316.799,80.4701,5.07744,259.782,2463.06,1,448,3600,100
002,3661,741,7.69754,137.699,112,33.0532,1,60,401.076,81.645,4.6726,318.162,2246.24,1,454,3600,101
002,4260,705,7.40613,159.079,137,26.5295,1,52,211.332,86.7529,5.73315,557.25,2599.7,1,390,3600,112
002,5245,790,7.58967,200.619,188,17.5647,1,31,33.1265,82.8801,6.18802,236.975,1706.84,1,444,3600,137
002,5430,794,7.57209,206.066,191,22.5603,1,39,92.0144,90.5234,3.73089,400.72,2515.48,1,421,3600,188
002,6433,858,7.69244,245.381,230,20.1281,1,38,55.2774,84.0207,8.32675,466.229,2635.91,1,429,3600,191
002,6682,838,7.57754,255.193,235,29.1339,1,51,192.018,81.3678,5.07067,540.801,2731.41,1,398,3600,230
002,7154,871,7.52071,274.603,249,33.4768,1,65,371.785,85.1877,7.2543,576.698,2506.3,1,413,3600,235
002,7531,811,7.30635,293.099,281,19.9129,1,33,48.7689,80.0355,7.31566,309.167,1582.15,1,379,3600,249
002,8313,891,7.50806,326.066,307,16.2455,1,45,47.8951,85.2025,3.64054,349.751,2589,1,416,3600,281
002,8362,877,7.6811,328.416,317,17.3307,1,33,44.615,79.2754,2.42459,398.205,2382.6,1,420,3600,307
002,9236,1001,7.63293,362.524,343,29.289,1,51,162.56,82.1118,8.20379,328.828,2018.78,1,440,3600,317
002,9741,964,7.62285,382.429,351,31.0192,1,70,344.599,78.9144,5.86967,281.893,1831.32,1,418,3600,343
002,9943,994,7.75358,391.599,367,28.0719,1,55,222.393,80.177,4.05753,306,2296.95,1,445,3600,351
002,10040,941,7.48074,396.666,377,24.5262,1,49,184.881,79.2948,3.25102,297.606,1902.2,1,404,3600,367
002,10256,1004,7.58261,404.327,389,23.5839,1,41,110.254,91.5322,5.1488,318.796,2761.11,1,429,3600,377
002,11630,1070,7.68843,454.855,419,45.8648,1,83,798.059,82.0052,5.13299,264.828,1994.24,1,425,3600,389
002,12215,1035,7.59035,480.39,460,27.1213,1,51,209.222,82.515,3.952,247.656,2038.18,1,413,3600,419
002,13153,1160,7.63126,515.174,465,55.0375,1,112,1789.28,98.7618,8.02895,314.921,2527.36,1,432,3600,460
002,13697,1117,7.6002,537.219,509,22.3271,1,62,124.157,90.0196,6.42164,897,3677.15,1,402,3600,465
002,13738,1130,7.70313,538.815,514,25.07,1,60,168.401,91.8176,7.00224,566.979,2789.4,1,413,3600,509
002,13829,1160,7.59201,542.023,522,28.2587,1,49,149.012,93.671,7.21764,344.81,2797.19,1,404,3600,514
002,14112,1135,7.47065,552.803,525,33.0156,1,64,367.013,83.1748,9.25151,589.289,2356.07,1,412,3600,522
002,14329,1139,7.57721,562.486,545,24.4574,1,41,113.219,73.7495,4.57615,262.334,1675.15,1,408,3600,525
002,14342,1111,7.62638,562.883,546,24.4449,1,42,126.368,75.7758,6.03035,275.221,1596.88,1,397,3600,545
002,15277,1118,7.59443,598,573,27.8755,1,57,357.682,78.1262,8.30851,276.244,1813.29,1,381,3600,546
002,15515,1152,7.41069,608.316,591,24.4695,1,44,149.078,78.0065,4.1424,316.004,1783.85,1,404,3600,573
002,16395,1249,7.63577,638.622,601,44.4873,1,85,897.674,89.6232,6.58854,321.908,2222.18,1,417,3600,591
002,16776,1178,7.45953,654.346,634,26.1185,1,49,230.242,80.3831,4.98292,306.522,2123.94,1,397,3600,601
