rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,8236,1685,8.01831,221.036,71,205.915,1,304,8685.2,194.811,64.6822,607.889,6876.86,1,446,3600,-1
001,8984,1668,7.94309,241.23,86,220.036,1,333,11186.1,184.631,78.308,546.54,5090.87,1,452,3600,71
002,16876,2306,8.00431,442.572,198,331.778,1,508,29395.7,225.265,99.6028,2005.5,16737.2,1,454,3600,-1
002,20752,1919,7.97407,545.778,362,214.904,1,396,17092.5,175.575,64.1236,679.231,4987.32,1,453,3600,198
002,27700,2236,7.88138,722.614,454,342.895,1,547,45826.5,208.709,68.8804,453.532,5160.84,1,445,3600,362
002,31031,2335,8.02523,808.939,506,332.591,1,626,56058.1,206.373,73.7191,513.281,4826.24,1,450,3600,454
002,33274,2269,8.0786,870.924,692,212.937,1,377,16253.8,175.546,65.4817,907.097,7145.83,1,472,3600,506
002,37005,2365,8.09582,976.668,815,205.876,1,343,11788.9,176.827,64.7933,1102.29,10506.4,1,450,3600,692
002,39948,2640,7.92627,1055.45,881,261.498,1,366,15221.1,204.034,91.2791,838.759,5459.48,1,433,3600,815
003,20610,2134,8.09283,524.073,302,311.183,1,459,28104,200.729,87.8529,512.286,4000.01,1,455,3600,-1
004,12719,1880,7.94676,319.462,136,246.22,1,384,17904.5,210.844,76.0162,1300.95,7969.15,1,444,3600,-1
004,18048,2035,8.0755,455.001,222,287.716,1,490,31488.2,204.967,68.9632,768.506,6755.77,1,468,3600,136
004,27417,2468,7.95008,700.858,337,361.904,1,740,75760.7,249.453,91.776,604.381,9724.86,1,421,3600,222
004,32481,2588,8.05965,838.971,587,317.429,1,519,30718.8,223.68,89.9123,661.588,6754.34,1,463,3600,337
004,34933,2367,7.99024,902.862,686,280.29,1,448,26747.9,194.392,78.374,1029.99,6797.64,1,459,3600,587
004,41123,2607,7.95902,1066.93,748,381.53,1,656,70338.5,200.743,88.029,977.434,8254.12,1,453,3600,686
005,19134,1790,8.07149,484.19,330,181.522,1,320,12001.9,176.384,50.2081,785.943,5551.32,1,471,3600,-1
005,20490,1887,8.09392,521.233,375,156.184,1,300,6261.86,172.77,60.9537,446.204,3852.45,1,476,3600,330
005,21714,2050,7.99828,552.823,446,170.568,1,235,4845.86,192.992,52.2677,963.288,9560.73,1,466,3600,375
005,33558,2158,8.04596,869.47,744,164.43,1,268,7982.39,171.088,49.8331,1285.17,9835.11,1,469,3600,446
006,83277,4414,7.89359,1414.16,910,693.785,1,1046,119290,930.112,523.031,2317.31,95302.9,1,425,3600,-1
007,71397,4130,7.80358,1365.29,757,762.86,1,1252,223077,835.479,408.313,3226.24,103004,1,432,3600,-1
008,15995,1987,7.86102,400.125,150,328.014,1,516,35718.9,217.332,91.6491,1077.6,6067.14,1,435,3600,-1
008,25827,2025,8.20014,649.096,476,221.145,1,370,16863.8,180.182,75.3433,359.868,3244.82,1,468,3600,150
008,40317,2728,7.94864,1038.07,589,479.2,1,916,153914,241.38,99.3696,741.531,7754.08,1,440,3600,476
009,20673,1830,7.9701,552.409,390,233.963,1,344,14416.4,173.098,54.2265,492.56,4084.28,1,452,3600,-1
009,22989,2265,8.01763,613.787,407,276.376,1,433,23878.4,202.84,77.1775,985.369,9400.72,1,483,3600,390
009,30572,2441,8.03286,820.355,606,253.553,1,449,19354.9,207.914,79.644,544.835,4796.69,1,455,3600,407
010,18577,1859,8.04953,489.331,350,180.1,1,294,9134.38,165.243,55.4275,1652.48,15523.2,1,461,3600,-1
010,21725,2071,8.09269,568.836,379,260.534,1,400,17594,188.955,82.1376,810.683,5531.21,1,473,3600,350
010,24342,1938,7.88599,640.837,436,245.686,1,433,28878.8,188.596,66.6117,790.682,7990.19,1,425,3600,379
010,37481,2325,7.95078,989.676,744,282.102,1,513,43974.4,199.366,79.056,696.304,6093.96,1,432,3600,436
