generation,fitness,source_node,dest_node,steps,rep
1000,2.07692,0,1,22,001
2000,2.71329,0,1,35,001
3000,3.59441,0,1,53,001
4000,4.18182,0,1,65,001
5000,4.86713,0,1,79,001
6000,5.65035,0,1,95,001
7000,6.38462,0,1,110,001
8000,7.11888,0,1,125,001
9000,7.8042,0,1,139,001
10000,8.58741,0,1,155,001
11000,9.41958,0,1,172,001
12000,10.1538,0,1,187,001
13000,10.8881,0,1,202,001
14000,11.5245,0,1,215,001
15000,12.2098,0,1,229,001
16000,13.0909,0,1,247,001
17000,13.7762,0,1,261,001
18000,14.2168,0,1,270,001
19000,15.049,0,1,287,001
20000,15.7832,0,1,302,001
21000,16.5175,0,1,317,001
22000,17.4476,0,1,336,001
23000,18.1818,0,1,351,001
24000,18.8671,0,1,365,001
25000,19.7483,0,1,383,001
26000,20.2378,0,1,393,001
27000,20.9231,0,1,407,001
28000,21.8531,0,1,426,001
29000,22.5385,0,1,440,001
30000,23.028,0,1,450,001
31000,23.8112,0,1,466,001
32000,24.7413,0,1,485,001
33000,25.2797,0,1,496,001
34000,25.8671,0,1,508,001
35000,26.6014,0,1,523,001
36000,27.3357,0,1,538,001
37000,28.3636,0,1,559,001
38000,29.1958,0,1,576,001
39000,29.8811,0,1,590,001
40000,30.6154,0,1,605,001
41000,31.2028,0,1,617,001
42000,31.9371,0,1,632,001
43000,32.7692,0,1,649,001
44000,33.5035,0,1,664,001
45000,34.2378,0,1,679,001
46000,34.7762,0,1,690,001
47000,35.7552,0,1,710,001
48000,36.2937,0,1,721,001
49000,36.9301,0,1,734,001
50000,37.4196,0,1,744,001
51000,38.3007,0,1,762,001
52000,38.9371,0,1,775,001
53000,39.6224,0,1,789,001
54000,40.6014,0,1,809,001
55000,41.3357,0,1,824,001
56000,41.7273,0,1,832,001
57000,42.4615,0,1,847,001
58000,43.1469,0,1,861,001
59000,43.8322,0,1,875,001
60000,44.5175,0,1,889,001
61000,45.2028,0,1,903,001
62000,45.8881,0,1,917,001
63000,46.6224,0,1,932,001
64000,47.3566,0,1,947,001
65000,48.0909,0,1,962,001
66000,48.7273,0,1,975,001
67000,49.2657,0,1,986,001
68000,49.9021,0,1,999,001
69000,50,1,1,0,001
70000,50,1,1,0,001
71000,50,1,1,0,001
72000,50,1,1,0,001
73000,50,1,1,0,001
74000,50,1,1,0,001
75000,50,1,1,0,001
76000,50,1,1,0,001
77000,50,1,1,0,001
78000,50,1,1,0,001
79000,50,1,1,0,001
80000,50,1,1,0,001
81000,50,1,1,0,001
82000,50,1,1,0,001
83000,50,1,1,0,001
84000,50,1,1,0,001
85000,50,1,1,0,001
86000,50,1,1,0,001
87000,50,1,1,0,001
88000,50,1,1,0,001
89000,50,1,1,0,001
90000,50,1,1,0,001
91000,50,1,1,0,001
92000,50,1,1,0,001
93000,50,1,1,0,001
94000,50,1,1,0,001
95000,50,1,1,0,001
96000,50,1,1,0,001
97000,50,1,1,0,001
98000,50,1,1,0,001
99000,50,1,1,0,001
100000,50,1,1,0,001
1000,2.12587,0,1,23,002
2000,2.81119,0,1,37,002
3000,3.64336,0,1,54,002
4000,4.27972,0,1,67,002
5000,4.91608,0,1,80,002
6000,5.6014,0,1,94,002
7000,6.13986,0,1,105,002
8000,6.87413,0,1,120,002
9000,7.60839,0,1,135,002
10000,8.34266,0,1,150,002
11000,9.17483,0,1,167,002
12000,9.76224,0,1,179,002
13000,10.3497,0,1,191,002
14000,11.0839,0,1,206,002
15000,11.8671,0,1,222,002
16000,12.5035,0,1,235,002
17000,13.042,0,1,246,002
18000,13.7273,0,1,260,002
19000,14.6084,0,1,278,002
20000,15.2937,0,1,292,002
21000,15.9301,0,1,305,002
22000,16.4685,0,1,316,002
23000,17.2028,0,1,331,002
24000,17.9371,0,1,346,002
25000,18.7692,0,1,363,002
26000,19.4056,0,1,376,002
27000,20.1888,0,1,392,002
28000,20.972,0,1,408,002
29000,21.8531,0,1,426,002
30000,22.5874,0,1,441,002
31000,23.028,0,1,450,002
32000,23.8112,0,1,466,002
33000,24.3497,0,1,477,002
34000,24.986,0,1,490,002
35000,25.9161,0,1,509,002
36000,26.6014,0,1,523,002
37000,27.2378,0,1,536,002
38000,27.9231,0,1,550,002
39000,28.6084,0,1,564,002
40000,29.3916,0,1,580,002
41000,30.5175,0,1,603,002
42000,31.2517,0,1,618,002
43000,31.8881,0,1,631,002
44000,32.4266,0,1,642,002
45000,33.2098,0,1,658,002
46000,33.8462,0,1,671,002
47000,34.4825,0,1,684,002
48000,35.2657,0,1,700,002
49000,35.8042,0,1,711,002
50000,36.4895,0,1,725,002
51000,37.2727,0,1,741,002
52000,37.8601,0,1,753,002
53000,38.4476,0,1,765,002
54000,39.2797,0,1,782,002
55000,39.8671,0,1,794,002
56000,40.5524,0,1,808,002
57000,41.4825,0,1,827,002
58000,42.4126,0,1,846,002
59000,43.049,0,1,859,002
60000,43.4895,0,1,868,002
61000,44.3706,0,1,886,002
62000,45.0559,0,1,900,002
63000,45.7413,0,1,914,002
64000,46.6713,0,1,933,002
65000,47.3566,0,1,947,002
66000,47.8462,0,1,957,002
67000,48.6294,0,1,973,002
68000,49.3636,0,1,988,002
69000,50,1,1,0,002
70000,50,1,1,0,002
71000,50,1,1,0,002
72000,50,1,1,0,002
73000,50,1,1,0,002
74000,50,1,1,0,002
75000,50,1,1,0,002
76000,50,1,1,0,002
77000,50,1,1,0,002
78000,50,1,1,0,002
79000,50,1,1,0,002
80000,50,1,1,0,002
81000,50,1,1,0,002
82000,50,1,1,0,002
83000,50,1,1,0,002
84000,50,1,1,0,002
85000,50,1,1,0,002
86000,50,1,1,0,002
87000,50,1,1,0,002
88000,50,1,1,0,002
89000,50,1,1,0,002
90000,50,1,1,0,002
91000,50,1,1,0,002
92000,50,1,1,0,002
93000,50,1,1,0,002
94000,50,1,1,0,002
95000,50,1,1,0,002
96000,50,1,1,0,002
97000,50,1,1,0,002
98000,50,1,1,0,002
99000,50,1,1,0,002
100000,50,1,1,0,002
1000,2.07692,0,1,22,003
2000,2.71329,0,1,35,003
3000,3.3986,0,1,49,003
4000,4.32867,0,1,68,003
5000,5.01399,0,1,82,003
6000,5.65035,0,1,95,003
7000,6.28671,0,1,108,003
8000,6.97203,0,1,122,003
9000,7.65734,0,1,136,003
10000,8.34266,0,1,150,003
11000,8.88112,0,1,161,003
12000,9.76224,0,1,179,003
13000,10.3986,0,1,192,003
14000,10.986,0,1,204,003
15000,11.6224,0,1,217,003
16000,12.5524,0,1,236,003
17000,13.4825,0,1,255,003
18000,14.1189,0,1,268,003
19000,14.951,0,1,285,003
20000,15.6853,0,1,300,003
21000,16.5664,0,1,318,003
22000,17.3007,0,1,333,003
23000,18.1818,0,1,351,003
24000,18.9161,0,1,366,003
25000,19.5524,0,1,379,003
26000,20.2378,0,1,393,003
27000,20.8252,0,1,405,003
28000,21.4615,0,1,418,003
29000,22.2937,0,1,435,003
30000,22.979,0,1,449,003
31000,23.7133,0,1,464,003
32000,24.3497,0,1,477,003
33000,25.1818,0,1,494,003
34000,25.8182,0,1,507,003
35000,26.5524,0,1,522,003
36000,27.042,0,1,532,003
37000,27.9231,0,1,550,003
38000,28.5105,0,1,562,003
39000,29.1469,0,1,575,003
40000,29.8811,0,1,590,003
41000,30.4685,0,1,602,003
42000,31.1538,0,1,616,003
43000,31.8881,0,1,631,003
44000,32.7203,0,1,648,003
45000,33.4545,0,1,663,003
46000,34.0909,0,1,676,003
47000,34.9231,0,1,693,003
48000,35.6084,0,1,707,003
49000,36.1958,0,1,719,003
50000,36.9301,0,1,734,003
51000,37.6643,0,1,749,003
52000,38.3007,0,1,762,003
53000,39.1329,0,1,779,003
54000,39.8182,0,1,793,003
55000,40.4056,0,1,805,003
56000,40.993,0,1,817,003
57000,41.8741,0,1,835,003
58000,42.4126,0,1,846,003
59000,43.1469,0,1,861,003
60000,43.9301,0,1,877,003
61000,44.5664,0,1,890,003
62000,45.3007,0,1,905,003
63000,46.0839,0,1,921,003
64000,46.7692,0,1,935,003
65000,47.3566,0,1,947,003
66000,47.993,0,1,960,003
67000,48.5804,0,1,972,003
68000,49.2657,0,1,986,003
69000,50,1,1,0,003
70000,50,1,1,0,003
71000,50,1,1,0,003
72000,50,1,1,0,003
73000,50,1,1,0,003
74000,50,1,1,0,003
75000,50,1,1,0,003
76000,50,1,1,0,003
77000,50,1,1,0,003
78000,50,1,1,0,003
79000,50,1,1,0,003
80000,50,1,1,0,003
81000,50,1,1,0,003
82000,50,1,1,0,003
83000,50,1,1,0,003
84000,50,1,1,0,003
85000,50,1,1,0,003
86000,50,1,1,0,003
87000,50,1,1,0,003
88000,50,1,1,0,003
89000,50,1,1,0,003
90000,50,1,1,0,003
91000,50,1,1,0,003
92000,50,1,1,0,003
93000,50,1,1,0,003
94000,50,1,1,0,003
95000,50,1,1,0,003
96000,50,1,1,0,003
97000,50,1,1,0,003
98000,50,1,1,0,003
99000,50,1,1,0,003
100000,50,1,1,0,003
1000,2.17483,0,1,24,004
2000,2.86014,0,1,38,004
3000,3.44755,0,1,50,004
4000,4.18182,0,1,65,004
5000,4.76923,0,1,77,004
6000,5.6993,0,1,96,004
7000,6.58042,0,1,114,004
8000,7.06993,0,1,124,004
9000,7.60839,0,1,135,004
10000,8.48951,0,1,153,004
11000,9.02797,0,1,164,004
12000,9.71329,0,1,178,004
13000,10.3007,0,1,190,004
14000,11.1329,0,1,207,004
15000,11.8182,0,1,221,004
16000,12.4056,0,1,233,004
17000,12.993,0,1,245,004
18000,13.8741,0,1,263,004
19000,14.5594,0,1,277,004
20000,15.2937,0,1,292,004
21000,15.979,0,1,306,004
22000,16.7133,0,1,321,004
23000,17.4476,0,1,336,004
24000,18.2797,0,1,353,004
25000,18.965,0,1,367,004
26000,19.6993,0,1,382,004
27000,20.4825,0,1,398,004
28000,21.0699,0,1,410,004
29000,22.049,0,1,430,004
30000,22.6364,0,1,442,004
31000,23.4196,0,1,458,004
32000,24.0559,0,1,471,004
33000,24.6923,0,1,484,004
34000,25.5734,0,1,502,004
35000,26.2098,0,1,515,004
36000,26.9441,0,1,530,004
37000,27.5315,0,1,542,004
38000,28.4615,0,1,561,004
39000,29.1469,0,1,575,004
40000,30.2238,0,1,597,004
41000,30.6154,0,1,605,004
42000,31.2517,0,1,618,004
43000,31.7902,0,1,629,004
44000,32.5245,0,1,644,004
45000,33.1119,0,1,656,004
46000,33.7483,0,1,669,004
47000,34.4336,0,1,683,004
48000,35.0699,0,1,696,004
49000,35.8042,0,1,711,004
50000,36.5874,0,1,727,004
51000,37.2238,0,1,740,004
52000,37.8112,0,1,752,004
53000,38.5455,0,1,767,004
54000,39.1329,0,1,779,004
55000,39.9161,0,1,795,004
56000,40.6014,0,1,809,004
57000,41.2867,0,1,823,004
58000,41.972,0,1,837,004
59000,42.6084,0,1,850,004
60000,43.2448,0,1,863,004
61000,43.9301,0,1,877,004
62000,44.5664,0,1,890,004
63000,45.3007,0,1,905,004
64000,46.1329,0,1,922,004
65000,46.7692,0,1,935,004
66000,47.4545,0,1,949,004
67000,48.1399,0,1,963,004
68000,49.021,0,1,981,004
69000,49.6573,0,1,994,004
70000,50,1,1,0,004
71000,50,1,1,0,004
72000,50,1,1,0,004
73000,50,1,1,0,004
74000,50,1,1,0,004
75000,50,1,1,0,004
76000,50,1,1,0,004
77000,50,1,1,0,004
78000,50,1,1,0,004
79000,50,1,1,0,004
80000,50,1,1,0,004
81000,50,1,1,0,004
82000,50,1,1,0,004
83000,50,1,1,0,004
84000,50,1,1,0,004
85000,50,1,1,0,004
86000,50,1,1,0,004
87000,50,1,1,0,004
88000,50,1,1,0,004
89000,50,1,1,0,004
90000,50,1,1,0,004
91000,50,1,1,0,004
92000,50,1,1,0,004
93000,50,1,1,0,004
94000,50,1,1,0,004
95000,50,1,1,0,004
96000,50,1,1,0,004
97000,50,1,1,0,004
98000,50,1,1,0,004
99000,50,1,1,0,004
100000,50,1,1,0,004
1000,2.12587,0,1,23,005
