rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,100,1020,8.92644,1.53444,-1,2.10299,1,8,1.63251,-1,-1,-1,0,255,670,3600
001,200,1278,8.91984,3.14722,-1,3.10565,1,11,4.15465,-1,-1,-1,0,184,674,3600
001,300,1418,8.93142,4.625,-1,3.98068,1,18,8.47562,-1,-1,-1,0,142,664,3600
001,400,1620,8.90633,6.26194,-1,5.36535,1,22,15.8699,-1,-1,-1,0,124,658,3600
001,500,1717,8.94959,7.97306,-1,6.19301,1,23,22.9316,-1,-1,-1,0,105,667,3600
001,600,1717,8.842,9.79389,-1,7.51256,1,30,35.0565,-1,-1,-1,0,85,624,3600
001,700,1847,8.89756,11.7636,-1,9.49256,1,34,58.4688,-1,-1,-1,0,74,654,3600
001,800,2002,8.92106,13.6578,-1,11.2538,1,40,73.1675,-1,-1,-1,0,67,667,3600
001,900,2037,8.82814,15.5747,-1,12.7003,1,41,80.0764,-1,-1,-1,0,57,629,3600
001,1000,2190,8.93474,17.1911,-1,13.8931,1,44,88.1404,-1,-1,-1,0,55,674,3600
001,1100,2212,8.87184,18.9536,-1,14.7565,1,46,102.849,-1,-1,-1,0,49,653,3600
001,1200,2254,8.89233,20.7792,-1,16.0739,1,51,118.975,-1,-1,-1,0,46,650,3600
001,1300,2280,8.91643,22.4603,-1,17.4746,1,51,142.403,-1,-1,-1,0,40,657,3600
001,1400,2351,8.85912,24.4553,-1,18.7712,1,55,161.383,-1,-1,-1,0,38,662,3600
001,1500,2414,8.95221,26.1842,-1,20.9401,1,59,205.717,-1,-1,-1,0,35,680,3600
001,1600,2365,8.82928,28.005,-1,21.4279,1,61,232.108,-1,-1,-1,0,33,622,3600
001,1700,2562,8.8796,29.8078,-1,24.2459,1,68,282.521,-1,-1,-1,0,33,650,3600
001,1800,2626,8.8844,31.5483,-1,25.6562,1,71,311.425,-1,-1,-1,0,31,671,3600
001,1900,2702,8.87579,33.4422,-1,26.707,1,73,354.894,-1,-1,-1,0,31,641,3600
001,2000,2678,8.93567,35.0475,-1,26.3201,1,77,389.495,-1,-1,-1,0,28,678,3600
001,2100,2609,8.90099,36.9561,-1,27.5738,1,79,431.977,-1,-1,-1,0,27,646,3600
001,2200,2715,8.91002,39.1175,-1,28.2769,1,85,446.405,-1,-1,-1,0,27,667,3600
001,2300,2653,8.91724,41.1753,-1,30.6349,1,88,509.877,-1,-1,-1,0,25,663,3600
001,2400,2615,8.89682,43.2494,-1,31.3204,1,90,516.58,-1,-1,-1,0,23,644,3600
001,2500,2710,8.88631,44.8172,-1,33.2139,1,94,559.68,-1,-1,-1,0,23,655,3600
001,2600,2848,8.96635,46.65,-1,34.5237,1,96,608.831,-1,-1,-1,0,23,670,3600
001,2700,2896,8.87219,48.4383,-1,34.8788,1,101,544.047,-1,-1,-1,0,22,652,3600
001,2800,2802,8.89982,50.4508,-1,38.493,1,106,721.68,-1,-1,-1,0,20,657,3600
001,2900,2913,8.88961,52.0703,-1,40.5119,1,112,775.373,-1,-1,-1,0,19,671,3600
001,3000,2983,8.92258,53.8972,-1,42.0559,1,115,868.073,-1,-1,-1,0,19,654,3600
001,3100,2992,8.89181,55.7214,-1,45.6515,1,119,1002.65,-1,-1,-1,0,19,654,3600
001,3200,3072,8.89337,57.5767,-1,47.2717,1,126,1102.59,-1,-1,-1,0,19,655,3600
001,3300,3023,8.83082,59.3664,-1,47.7716,1,127,1161.46,-1,-1,-1,0,18,630,3600
001,3400,3104,8.87158,60.8961,-1,45.9496,1,129,1108.87,-1,-1,-1,0,18,650,3600
001,3500,3077,8.83924,62.655,-1,48.396,1,126,1243.05,-1,-1,-1,0,17,631,3600
001,3600,3042,8.82398,64.3031,-1,48.7248,1,128,1346.53,-1,-1,-1,0,17,631,3600
001,3700,3097,8.92782,66.0489,-1,49.7851,1,133,1340.46,-1,-1,-1,0,17,667,3600
001,3800,3125,8.88979,67.5775,-1,52.9196,1,137,1566.96,-1,-1,-1,0,17,643,3600
001,3900,3235,8.86478,69.4878,-1,56.6385,1,140,1681.28,-1,-1,-1,0,17,657,3600
