rep,"Generation","phylogenetic_diversity","diversity","ave_depth","mrca_depth","mean_pairwise_distance","min_pairwise_distance","max_pairwise_distance","variance_pairwise_distance","mean_evolutionary_distinctiveness","min_evolutionary_distinctiveness","max_evolutionary_distinctiveness","variance_evolutionary_distinctiveness","num_roots","num_active_taxa","num_total_orgs","prev_mrca_depth"
001,3046,523,6.98807,26.3747,10,25.6115,1,47,128.174,373.69,14.3654,1543.46,46943.1,1,298,3600,-1
001,5426,470,6.63421,40.0564,17,27.1865,1,61,215.884,388.448,32.9028,1413.89,82755.5,1,282,3600,10
001,5627,478,6.87944,42.4972,28,21.867,1,51,109.122,312.034,17.068,1171.89,60649.5,1,309,3600,17
001,9198,616,7.08115,89.8803,58,39.6683,1,85,610.009,368.276,26.9343,1366.51,63488.6,1,320,3600,28
001,12878,609,6.94314,122.22,89,40.3397,1,83,693.337,381.894,22.7579,1671.64,76361,1,312,3600,58
001,16280,704,6.86991,155.203,131,30.6867,1,58,216.285,336.984,25.366,1308.49,75445.4,1,347,3600,89
001,18107,670,6.91473,180.883,161,23.9475,1,54,198.85,347.002,12.4163,1550.17,54372.7,1,306,3600,131
001,18640,645,6.79712,188.549,176,20.9216,1,44,79.7554,327.55,12,1389.6,63450.4,1,305,3600,161
001,20670,717,6.9292,220.6,197,31.2602,1,59,274.292,330.335,15.3015,1262.89,52692.7,1,327,3600,176
001,23484,753,6.94605,253.307,210,51.4356,1,99,1389.61,312.086,26.1426,1005.48,36437.4,1,320,3600,197
001,28727,818,7.06756,281.876,263,28.7322,1,56,203.58,412.898,22.4221,1482.38,79773.5,1,318,3600,210
001,32594,822,6.97092,312.308,301,20.0846,1,41,63.2934,488.951,0,2193,135940,1,287,3600,263
001,35413,838,6.93142,330.598,313,26.3767,1,51,147.532,308.869,25.9592,1483.35,61147.5,1,327,3600,301
001,38901,864,6.66345,366.418,337,32.1083,1,78,471.663,372.4,18.1092,1520.64,93285.2,1,306,3600,313
001,39198,828,6.79664,368.627,350,25.2734,1,53,201.546,304.257,10.955,1096.95,50990.6,1,314,3600,337
001,40420,820,6.61368,383.273,356,36.5663,1,75,635.489,362.089,17.9467,1533.92,74172.9,1,276,3600,350
001,42802,875,6.36585,407.218,394,19.9225,1,40,85.0097,379.839,16.4507,1150.37,77747.9,1,309,3600,356
001,44986,896,6.94151,432.597,409,28.6257,1,60,358.26,287.564,20.4311,1113.51,37905.5,1,325,3600,394
001,45987,906,6.88652,445.373,426,22.9088,1,50,111.142,288.661,15.8851,2083,70464,1,313,3600,409
001,45988,888,6.86282,445.361,430,23.0561,1,44,112.23,266.108,13.3952,1470.3,52424.8,1,316,3600,426
001,46429,913,6.90852,452.421,435,22.1507,1,46,114.758,279.874,8.06091,954.964,43343.5,1,325,3600,430
001,46819,901,6.61858,457.311,437,23.1175,1,53,129.47,375.442,8.25639,1203.69,70862.4,1,304,3600,435
001,47119,912,6.69391,461.635,445,24.6148,1,50,129.116,359.581,7.81407,1502.27,96289.5,1,305,3600,437
001,48950,991,6.83487,480.329,468,20.8007,1,40,67.8286,504.916,22.6386,1681.12,123340,1,320,3600,445
