rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,136,296,5.84105,6.965,3,4.5758,1,12,2.45977,47.4706,0.363636,100,464.853,1,279,3600,-1
001,171,343,6.66216,8.76028,5,6.76741,1,14,5.06099,52.2,0.475207,115,786.754,1,307,3600,3
001,256,367,5.76343,14.6536,6,8.64219,1,23,16.2033,52.5635,1.11902,193,830.887,1,305,3600,5
001,293,348,6.41414,17.0142,10,7.53202,1,20,12.7443,50.7401,1.01473,157,825.392,1,302,3600,6
001,332,354,6.5149,19.6528,14,9.13368,1,18,14.0388,47.6631,0.88,131.174,585.459,1,307,3600,10
001,437,412,6.41724,24.9425,15,8.37336,1,24,13.2683,55.7499,0.885769,189.8,960.935,1,311,3600,14
001,532,388,6.74658,30.6989,21,8.97582,1,25,27.1404,52.9561,0.931088,169.258,750.557,1,321,3600,15
001,567,393,6.68924,32.8244,26,8.0343,1,19,10.8567,49.7443,0.612008,142.076,779.354,1,330,3600,21
001,627,394,6.40932,35.5667,29,9.61001,1,22,12.8649,59.0537,1.70852,160.099,854.843,1,309,3600,26
001,647,380,6.49334,36.8969,30,10.7643,1,22,22.2271,58.1359,1.41689,180.011,1148.02,1,292,3600,29
001,757,411,6.19077,44.1817,35,12.9424,1,25,42.6376,47.5883,1.29823,129.208,627.565,1,312,3600,30
001,832,335,6.00754,50.2425,42,6.46632,1,19,9.43823,47.255,0.614445,100.196,537.464,1,265,3600,35
001,848,388,6.0987,52.0714,45,6.71643,1,18,11.1952,43.7139,0.52093,113.086,556.674,1,306,3600,42
001,882,365,6.35947,54.015,47,7.20683,1,20,18.2042,48.9281,0.571984,120.105,472.637,1,291,3600,45
001,1039,433,6.91877,61.1247,52,12.1393,1,24,35.3033,56.3023,1.31902,216.106,1009.72,1,308,3600,47
001,1055,420,6.81603,61.8153,53,12.3644,1,27,41.1894,59.5194,1.28723,176.5,1046.09,1,315,3600,52
001,1206,407,6.33922,70.3769,63,11.6111,1,23,23.3996,55.9846,1.4258,149.939,787.736,1,288,3600,53
001,1387,426,6.47332,83.4553,79,6.81608,1,15,5.45034,52.7658,0.398714,114.032,626.23,1,317,3600,63
001,1459,464,6.56839,87.4358,80,10.8438,1,22,27.4536,52.1772,1.01521,168.093,809.095,1,325,3600,79
001,1859,485,6.77026,109.511,99,8.19564,1,28,27.1803,56.7754,0.903627,219.135,1063.98,1,305,3600,80
001,1897,468,6.63685,110.957,106,8.84921,1,18,9.58222,54.4047,1.68976,174,900.992,1,311,3600,99
001,2138,497,6.76576,123.455,110,9.61543,1,31,49.2798,55.7629,1.12458,183.046,810.682,1,309,3600,106
001,2201,506,6.71405,126.124,114,9.97741,1,28,15.2719,61.4219,2.25504,136.853,986.627,1,331,3600,110
001,2222,489,6.60994,127.334,121,11.2809,1,20,15.5473,56.9706,2.37055,157.44,1012.93,1,313,3600,114
001,2588,534,6.80701,144.357,134,13.8193,1,27,41.3309,60.318,2.61947,274.038,1012.11,1,328,3600,121
001,2904,496,5.98804,162.008,152,6.64081,1,26,20.9097,56.1253,0.820871,191.583,691.685,1,289,3600,134
001,2967,520,6.65249,165.183,160,8.98718,1,18,8.53885,58.1791,1.62719,156,935.039,1,300,3600,152
001,3168,523,5.3327,176.841,168,8.23684,1,24,24.5075,61.4081,1.12057,152.228,922.369,1,294,3600,160
001,3196,509,5.74362,177.916,170,5.35675,1,20,8.19436,61.8346,0.814374,221,1064.9,1,291,3600,168
001,3221,521,6.51234,178.985,173,6.46777,1,17,7.26479,59.2701,0.630662,176.278,957.348,1,305,3600,170
001,3265,534,6.24904,182.039,176,9.80073,1,17,10.3733,52.5242,2.61776,187,866.846,1,306,3600,173
001,3300,541,6.38339,183.989,177,10.919,1,23,25.3918,53.986,1.12571,197,787.042,1,305,3600,176
001,3408,526,6.33352,190.199,182,10.2884,1,21,22.5259,54.0309,2.32842,179.667,795.178,1,284,3600,177
001,3425,557,6.3508,191.088,183,11.1065,1,24,31.8383,54.0323,1.47562,165.744,753.335,1,309,3600,182
001,3954,593,6.04569,218.733,211,7.94604,1,21,21.8446,51.1318,0.641445,163,651.546,1,327,3600,183
001,4012,545,6.2177,221.846,214,7.83333,1,16,10.7618,56.9436,0.858914,184,861.357,1,289,3600,211
001,4013,545,6.25042,221.876,217,7.88973,1,17,10.9444,56.0661,0.693878,136,717.312,1,295,3600,214
001,4135,604,6.84523,227.344,219,12.0149,1,25,33.6618,54.8079,1.28465,164.417,864.939,1,329,3600,217
001,4229,596,6.52168,232.434,226,8.6949,1,18,12.829,52.1651,0.986709,144.119,765.226,1,321,3600,219
001,4329,613,6.83335,237.174,231,6.4181,1,18,8.98684,61.7053,0.555835,155.513,869.443,1,333,3600,226
001,4387,618,6.82105,239.938,235,9.64702,1,19,7.80251,57.2145,2.73284,176,1100.75,1,316,3600,231
001,4656,621,6.20974,255.221,244,14.9202,1,31,48.9729,56.4112,1.95766,186.408,850.794,1,303,3600,235
001,4767,564,6.217,261.894,256,5.95151,1,15,6.38502,59.2722,0.619403,146.075,977.665,1,271,3600,244
001,4772,580,6.17959,262.19,257,5.98745,1,17,6.70639,59.6864,0,139.046,857.845,1,285,3600,256
001,4805,544,5.91378,263.363,258,6.24793,1,17,7.54201,59.577,0.685259,151.084,868.364,1,257,3600,257
001,4851,630,6.46084,265.379,260,8.17909,1,20,16.3438,63.1399,0.890406,197,1172.62,1,309,3600,258
001,4927,596,6.16104,271.636,263,4.79543,1,20,3.83512,46.5483,0.646948,130.203,413.882,1,297,3600,260
001,4934,580,6.32737,271.801,266,4.66754,1,11,1.98238,51.755,0.477352,137,496.688,1,288,3600,263
001,4942,616,6.52398,272.107,268,5.11642,1,11,2.23201,49.5771,0,106,522.478,1,319,3600,266
001,4989,634,6.77956,273.884,270,7.82053,1,15,4.72613,57.4783,1.79467,141,835.83,1,307,3600,268
001,5180,667,6.76256,283.101,277,9.45562,1,21,11.3455,60.4879,1.084,191,1065.53,1,327,3600,270
001,5226,670,6.55901,285.734,278,10.2194,1,22,26.7691,58.0502,1.02294,168.455,844.02,1,323,3600,277
001,5362,655,6.35433,292.779,283,7.62796,1,25,17.3303,57.1008,0.863531,228.065,971.261,1,311,3600,278
001,5379,644,6.52012,293.855,285,7.86319,1,22,11.0344,52.7491,0.75082,170.333,834.525,1,314,3600,283
001,5424,630,5.97778,297.397,290,8.68719,1,20,21.2175,51.29,0.864175,178,760.91,1,294,3600,285
001,5484,647,6.68029,300.916,292,8.23532,1,19,10.2749,51.9914,1.17112,209,781.936,1,309,3600,290
001,5512,693,6.91427,302.66,296,10.1099,1,21,15.2805,47.5587,1.02679,134.195,653.947,1,341,3600,292
001,5641,674,5.83029,311.868,306,8.04555,1,16,10.9976,47.8803,0.551587,139,706.302,1,328,3600,296
001,5703,660,6.4888,315.546,308,5.80032,1,20,5.4604,52.3132,0.56468,121.25,703.405,1,309,3600,306
001,5714,664,6.70513,316.217,312,6.28588,1,15,5.08984,52.7214,0.396104,122,802.125,1,310,3600,308
001,5719,657,6.78973,316.615,313,6.26406,1,14,4.62738,52.5967,0,123,760.682,1,305,3600,312
001,5813,645,6.24566,321.555,314,11.7665,1,21,28.8329,52.4191,1.59217,194.022,849.995,1,284,3600,313
001,6031,714,6.34386,334.67,326,10.1138,1,20,14.2215,53.4175,1.50633,168.129,879.381,1,319,3600,314
001,6037,703,6.18065,335.007,327,10.4796,1,22,16.0762,52.5446,1.75614,174.077,797.945,1,311,3600,326
001,6067,694,6.01222,336.558,329,12.128,1,22,28.2546,55.7806,1.69487,158.511,706.235,1,307,3600,327
001,6223,739,6.84138,344.215,330,12.9081,1,35,60.5735,55.951,2.05118,170.844,1051.06,1,322,3600,329
001,6314,744,6.56658,349.481,339,9.06818,1,24,24.3433,54.8463,0.885872,139.667,842.755,1,337,3600,330
001,6326,724,6.29453,350.245,340,8.10786,1,26,23.128,58.059,1.01534,138.368,746.616,1,316,3600,339
001,6356,653,5.60096,353.051,345,6.65862,1,18,6.46085,50.7653,0.795565,167,840.298,1,268,3600,340
001,6358,667,5.64967,353.189,346,6.5666,1,18,6.67299,49.2692,0.691538,164,671.533,1,287,3600,345
001,6390,678,6.12895,355.189,349,6.25413,1,18,10.2869,54.7499,0.690706,117.732,570.106,1,292,3600,346
001,6439,708,6.52325,358.244,351,10.2792,1,21,27.0714,53.3296,0.815,135.243,776.431,1,315,3600,349
001,6566,686,6.22459,366.651,359,6.3196,1,18,6.87289,51.1162,0.633948,168,690.638,1,290,3600,351
001,6568,672,6.21321,366.774,360,6.2423,1,17,6.52386,50.6728,0.629441,115.531,613.598,1,282,3600,359
001,6600,688,6.00102,369.071,362,8.45716,1,18,11.7767,52.2084,0.723787,133.096,809.873,1,282,3600,360
001,6610,681,5.87302,370.172,364,9.86355,1,20,19.7206,51.0467,0.888199,136.043,796.313,1,271,3600,362
001,6757,742,6.39649,378.462,372,9.81901,1,20,13.5574,54.9727,0.840969,180,790.139,1,314,3600,364
001,6857,707,6.0296,384.133,375,11.1783,1,24,44.436,54.6415,1.375,190.25,969.001,1,280,3600,372
001,6920,705,5.8205,388.919,383,7.85164,1,17,12.3638,47.9588,0.706175,127.111,657.553,1,283,3600,375
001,6972,749,6.80584,391.604,384,6.61498,1,22,10.7672,50.8991,0.534842,100.201,634.3,1,313,3600,383
001,7162,750,6.55891,402.718,395,7.59971,1,16,8.47071,56.4213,0.948541,188,832.87,1,309,3600,384
001,7167,741,6.60983,402.943,398,7.64824,1,15,8.66514,55.855,0.811352,127.437,716.343,1,306,3600,395
001,7294,776,6.35847,409.618,399,13.368,1,24,31.0112,58.4092,2.34496,154.5,1085.3,1,296,3600,398
001,7319,754,5.98018,411.562,401,12.3777,1,27,53.3956,49.7214,1.31739,191.161,744.194,1,289,3600,399
001,7405,780,6.69549,416.765,410,8.23166,1,16,8.52508,49.7117,0.471642,158,652.104,1,336,3600,401
001,7412,774,6.67412,417.09,412,8.56831,1,16,9.65917,51.8456,0,137,674.048,1,323,3600,410
001,7507,794,6.63163,422.134,414,6.50403,1,25,10.1484,52.5751,0.687788,167.167,852.503,1,336,3600,412
001,7541,769,6.17189,424.339,418,6.99056,1,16,7.90858,52.8961,0.690781,179,708.804,1,314,3600,414
001,7572,791,6.34737,426.011,419,7.52098,1,20,11.6691,50.7673,0.651877,174.032,685.977,1,332,3600,418
001,7613,811,6.90712,427.322,421,7.80372,1,18,9.85297,61.2316,0.866213,131.187,840.04,1,333,3600,419
001,7678,800,6.48546,429.987,423,11.4378,1,20,20.3078,56.4827,1.62623,176.587,982.942,1,320,3600,421
001,7808,800,6.22235,439.641,434,8.21001,1,17,17.1293,47.5456,0.732744,125,595.203,1,337,3600,423
001,7905,763,5.13654,446.025,439,6.80014,1,19,12.3122,52.8148,0.851919,159,696.899,1,277,3600,434
001,7941,747,6.04565,449.723,441,5.67028,1,22,4.60222,42.8851,0.601423,169,576.169,1,282,3600,439
001,7947,726,5.871,450.282,445,5.67799,1,13,3.69602,46.9964,0,111,537.792,1,262,3600,441
001,7961,771,6.21886,451.235,446,6.19456,1,14,4.51397,45.0111,0,116,482.449,1,298,3600,445
001,7987,788,6.21426,452.581,448,6.34734,1,15,5.65778,52.2424,0.398524,108,561.217,1,304,3600,446
001,8067,817,6.49252,457.222,449,7.80054,1,22,16.6613,53.1676,0.693071,145.475,796.607,1,312,3600,448
001,8106,813,6.5463,459.283,451,6.21884,1,17,6.09667,54.6836,0.68825,205,851.523,1,318,3600,449
001,8114,830,6.73206,459.687,454,6.50821,1,16,5.46099,50.8474,0.545486,149.037,715.838,1,342,3600,451
001,8159,819,6.44977,462.308,456,8.25428,1,19,12.1977,51.6192,0.728441,164,873.175,1,313,3600,454
001,8268,804,6.37877,469.587,459,8.17468,1,26,15.1282,45.66,1.07759,147.279,679.676,1,299,3600,456
001,8285,806,6.41945,470.977,464,8.8047,1,21,14.2315,45.9869,0.759457,126,580.053,1,295,3600,459
001,8360,845,6.48618,476.226,466,12.5928,1,27,36.0941,54.3115,1.04063,132.098,765.58,1,309,3600,464
001,8558,861,6.40302,491.879,476,7.2437,1,32,19.5692,59.3068,0.99223,177.324,835.474,1,324,3600,466
001,8565,877,6.47452,492.158,483,6.88817,1,19,11.5968,56.8647,0.625945,184,889.402,1,333,3600,476
001,8568,867,6.39153,492.3,484,6.81196,1,20,11.9195,58.5627,0.627325,141.131,936.347,1,322,3600,483
001,8617,869,6.89712,494.573,486,7.73374,1,21,9.32759,57.6956,0.892448,184.8,1121.25,1,315,3600,484
001,8724,881,6.68383,501.176,491,12.7261,1,28,43.356,50.0292,1.01606,131.488,643.088,1,329,3600,486
001,8896,885,6.07583,510.394,503,10.8454,1,21,23.4971,50.4005,1.04947,189,924.554,1,323,3600,491
001,8952,895,6.7277,513.639,506,5.87392,1,16,4.19404,54.7988,0.567904,183,795.832,1,327,3600,503
001,8955,889,6.71339,513.784,507,6.09011,1,15,3.87764,53.0178,0.530303,152,683.639,1,332,3600,506
001,8974,881,6.59018,514.861,511,7.65354,1,14,5.7392,52.2902,0,126,690.81,1,321,3600,507
001,9345,894,6.72802,532.231,523,13.6365,1,25,35.9949,58.9878,2.85208,156.566,934.634,1,298,3600,511
001,9724,886,6.3557,552.745,544,6.5967,1,19,7.23463,53.3,0.622449,183,668.929,1,295,3600,523
001,9737,888,6.32655,553.667,549,8.00432,1,18,11.7994,50.5365,0,132,717.719,1,297,3600,544
001,9888,895,6.03433,561.155,554,6.80932,1,18,12.138,66.8109,0.857926,165.082,1052.35,1,295,3600,549
001,9890,892,6.08407,561.185,556,6.56922,1,18,11.3897,65.0087,0.746626,157.227,1040.91,1,296,3600,554
001,10014,889,6.2212,569.143,560,5.7717,1,19,5.01613,50.156,0.810788,232,773.275,1,290,3600,556
001,10020,906,6.37689,569.583,564,6.26686,1,15,4.98367,48.5039,0.365696,106.023,585.645,1,312,3600,560
001,10045,932,6.57916,570.99,566,7.60683,1,16,7.42213,52.4103,1.00196,131,628.874,1,323,3600,564
001,10097,946,6.75777,573.504,567,7.32733,1,19,11.0042,61.5977,0.720731,174,919.067,1,307,3600,566
001,10147,941,6.39479,575.956,570,8.70662,1,17,10.5613,58.9618,1.45933,156.105,945.382,1,320,3600,567
001,10207,917,6.44684,579.047,571,9.65376,1,23,24.9003,52.746,0.991379,230,839.66,1,287,3600,570
001,10354,969,6.58187,585.406,576,10.8215,1,26,44.7237,63.1352,1.3461,244.172,1123.22,1,314,3600,571
001,10496,968,6.87086,590.957,581,13.1422,1,23,22.7532,60.4244,3.68712,172,1110.28,1,306,3600,576
001,10530,993,6.71184,592.549,583,15.248,1,25,30.5466,57.6311,2.92789,154.278,846.497,1,330,3600,581
001,10627,1015,6.62388,596.52,584,18.1412,1,31,80.0589,62.273,2.74265,207.077,1317.93,1,308,3600,583
001,10732,972,6.83936,601.681,593,7.82629,1,17,6.37279,53.254,1.87467,250,1106.77,1,325,3600,584
001,10733,982,6.86378,601.763,596,7.94469,1,17,6.63125,51.8106,1.52884,153.085,998.32,1,338,3600,593
001,10821,953,6.48792,607.354,598,9.42041,1,21,16.5913,55.4958,1.2223,149.667,858.826,1,291,3600,596
001,10826,973,6.51525,607.812,599,9.36217,1,22,16.5582,54.8984,0.956808,189.846,810.423,1,313,3600,598
001,10847,912,5.35205,610.023,602,8.67785,1,20,24.6609,51.6744,0.784718,152.271,725.801,1,263,3600,599
001,10905,917,6.25228,613.348,609,5.63209,1,12,3.44108,52.9173,0.442446,117.022,633.428,1,284,3600,602
001,10937,959,6.67295,614.959,610,7.78091,1,15,6.12125,54.7237,0,132.056,722.701,1,306,3600,609
001,10940,981,6.68505,615.088,611,8.12632,1,16,6.51383,54.9477,1.27693,135,827.65,1,321,3600,610
001,11152,947,6.12156,627.187,612,5.64362,1,35,20.5737,52.7751,1.21555,184.25,667.289,1,281,3600,611
001,11167,968,6.42692,627.913,625,5.12167,1,13,3.40974,52.15,0,109,627.504,1,315,3600,612
001,11454,1054,6.21991,646.048,639,11.3945,1,23,20.0411,56.4645,1.57276,170.043,880.288,1,331,3600,625
001,11597,987,6.21839,654.853,649,6.62013,1,17,7.22923,55.7566,0.561644,164,926.246,1,295,3600,639
001,11621,1025,5.96277,656.839,651,8.45845,1,19,12.5154,50.9421,0.481481,134.03,718.127,1,321,3600,649
001,11695,995,5.9048,661.674,652,12.6442,1,28,69.3138,53.1329,1.14917,141.37,731.644,1,302,3600,651
001,11903,1039,6.76605,673.623,667,10.7584,1,20,19.1316,52.0646,1.33958,165.225,839.048,1,327,3600,652
001,12054,1051,6.40948,681.617,672,14.2614,1,27,53.3507,52.1176,1.61586,173.5,851.387,1,321,3600,667
001,12229,1076,6.53727,692.126,686,8.61218,1,17,6.63046,54.6872,2.34527,138.089,753.91,1,331,3600,672
001,12244,1080,6.7108,692.73,687,9.54161,1,19,8.34141,55.7296,2.56262,153.013,864.763,1,326,3600,686
001,12282,1051,6.39524,694.74,688,12.344,1,21,15.5741,57.8826,4.03903,171.282,813.052,1,297,3600,687
001,12454,1018,6.01006,703.805,695,10.8928,1,23,26.8727,54.5818,1.49763,199.135,890.674,1,272,3600,688
001,12497,1022,6.22753,705.906,697,11.955,1,26,49.4608,57.7985,1.44975,185.335,820.384,1,283,3600,695
001,12695,1078,6.77054,717.263,708,11.4937,1,22,21.132,58.4559,1.76159,226,1070.97,1,313,3600,697
001,12734,1065,5.51706,719.635,710,11.4757,1,26,47.8141,53.6982,1.12648,148.412,888.141,1,289,3600,708
001,12812,1083,6.46029,723.381,716,8.00422,1,21,19.5096,53.0171,0.701658,141.667,853.087,1,307,3600,710
001,12880,1067,6.75955,727.117,719,7.08704,1,17,10.8024,53.7654,0.84061,204,724.116,1,301,3600,716
001,12887,1087,6.60152,727.421,721,6.8641,1,18,10.3297,55.2704,0.696128,175.04,750.524,1,319,3600,719
001,12985,1108,6.52219,733.059,725,9.31601,1,23,20.392,50.0858,0.83735,170.053,1001.22,1,314,3600,721
001,13033,1077,6.66317,737.016,731,7.29292,1,16,7.08318,43.6744,0.492835,135,490.22,1,305,3600,725
001,13091,1090,6.08466,740.39,734,10.2461,1,19,19.3968,54.8736,1.17401,129,714.798,1,302,3600,731
001,13286,1132,6.71667,750.66,739,17.8441,1,31,73.0068,55.0418,2.55251,173.879,802.809,1,319,3600,734
001,13483,1090,5.99998,764.241,756,6.89166,1,16,6.75385,52.2689,0.768256,174,680.979,1,290,3600,739
001,13489,1102,6.051,764.572,759,6.83333,1,14,6.54593,52.4226,0.564754,137,701.678,1,297,3600,756
001,13517,1098,6.58901,766,760,7.29805,1,14,7.86525,53.2312,0.785969,155,756.329,1,295,3600,759
001,13566,1130,6.70051,768.35,762,10.582,1,21,14.2879,56.1258,1.65971,177,777.125,1,314,3600,760
001,13931,1118,6.18782,787.629,781,6.91944,1,18,13.3246,56.4071,0.729366,181,822.947,1,293,3600,762
001,13993,1158,6.62583,790.528,785,7.82386,1,17,7.99754,57.4972,0.6595,149.084,893.698,1,318,3600,781
001,14119,1134,5.76253,797.759,787,11.9545,1,24,28.5801,47.921,1.71414,159.731,838.315,1,296,3600,785
001,14133,1112,5.07628,798.84,790,10.3175,1,23,41.0039,51.2074,1.16221,174.166,825.193,1,269,3600,787
001,14182,1104,6.17029,801.288,796,6.20222,1,14,4.41366,51.6501,0.604117,101.145,611.654,1,268,3600,790
001,14206,1126,6.49641,802.437,798,7.12577,1,15,5.73575,56.3408,0.53012,132,970.77,1,285,3600,796
001,14263,1145,6.37229,805.626,799,9.09129,1,20,13.9461,54.5776,0.838821,153.967,921.992,1,305,3600,798
001,14331,1149,6.49686,810.106,802,5.71421,1,22,7.87533,55.8781,0.664234,169.072,710.695,1,297,3600,799
001,14404,1204,6.61127,812.89,806,8.10156,1,17,7.32781,59.619,1.61165,183.028,913.3,1,329,3600,802
001,14413,1194,6.63909,813.221,807,8.53942,1,17,8.58385,61.5459,1.66865,185.023,933.353,1,322,3600,806
001,14447,1212,6.7518,814.681,808,10.4607,1,21,12.5564,54.6041,1.94737,147.869,828.348,1,343,3600,807
001,14518,1220,6.92018,817.772,809,14.4361,1,24,24.7794,54.4356,3.39927,173.977,896.064,1,330,3600,808
001,14625,1197,6.62871,823.723,811,7.87293,1,30,25.1312,53.5586,1.1665,151,815.68,1,329,3600,809
001,14651,1192,6.38827,825.103,818,8.88328,1,21,12.6662,55.6343,1.41482,143.149,818.072,1,326,3600,811
001,14706,1165,6.33237,827.839,820,11.3438,1,25,34.9822,59.4436,1.47464,181.46,934.568,1,285,3600,818
001,14905,1238,7.01973,838.36,826,15.3628,1,32,89.0947,55.0219,1.43209,191.491,831.886,1,330,3600,820
001,15108,1196,5.7695,849.004,837,11.2535,1,30,74.2623,55.2295,1.37186,286,1043.63,1,300,3600,826
001,15234,1223,6.54776,856.311,848,7.89332,1,21,17.8244,56.647,0.807796,127.306,738.279,1,315,3600,837
001,15262,1234,6.58382,857.55,849,7.30192,1,22,11.7064,58.8153,0.723737,216,1010.66,1,320,3600,848
001,15343,1259,6.48498,862.282,854,8.69401,1,22,13.9754,55.5977,0.751706,162.474,824.32,1,341,3600,849
001,15382,1209,5.97812,865.431,858,6.82848,1,17,14.7801,52.0249,0.651724,153.084,618.239,1,309,3600,854
001,15418,1203,6.52257,866.847,859,7.20052,1,19,10.8723,57.4494,0.720551,119.252,783.578,1,305,3600,858
001,15457,1198,6.54077,868.702,862,8.39255,1,20,12.9799,57.2234,0.989393,189,924.597,1,292,3600,859
001,15514,1178,5.30923,873.812,864,4.85839,1,20,9.51942,53.8782,0.971836,215,781.483,1,260,3600,862
001,15515,1166,5.39763,873.817,865,4.64619,1,18,6.93536,53.0385,0.909438,153.5,547.369,1,262,3600,864
001,15537,1186,6.27186,874.477,872,4.94933,1,11,2.93336,56.0208,0.480769,97.0588,680.556,1,288,3600,865
001,15811,1287,6.71908,886.771,873,17.9409,1,34,113.561,63.476,4.35815,160.478,1161.91,1,319,3600,872
001,15980,1226,6.39163,895.755,883,16.0885,1,33,100.742,49.1967,2.09383,234.724,894.577,1,294,3600,873
001,16127,1238,5.75186,904.592,900,4.39237,1,14,3.36791,55.9187,0,126,687.58,1,306,3600,883
001,16166,1294,6.89117,906.013,902,5.69835,1,13,3.23831,57.5163,0.460784,141,791.17,1,335,3600,900
001,16217,1303,6.8139,908.473,904,8.67592,1,17,7.22258,54.1003,1.49107,167,1080.76,1,332,3600,902
001,16477,1262,6.19913,923.037,912,7.0384,1,24,8.59857,50.6081,0.892737,238,1038.54,1,295,3600,904
001,16499,1247,6.28577,924.44,916,6.58706,1,17,6.53622,48.8135,0.816671,189,795.353,1,288,3600,912
001,16521,1269,6.46337,925.578,919,7.10145,1,14,6.7311,47.0745,0.647379,170,624.591,1,310,3600,916
001,16544,1295,6.6685,927.164,921,7.82612,1,17,9.33765,48.9223,0.466743,130.029,718.071,1,333,3600,919
001,16602,1304,6.42032,930.462,922,10.5293,1,22,20.0452,53.8123,0.886624,162.166,793.092,1,311,3600,921
001,16627,1282,6.29042,931.973,923,13.0525,1,26,33.1116,55.2606,1.65331,149.261,797.593,1,302,3600,922
001,16767,1256,5.38105,940.102,932,5.07939,1,17,7.51298,60.0653,0.80921,206,825.977,1,288,3600,923
001,16771,1258,5.28577,940.257,935,4.87299,1,15,6.33434,62.009,0.639941,164,804.909,1,292,3600,932
001,16804,1343,6.88266,942.012,938,5.29803,1,12,3.18157,53.9057,0.367347,126,908.247,1,354,3600,935
001,16838,1334,6.53762,943.874,939,7.62239,1,15,6.62451,56.6591,0.486842,146.007,859.629,1,321,3600,938
001,16891,1307,6.5846,946.425,940,9.89855,1,20,20.9373,55.9329,1.1832,148.5,779.626,1,320,3600,939
001,17002,1290,5.83653,953.938,946,7.92887,1,20,18.6082,53.0244,0.762659,162.535,718.127,1,289,3600,940
001,17060,1320,6.09012,957.186,950,7.64217,1,20,13.2328,55.2889,0.749674,167,801.792,1,313,3600,946
001,17103,1312,6.43792,960.354,952,9.1839,1,22,16.9056,46.7997,1.09913,147.786,660.072,1,311,3600,950
001,17139,1320,6.49551,962.403,955,9.30364,1,21,21.2262,51.117,0.735772,143.535,561.076,1,317,3600,952
001,17319,1347,6.67582,971.056,960,14.9388,1,30,69.1807,57.1237,1.88387,180.671,966.661,1,313,3600,955
001,17739,1344,5.87568,995.036,981,8.8204,1,32,47.0438,52.5414,1.15473,226.296,966.051,1,290,3600,960
001,17764,1332,6.01044,997.471,991,6.14616,1,18,8.81203,45.903,0.484464,99.0932,475.402,1,298,3600,981
001,17784,1315,5.85049,998.52,992,5.26892,1,15,5.82893,52.4177,0.455735,120.455,501.93,1,291,3600,991
001,17807,1323,6.22103,999.517,993,5.05705,1,13,3.4196,55.5144,0.50835,142,685.92,1,301,3600,992
