rep,source_node,dest_node,num_steps,update_discovered
001,39,39,0,96794
001,38,38,0,96394
001,37,37,0,96389
001,36,36,0,96381
001,35,35,0,96371
001,34,34,0,96100
001,33,33,0,96025
001,32,32,0,95993
001,31,31,0,95987
001,30,30,0,81824
001,29,29,0,77247
001,12,12,0,36225
001,11,11,0,36216
001,10,10,0,22471
001,9,9,0,12711
001,8,8,0,12441
001,7,7,0,12427
001,6,6,0,12421
001,5,5,0,12415
001,4,4,0,94
001,3,3,0,10
001,2,2,0,3
001,1,1,0,2
001,0,0,0,1
001,13,13,0,36232
001,14,14,0,36279
001,15,15,0,37711
001,16,16,0,37722
001,17,17,0,37729
001,18,18,0,37737
001,19,19,0,37840
001,20,20,0,48587
001,21,21,0,48597
001,22,22,0,48606
001,23,23,0,48622
001,24,24,0,49120
001,25,25,0,77092
001,26,26,0,77099
001,27,27,0,77105
001,28,28,0,77119
002,40,40,0,93989
002,39,39,0,70678
002,38,38,0,70536
002,37,37,0,70502
002,36,36,0,70494
002,35,35,0,70484
002,34,34,0,61571
002,33,33,0,61474
002,32,32,0,61430
002,31,31,0,61424
002,30,30,0,58718
002,29,29,0,48513
002,12,12,0,31311
002,11,11,0,31300
002,10,10,0,16980
002,9,9,0,16978
002,8,8,0,16487
002,7,7,0,16464
002,6,6,0,16451
002,5,5,0,345
002,4,4,0,77
002,3,3,0,14
002,2,2,0,4
002,1,1,0,2
002,0,0,0,1
002,13,13,0,31321
002,14,14,0,31430
002,15,15,0,40924
002,16,16,0,40932
002,17,17,0,40937
002,18,18,0,40950
002,19,19,0,40998
002,20,20,0,46315
002,21,21,0,46327
002,22,22,0,46333
002,23,23,0,46349
002,24,24,0,46421
002,25,25,0,48020
002,26,26,0,48036
002,27,27,0,48043
002,28,28,0,48071
003,30,30,0,85238
003,29,29,0,72134
003,12,12,0,9810
003,11,11,0,9800
003,10,10,0,6148
003,9,9,0,4203
003,8,8,0,4154
003,7,7,0,4145
003,6,6,0,4140
003,5,5,0,3972
003,4,4,0,30
003,3,3,0,19
003,2,2,0,3
003,1,1,0,2
003,0,0,0,1
003,13,13,0,9847
003,14,14,0,10028
003,15,15,0,25062
003,16,16,0,40849
003,17,17,0,40860
003,18,18,0,40887
003,19,19,0,40981
003,20,20,0,44387
003,21,21,0,44395
003,22,22,0,44403
003,23,23,0,44480
003,24,24,0,44656
003,25,25,0,51933
003,26,26,0,71792
003,27,27,0,71802
003,28,28,0,71803
004,39,39,0,95535
004,38,38,0,95244
004,37,37,0,95225
004,36,36,0,95219
004,35,35,0,76114
004,34,34,0,63211
004,33,33,0,62857
004,32,32,0,62828
004,31,31,0,62816
004,30,30,0,62809
004,29,29,0,60177
004,12,12,0,26012
004,11,11,0,26003
004,10,10,0,25997
004,9,9,0,8385
004,8,8,0,8189
004,7,7,0,8177
004,6,6,0,3800
004,5,5,0,3796
004,4,4,0,141
004,3,3,0,29
004,2,2,0,6
004,1,1,0,2
004,0,0,0,1
004,13,13,0,26039
004,14,14,0,26170
004,15,15,0,41432
004,16,16,0,48195
004,17,17,0,48205
004,18,18,0,48235
004,19,19,0,48262
004,20,20,0,52734
004,21,21,0,52740
004,22,22,0,52751
004,23,23,0,52800
004,24,24,0,53182
004,25,25,0,59841
004,26,26,0,59847
004,27,27,0,59860
004,28,28,0,59875
005,44,44,0,90414
005,43,43,0,89523
005,42,42,0,89506
005,41,41,0,89496
005,40,40,0,58190
005,39,39,0,55709
005,38,38,0,55396
005,37,37,0,55372
005,36,36,0,55369
005,35,35,0,55350
005,34,34,0,41952
005,33,33,0,41732
005,32,32,0,41725
005,31,31,0,41716
005,30,30,0,29078
005,29,29,0,27777
005,12,12,0,5627
005,11,11,0,5619
005,10,10,0,5608
005,9,9,0,1833
005,8,8,0,1826
005,7,7,0,1823
005,6,6,0,1818
005,5,5,0,1812
005,4,4,0,302
005,3,3,0,33
005,2,2,0,4
005,1,1,0,2
005,0,0,0,1
005,13,13,0,5640
005,14,14,0,5935
005,15,15,0,7707
005,16,16,0,18145
005,17,17,0,18155
005,18,18,0,18166
005,19,19,0,18266
005,20,20,0,18605
005,21,21,0,18616
005,22,22,0,18623
005,23,23,0,18635
005,24,24,0,18839
005,25,25,0,27517
005,26,26,0,27522
005,27,27,0,27535
005,28,28,0,27556
006,33,33,0,99817
006,32,32,0,99791
006,31,31,0,99782
006,30,30,0,72187
006,29,29,0,62657
006,12,12,0,29878
006,11,11,0,29869
006,10,10,0,7476
006,9,9,0,1556
006,8,8,0,1438
006,7,7,0,1421
006,6,6,0,1407
006,5,5,0,1400
006,4,4,0,251
006,3,3,0,12
006,2,2,0,4
006,1,1,0,2
006,0,0,0,1
006,13,13,0,29910
006,14,14,0,29923
006,15,15,0,36500
006,16,16,0,47814
006,17,17,0,47825
006,18,18,0,47848
006,19,19,0,48153
006,20,20,0,61998
006,21,21,0,62000
006,22,22,0,62008
006,23,23,0,62020
006,24,24,0,62046
006,25,25,0,62248
006,26,26,0,62257
006,27,27,0,62266
006,28,28,0,62279
007,65,65,0,84738
007,64,64,0,76938
007,63,63,0,76550
007,62,62,0,76535
007,61,61,0,76527
007,60,60,0,72132
007,59,59,0,70564
007,28,28,0,41484
007,27,27,0,41467
007,26,26,0,41453
007,25,25,0,41450
007,24,24,0,40286
007,23,23,0,39873
007,22,22,0,39855
007,21,21,0,39846
007,20,20,0,36642
007,19,19,0,12652
007,18,18,0,12194
007,17,17,0,12186
007,16,16,0,12180
007,15,15,0,12166
007,14,14,0,1484
007,13,13,0,1227
007,0,0,0,1
007,1,1,0,2
007,2,2,0,4
007,3,3,0,26
007,4,4,0,166
007,5,5,0,171
007,6,6,0,180
007,7,7,0,185
007,8,8,0,224
007,9,9,0,930
007,10,10,0,1191
007,11,11,0,1203
007,12,12,0,1210
007,29,29,0,41586
007,30,30,0,45027
007,31,31,0,45576
007,32,32,0,45585
007,33,33,0,45619
007,34,34,0,45734
007,35,35,0,47095
007,36,36,0,47105
007,37,37,0,47113
007,38,38,0,47122
007,39,39,0,47159
007,40,40,0,52493
007,41,41,0,52502
007,42,42,0,52515
007,43,43,0,52526
007,44,44,0,52565
007,45,45,0,55184
007,46,46,0,55185
007,47,47,0,55196
007,48,48,0,55213
007,49,49,0,55262
007,50,50,0,63314
007,51,51,0,63324
007,52,52,0,63334
007,53,53,0,63371
007,54,54,0,63502
007,55,55,0,70342
007,56,56,0,70351
007,57,57,0,70356
007,58,58,0,70383
008,24,24,0,73260
008,23,23,0,72795
008,22,22,0,72735
008,21,21,0,72722
008,20,20,0,72713
008,19,19,0,59495
008,18,18,0,59494
008,17,17,0,59488
008,16,16,0,59477
008,15,15,0,54814
008,14,14,0,38149
008,13,13,0,37488
008,0,0,0,1
008,1,1,0,2
008,2,2,0,3
008,3,3,0,13
008,4,4,0,184
008,5,5,0,2910
008,6,6,0,12337
008,7,7,0,12344
008,8,8,0,12373
008,9,9,0,12980
008,10,10,0,37444
008,11,11,0,37453
008,12,12,0,37457
009,59,59,0,92643
009,28,28,0,57734
009,27,27,0,57698
009,26,26,0,57684
009,25,25,0,57678
009,24,24,0,55557
009,23,23,0,55507
009,22,22,0,55456
009,21,21,0,55453
009,20,20,0,55432
009,19,19,0,35340
009,18,18,0,35032
009,17,17,0,35019
009,16,16,0,35009
009,15,15,0,18516
009,14,14,0,13003
009,13,13,0,13002
009,0,0,0,1
009,1,1,0,2
009,2,2,0,3
009,3,3,0,7
009,4,4,0,145
009,5,5,0,4721
009,6,6,0,5267
009,7,7,0,5271
009,8,8,0,5292
009,9,9,0,5300
009,10,10,0,12963
009,11,11,0,12973
009,12,12,0,12983
009,29,29,0,57969
009,30,30,0,58213
009,31,31,0,58221
009,32,32,0,58230
009,33,33,0,58251
009,34,34,0,58630
009,35,35,0,59017
009,36,36,0,59037
009,37,37,0,59050
009,38,38,0,59091
009,39,39,0,59346
009,40,40,0,59554
009,41,41,0,63318
009,42,42,0,63325
009,43,43,0,63358
009,44,44,0,63484
009,45,45,0,66684
009,46,46,0,88647
009,47,47,0,88655
009,48,48,0,88673
009,49,49,0,88735
009,50,50,0,88741
009,51,51,0,88745
009,52,52,0,88760
009,53,53,0,88763
009,54,54,0,88864
009,55,55,0,92462
009,56,56,0,92468
009,57,57,0,92482
009,58,58,0,92498
010,49,49,0,89633
010,48,48,0,89412
010,47,47,0,89403
010,46,46,0,89398
010,45,45,0,89388
010,44,44,0,83557
010,43,43,0,83542
010,42,42,0,83529
010,41,41,0,83518
010,40,40,0,70156
010,39,39,0,68850
010,38,38,0,68786
010,37,37,0,68779
010,36,36,0,68765
010,35,35,0,68759
010,34,34,0,62328
010,33,33,0,62316
010,32,32,0,62303
010,31,31,0,62294
010,30,30,0,62285
010,29,29,0,61556
010,12,12,0,47717
010,11,11,0,47708
010,10,10,0,31411
010,9,9,0,24263
010,8,8,0,24240
010,7,7,0,24222
010,6,6,0,24209
010,5,5,0,14522
010,4,4,0,83
010,3,3,0,37
010,2,2,0,6
010,1,1,0,2
010,0,0,0,1
010,13,13,0,47742
010,14,14,0,47770
010,15,15,0,53335
010,16,16,0,54247
010,17,17,0,54258
010,18,18,0,54274
010,19,19,0,54454
010,20,20,0,58261
010,21,21,0,58270
010,22,22,0,58273
010,23,23,0,58312
010,24,24,0,58323
010,25,25,0,61343
010,26,26,0,61350
010,27,27,0,61359
010,28,28,0,61383
011,104,104,0,85564
011,103,103,0,85293
011,102,102,0,85279
011,101,101,0,85269
011,100,100,0,85259
011,99,99,0,83870
011,98,98,0,83836
011,97,97,0,83819
011,96,96,0,83808
011,95,95,0,83748
011,94,94,0,76183
011,93,93,0,76070
011,92,92,0,76059
011,91,91,0,76047
011,90,90,0,74405
011,89,89,0,73281
011,88,88,0,73257
011,87,87,0,73244
011,86,86,0,73235
011,85,85,0,73227
011,84,84,0,68224
011,83,83,0,68176
011,82,82,0,68168
011,81,81,0,68161
011,80,80,0,68154
011,79,79,0,67696
011,78,78,0,67518
011,77,77,0,67512
011,76,76,0,67507
011,75,75,0,57431
011,74,74,0,55856
011,73,73,0,55714
011,72,72,0,55690
011,71,71,0,55684
011,70,70,0,55673
011,69,69,0,47619
011,68,68,0,47441
011,67,67,0,47437
011,66,66,0,47426
011,65,65,0,47413
011,64,64,0,42729
011,63,63,0,42666
011,62,62,0,42642
011,61,61,0,42635
011,60,60,0,42630
011,59,59,0,41415
011,28,28,0,13047
011,27,27,0,13027
011,26,26,0,13024
011,25,25,0,13011
011,24,24,0,12156
011,23,23,0,12001
011,22,22,0,11981
011,21,21,0,11970
011,20,20,0,11763
011,19,19,0,11759
011,18,18,0,11680
011,17,17,0,11656
011,16,16,0,11647
011,15,15,0,11638
011,14,14,0,11620
011,13,13,0,11564
011,0,0,0,1
011,1,1,0,2
