rep,"Generation","phylogenetic_diversity","diversity","ave_depth","mrca_depth","mean_pairwise_distance","min_pairwise_distance","max_pairwise_distance","variance_pairwise_distance","mean_evolutionary_distinctiveness","min_evolutionary_distinctiveness","max_evolutionary_distinctiveness","variance_evolutionary_distinctiveness","num_roots","num_active_taxa","num_total_orgs","prev_mrca_depth"
001,4300,159,1.19522,9.14444,9,2.53029,1,6,0.666914,38.5181,0,44,99.1902,1,141,3600,-1
001,9694,253,5.07208,21.2169,15,9.84183,1,22,16.4784,595.481,0,3000,330266,1,191,3600,9
001,12023,242,4.26056,28.0156,19,12.2744,1,25,50.1537,778.85,46.7203,2729.31,443785,1,180,3600,15
001,13172,237,4.14141,31.6372,25,8.35006,1,20,18.7878,1059.65,38.6274,3846.95,962965,1,176,3600,19
001,17351,249,4.04661,38.1339,29,11.3608,1,28,72.9538,1215.21,48.3333,2396.98,459103,1,176,3600,25
001,18262,238,4.42829,40.1372,35,9.00956,1,24,25.4164,962.453,0,3278,981848,1,171,3600,29
001,23417,266,4.24078,49.5139,37,15.6125,1,39,162.409,946.357,62.6667,2054.73,384822,1,177,3600,35
001,23973,245,2.39969,54.4089,49,3.18717,1,14,3.57098,62.216,0,1498,20330.4,1,183,3600,37
001,23979,230,2.55908,54.4428,54,2.81734,1,8,0.877195,38.1982,0,45,109.594,1,171,3600,49
001,33447,232,1.37762,79.1686,68,2.88545,1,19,5.64068,92.6664,20.922,2950,115862,1,143,3600,54
001,33448,228,1.42138,79.1786,79,2.40441,1,6,0.437222,32.7264,0,36,51.8401,1,145,3600,68
001,34912,239,1.40064,90.1444,83,2.36514,1,12,1.19317,47.1142,6.24828,906,5134.01,1,146,3600,79
001,34923,260,1.36782,90.1411,90,2.25024,1,6,0.29116,45.2279,0,49,79.6644,1,166,3600,83
001,51479,293,1.46878,123.149,116,2.87366,1,17,4.84827,119.551,28.2675,4438,201571,1,160,3600,90
001,51485,285,1.4463,123.164,123,2.42675,1,6,0.438331,37.4501,0,43,92.9,1,157,3600,116
001,55922,290,1.42707,132.147,132,2.17701,1,4,0.187693,42.9199,0,46,68.6316,1,156,3600,123
001,62738,385,4.83421,144.033,136,8.75824,1,28,19.1936,562.729,37.7319,1343.33,128208,1,196,3600,132
001,62842,372,4.79402,143.709,140,7.76929,1,17,9.51396,603.338,22.5059,1189.61,132654,1,197,3600,136
001,64287,397,5.01474,146.798,142,9.45007,1,20,14.4393,544.369,25.0095,1526.41,118269,1,208,3600,140
001,64955,304,1.25195,151.122,146,2.22159,1,9,0.616198,54.5741,9.35099,1412,12245.7,1,152,3600,142
001,64956,303,1.24653,151.126,151,2.19441,1,5,0.228763,36.6447,0,40,58.5719,1,152,3600,146
001,70791,364,3.60846,156.471,155,4.769,1,13,5.04437,1915.23,0,3285,1690280,1,175,3600,151
001,74124,353,3.91432,161.802,159,6.55379,1,13,6.63726,1004.05,0,2884,304630,1,162,3600,155
001,76371,306,1.33315,168.136,163,2.6374,1,11,1.85777,78.4528,0,1988.5,43165.6,1,132,3600,159
001,76377,318,1.48868,168.171,168,2.38141,1,8,0.564122,35.9586,0,40,76.0465,1,148,3600,163
001,86589,382,3.19952,178.987,178,3.99568,1,10,2.6428,2145.22,0,3490,1787900,1,174,3600,168
001,92973,390,1.82965,195.236,195,2.46533,1,8,0.766903,35.2095,0,39,68.7825,1,186,3600,178
002,3680,152,1.07765,13.0972,2,3.04025,1,20,10.7874,108.522,25.0781,2264,92420.4,1,132,3600,-1
002,3689,170,1.32177,13.1511,13,2.32164,1,6,0.421489,38.5643,0,42,61.877,1,153,3600,2
002,6073,257,2.65734,23.2942,17,2.44443,1,11,1.02419,58.7767,6.71111,1510,18802,1,227,3600,13
002,6075,261,2.99303,23.345,23,2.34072,1,6,0.334572,41.0943,0,46,90.5822,1,232,3600,17
002,15085,251,3.93347,30.7633,28,6.4906,1,20,14.9636,2522.44,0,8056,9681080,1,191,3600,23
002,18324,228,4.05757,37.0914,30,6.16399,1,19,13.6436,1107.08,24.0533,2539.37,661413,1,169,3600,28
002,19486,220,4.08418,41.7547,36,6.45188,1,14,6.23468,756.224,23.1667,1639.89,243922,1,165,3600,30
002,19654,242,4.33369,42.2569,39,6.7084,1,14,6.95195,744.452,11.9489,1596.05,292419,1,177,3600,36
002,31713,238,1.38293,73.1397,64,2.5593,1,18,4.35065,93.282,22.0577,3082.5,114592,1,158,3600,39
002,31726,239,1.45491,73.1547,73,2.35112,1,5,0.33933,43.576,0,48,90.5808,1,162,3600,64
002,40760,307,4.32248,85.775,77,12.183,1,28,66.9511,903.242,55.6777,2014.36,353809,1,188,3600,73
002,44849,334,4.31628,95.8978,93,6.73886,1,16,8.63112,956.322,0,3375,892852,1,206,3600,77
002,45142,260,1.35728,102.125,95,2.30505,1,9,0.667245,43.3776,0,46.871,59.795,1,156,3600,93
002,45145,272,1.36157,102.142,102,2.38575,1,6,0.409326,35.1626,0,40,75.5681,1,164,3600,95
002,45980,273,1.23557,107.126,107,2.13473,1,4,0.150317,38.392,0,40,30.6967,1,162,3600,102
002,50274,326,4.33171,114.396,109,9.02619,1,17,11.8606,642.514,37.1855,1448.09,143533,1,180,3600,107
002,51875,292,1.4612,120.174,113,2.49262,1,16,2.1374,71.4655,18.3457,2972,51995.3,1,163,3600,109
002,51878,299,1.59061,120.191,120,2.2946,1,6,0.319298,38.3421,0,42,69.3512,1,174,3600,113
002,59980,357,4.45701,130.393,126,7.77045,1,21,14.9673,1154.67,29.2213,2764.6,830511,1,192,3600,120
002,64711,400,4.52065,144.793,130,11.472,1,32,52.4235,479.879,58.7766,2245.52,71019.2,1,200,3600,126
002,65102,355,4.51016,146.074,140,10.2367,1,22,24.3365,598.881,51.2419,1292.73,110764,1,174,3600,130
002,68155,310,1.47595,153.157,153,2.30977,1,6,0.340747,33.1525,0,37,58.1263,1,153,3600,140
002,78004,375,3.91607,167.792,165,5.71013,1,14,6.14311,929.686,0,2287,422779,1,181,3600,153
002,90003,357,3.44485,188.244,187,4.05479,1,9,2.03487,1998.1,0,3570,1964100,1,148,3600,165
002,93946,381,4.23233,191.282,189,5.75934,1,12,4.7134,1410.59,0,3959,1608710,1,168,3600,187
002,97790,368,1.55689,202.167,202,2.29994,1,6,0.375022,36.001,0,40,71.1055,1,164,3600,189
003,1642,164,1.64921,9.25306,2,2.75352,1,16,2.55475,53.4163,10.0068,1461,13643,1,147,3600,-1
003,1643,161,1.59279,9.24917,9,2.6427,1,5,0.694634,34.8645,0,40,80.8426,1,146,3600,2
003,11824,262,4.50294,31.1411,19,11.982,1,40,98.9524,934.725,43.2645,4448.5,670830,1,177,3600,9
003,12445,239,4.58637,31.6156,27,8.89025,1,20,14.7163,833.228,48.7361,1564.39,190330,1,175,3600,19
003,14525,185,1.04804,40.0714,33,2.68875,1,11,3.95784,69.8748,0,1175,35693.8,1,141,3600,27
003,14529,185,1.09847,40.1069,40,2.22229,1,4,0.225562,32.8546,0,35,35.2679,1,141,3600,33
003,24502,283,4.0499,49.795,46,8.34891,1,21,23.1956,1880.59,91.8454,3862.57,1972870,1,197,3600,40
003,25244,195,1.0807,59.1186,59,2.30893,1,5,0.371253,35.1351,0,38,51.5607,1,132,3600,46
003,36819,282,4.44268,73.5678,65,11.6788,1,25,33.8687,758.533,36.496,2047.28,372979,1,180,3600,59
003,39378,280,3.83831,73.3122,71,6.14145,1,16,6.41179,1090.4,0,2897,853897,1,174,3600,65
003,42909,301,4.39836,82.9239,79,7.0318,1,16,10.8586,720.829,0,2967,365127,1,188,3600,71
003,55049,323,4.27493,97.8386,87,9.38198,1,32,52.0627,1398.24,56.1494,4125.63,1526980,1,191,3600,79
003,56899,320,4.5315,102.376,95,10.8688,1,27,37.8644,1097.17,63.2234,2557.4,692890,1,177,3600,87
003,59185,299,3.67893,100.974,99,4.9864,1,13,4.5541,1398.21,0,3134,1074920,1,175,3600,95
003,64249,308,4.40368,106.463,101,9.44956,1,23,23.6877,1205.02,68.8043,4315.14,1622290,1,169,3600,99
003,69057,352,4.76725,121.903,117,8.29463,1,21,14.1996,692.006,29.1217,1555.73,187989,1,191,3600,101
003,69877,329,4.6151,125.467,121,7.5102,1,19,9.24465,834.124,0,2360,307883,1,174,3600,117
003,72053,393,4.42271,127.072,123,8.60429,1,25,29.9643,1073.15,0,3776,781829,1,225,3600,121
003,74817,336,3.95221,134.149,127,8.33547,1,22,23.4192,759.73,27.7024,1340,206900,1,171,3600,123
003,75623,333,3.84846,135.356,131,6.39385,1,18,8.63531,829.45,17.4459,2016.63,372100,1,163,3600,127
003,75802,348,4.2571,135.91,133,6.48645,1,16,9.17523,887.203,0,2191,383289,1,178,3600,131
003,77629,306,1.08287,146.101,135,2.40069,1,22,4.45182,77.5957,21.0541,3116,62409.8,1,149,3600,133
003,77640,314,1.67683,146.179,146,2.37522,1,6,0.379851,42.6503,0,49,121.661,1,163,3600,135
003,87432,408,4.26859,159.959,150,13.6186,1,28,55.0101,859.179,58.0671,1593.99,231537,1,204,3600,146
003,99201,408,4.0738,182.065,176,8.07268,1,25,38.9466,1217.04,20.5897,2509.53,845314,1,187,3600,150
003,99857,393,3.80669,182.155,180,5.61286,1,15,5.935,1402.03,0,3161,1020030,1,189,3600,176
004,10591,329,5.22444,23.5081,14,12.0741,1,32,48.4515,813.302,15.8756,3169.8,713339,1,254,3600,-1
004,11732,208,1.62268,25.2011,25,2.43513,1,6,0.469255,38.8315,0,44,96.2985,1,179,3600,14
004,26729,278,4.55867,52.4825,49,6.34577,1,14,7.29722,1239.9,0,5964,2114540,1,199,3600,25
004,35667,288,3.56722,71.9492,63,11.5901,1,30,67.275,721.415,38.0814,2190.13,133693,1,185,3600,49
004,36548,233,1.62816,76.1839,76,2.2398,1,4,0.236925,36.0113,0,39,52.4343,1,155,3600,63
