rep,"Generation","phylogenetic_diversity","diversity","ave_depth","mrca_depth","mean_pairwise_distance","min_pairwise_distance","max_pairwise_distance","variance_pairwise_distance","mean_evolutionary_distinctiveness","min_evolutionary_distinctiveness","max_evolutionary_distinctiveness","variance_evolutionary_distinctiveness","num_roots","num_active_taxa","num_total_orgs","prev_mrca_depth"
001,2004,168,1.17811,9.11361,4,2.25589,1,9,0.556391,50.3714,8.1039,1248,9354.79,1,155,3600,-1
001,2008,172,1.31102,9.13861,9,2.30455,1,5,0.310227,37.1229,0,41,67.0203,1,156,3600,4
001,13023,246,4.33599,28.985,21,11.1275,1,25,32.6516,801.532,41.85,4278.25,426582,1,178,3600,9
001,13740,246,4.32284,29.4567,27,6.15352,1,14,5.26455,1315.17,0,4989,2111110,1,192,3600,21
001,20173,265,4.48325,39.0467,29,14.3223,1,33,77.4173,756.079,78.3548,2093.53,191254,1,181,3600,27
001,20328,215,1.1677,46.0869,35,3.29353,1,18,10.0056,100.602,20.7308,1802,67676,1,159,3600,29
001,20334,210,1.16251,46.1178,46,2.29993,1,6,0.380897,32.9831,0,36,45.8759,1,158,3600,35
001,26271,271,4.3189,55.8442,52,6.98038,1,18,10.0521,1290.35,0,3114,966882,1,178,3600,46
001,27524,254,4.36545,60.8772,56,8.85305,1,20,18.4388,854.218,0,2621,420113,1,172,3600,52
001,30334,224,0.949541,81.0886,81,2.17368,1,5,0.215864,41.1618,0,43,40.5632,1,137,3600,56
001,33374,251,1.36507,90.1417,90,2.21411,1,5,0.242251,39.3248,0,42,49.6461,1,157,3600,81
001,37073,314,4.13115,102.349,98,7.05503,1,15,9.3166,1019.11,0,2775,747882,1,190,3600,90
001,40320,241,0.967048,107.096,107,2.23632,1,4,0.240408,37.8413,0,40,40.5105,1,126,3600,98
001,58862,352,3.99512,135.756,125,8.68102,1,26,34.561,1263.86,57.8204,4109.2,860847,1,182,3600,107
001,60769,338,3.53951,136.13,133,4.2812,1,15,4.00028,1851.23,27.1954,3341.04,1552800,1,177,3600,125
001,61066,350,3.53758,136.146,135,4.16702,1,9,2.45265,2058.08,0,3630,1947370,1,182,3600,133
001,62636,298,1.08085,144.103,144,2.19388,1,5,0.227223,36.2421,0,39,52.5153,1,152,3600,135
001,66606,316,1.24463,155.119,150,2.29054,1,8,0.476094,42.7394,0,45.7628,60.0559,1,157,3600,144
001,66612,318,1.30634,155.137,155,2.23793,1,6,0.285002,41.7004,0,45,66.0576,1,158,3600,150
001,70766,375,3.88614,164.618,161,6.77834,1,17,13.0235,916.826,22.6228,1399.44,191576,1,182,3600,155
